year,plj0021_h,bula_h,regtyp,proportion,n,lower_confidence,upper_confidence
1998,"Yes, definitely",North Rhine-Westphalia,Urban regions,0.2712765957446808,18147,0.26480753582062355,0.2777456556687381
1998,"Yes, definitely",Baden-Wuerttemberg,Urban regions,0.2127659574468085,18147,0.20681130174221826,0.21872061315139876
1998,"Yes, definitely",Hesse,Urban regions,0.13297872340425532,18147,0.12803835188922097,0.13791909491928966
1998,"Yes, definitely",Bavaria,Rural regions,0.0797872340425532,18147,0.0758447995704902,0.08372966851461619
1998,"Yes, definitely",Lower Saxony,Urban regions,0.06382978723404255,18147,0.06027312388654592,0.06738645058153918
1998,"Yes, definitely",Bavaria,Urban regions,0.05851063829787234,18147,0.055095732104344354,0.06192554449140033
1998,"Yes, definitely",Berlin,Urban regions,0.05851063829787234,18147,0.055095732104344354,0.06192554449140033
1998,"Yes, definitely","Rhineland-Palatinate, Saarland",Urban regions,0.05319148936170213,18147,0.049926319316329605,0.05645665940707465
1998,"Yes, definitely",Baden-Wuerttemberg,Rural regions,0.026595744680851064,18147,0.02425471807491629,0.028936771286785838
1998,"Yes, definitely",Bremen,Urban regions,0.010638297872340425,18147,0.009145615952579652,0.012130979792101199
1998,"Yes, definitely",Hesse,Rural regions,0.010638297872340425,18147,0.009145615952579652,0.012130979792101199
1998,"Yes, definitely",Thuringa,Urban regions,0.005319148936170213,18147,0.0042608299053131776,0.006377467967027248
1998,"Yes, definitely",Saxony,Rural regions,0.005319148936170213,18147,0.0042608299053131776,0.006377467967027248
1998,"Yes, definitely",North Rhine-Westphalia,Rural regions,0.005319148936170213,18147,0.0042608299053131776,0.006377467967027248
1998,"Yes, definitely",Saxony-Anhalt,Rural regions,0.005319148936170213,18147,0.0042608299053131776,0.006377467967027248
1998,"Yes, probably",North Rhine-Westphalia,Urban regions,0.29338842975206614,18147,0.28676374044018793,0.30001311906394434
1998,"Yes, probably",Baden-Wuerttemberg,Urban regions,0.26859504132231404,18147,0.26214620139168615,0.27504388125294194
1998,"Yes, probably",Bavaria,Urban regions,0.11983471074380166,18147,0.11510943576639782,0.1245599857212055
1998,"Yes, probably",Hesse,Urban regions,0.09917355371900827,18147,0.09482472649859146,0.10352238093942508
1998,"Yes, probably",Lower Saxony,Urban regions,0.07851239669421488,18147,0.07459887705336227,0.08242591633506749
1998,"Yes, probably",Bavaria,Rural regions,0.045454545454545456,18147,0.04242386171906072,0.04848522919003019
1998,"Yes, probably",Baden-Wuerttemberg,Rural regions,0.028925619834710745,18147,0.026487128386241822,0.03136411128317967
1998,"Yes, probably","Rhineland-Palatinate, Saarland",Urban regions,0.01652892561983471,18147,0.014673870749947334,0.01838398048972209
1998,"Yes, probably",Berlin,Urban regions,0.01652892561983471,18147,0.014673870749947334,0.01838398048972209
