year,plj0021_h,age_gr,regtyp,proportion,n,lower_confidence,upper_confidence
1998,"Yes, definitely",18-29 y.,Urban regions,0.40425531914893614,18147,0.3971150988733516,0.4113955394245207
1998,"Yes, definitely",30-45 y.,Urban regions,0.3617021276595745,18147,0.354711102230071,0.36869315308907796
1998,"Yes, definitely",46-65 y.,Urban regions,0.0851063829787234,18147,0.08104643922183832,0.08916632673560848
1998,"Yes, definitely",18-29 y.,Rural regions,0.05851063829787234,18147,0.055095732104344354,0.06192554449140033
1998,"Yes, definitely",30-45 y.,Rural regions,0.047872340425531915,18147,0.04476603916660152,0.05097864168446231
1998,"Yes, definitely",46-65 y.,Rural regions,0.02127659574468085,18147,0.019177004710005083,0.023376186779356618
1998,"Yes, definitely",66 and older,Urban regions,0.015957446808510637,18147,0.014134213299735745,0.017780680317285528
1998,"Yes, definitely",66 and older,Rural regions,0.005319148936170213,18147,0.0042608299053131776,0.006377467967027248
1998,"Yes, probably",18-29 y.,Urban regions,0.4132231404958678,18147,0.40605869706438336,0.4203875839273522
1998,"Yes, probably",30-45 y.,Urban regions,0.2768595041322314,18147,0.27034929842523897,0.2833697098392239
1998,"Yes, probably",46-65 y.,Urban regions,0.19421487603305784,18147,0.18845909159817364,0.19997066046794204
1998,"Yes, probably",18-29 y.,Rural regions,0.049586776859504134,18147,0.04642818998162111,0.052745363737387155
1998,"Yes, probably",30-45 y.,Rural regions,0.024793388429752067,18147,0.022530985719198232,0.0270557911403059
1998,"Yes, probably",46-65 y.,Rural regions,0.02066115702479339,18147,0.018591504388866222,0.022730809660720556
1998,"Yes, probably",66 and older,Urban regions,0.02066115702479339,18147,0.018591504388866222,0.022730809660720556
1998,Improbable,46-65 y.,Urban regions,0.3,18147,0.29333249578193354,0.30666750421806643
1998,Improbable,30-45 y.,Urban regions,0.2901960784313726,18147,0.28359266302554925,0.2967994938371959
1998,Improbable,18-29 y.,Urban regions,0.28823529411764703,18147,0.281645141754255,0.2948254464810391
1998,Improbable,30-45 y.,Rural regions,0.03529411764705882,18147,0.032609377361656824,0.03797885793246082
1998,Improbable,46-65 y.,Rural regions,0.03333333333333333,18147,0.030721584580619556,0.03594508208604711
1998,Improbable,18-29 y.,Rural regions,0.03137254901960784,18147,0.028836212111801558,0.033908885927414124
1998,Improbable,66 and older,Urban regions,0.0196078431372549,18147,0.017590552476992104,0.0216251337975177
1998,Improbable,66 and older,Rural regions,0.00196078431372549,18147,0.0013171452909085683,0.002604423336542412
1998,Definitely not,46-65 y.,Urban regions,0.3729411764705882,18147,0.365905141948377,0.37997721099279946
1998,Definitely not,30-45 y.,Urban regions,0.24941176470588236,18147,0.2431165145006913,0.25570701491107345
1998,Definitely not,18-29 y.,Urban regions,0.1811764705882353,18147,0.17557245020503828,0.18678049097143232
