"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1990","(Fach-)Abitur","kein Migrationshintergrund","7.47","7.5","124","7.2","7.74"
"1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1990","(noch) kein Abschluss","kein Migrationshintergrund","8.21","7.5","41","7.58","8.84"
"1990","AkademikerIn","direkter Migrationshintergrund","7.24","6.5","36","6.56","7.92"
"1990","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1990","AkademikerIn","kein Migrationshintergrund","7.22","7.5","951","7.09","7.35"
"1990","Hauptschule","direkter Migrationshintergrund","7.83","7.5","80","7.39","8.27"
"1990","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1990","Hauptschule","kein Migrationshintergrund","7.28","7.5","1570","7.17","7.39"
"1990","Realschule","direkter Migrationshintergrund","","","","",""
"1990","Realschule","indirekter Migrationshintergrund","","","","",""
"1990","Realschule","kein Migrationshintergrund","7.7","7.5","1540","7.61","7.79"
"1991","(Fach-)Abitur","direkter Migrationshintergrund","7.36","7.5","201","7.11","7.61"
"1991","(Fach-)Abitur","indirekter Migrationshintergrund","7.85","7.5","36","7.38","8.32"
"1991","(Fach-)Abitur","kein Migrationshintergrund","7.53","7.5","631","7.4","7.66"
"1991","(noch) kein Abschluss","direkter Migrationshintergrund","7","6.5","606","6.85","7.15"
"1991","(noch) kein Abschluss","indirekter Migrationshintergrund","7.92","7.5","51","7.38","8.46"
"1991","(noch) kein Abschluss","kein Migrationshintergrund","7.7","7.5","204","7.49","7.91"
"1991","AkademikerIn","direkter Migrationshintergrund","7.34","7.5","125","7.01","7.67"
"1991","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1991","AkademikerIn","kein Migrationshintergrund","7.36","7.5","1527","7.28","7.44"
"1991","Hauptschule","direkter Migrationshintergrund","7.17","7.5","1399","7.07","7.27"
"1991","Hauptschule","indirekter Migrationshintergrund","7.65","7.5","156","7.42","7.88"
"1991","Hauptschule","kein Migrationshintergrund","6.99","6.5","5026","6.94","7.04"
"1991","Realschule","direkter Migrationshintergrund","7.34","7.5","163","7.06","7.62"
"1991","Realschule","indirekter Migrationshintergrund","8.51","7.5","66","8.22","8.8"
"1991","Realschule","kein Migrationshintergrund","7.44","7.5","2864","7.38","7.5"
"1992","(Fach-)Abitur","direkter Migrationshintergrund","7.39","7.5","206","7.12","7.66"
"1992","(Fach-)Abitur","indirekter Migrationshintergrund","8.06","8.5","38","7.55","8.57"
"1992","(Fach-)Abitur","kein Migrationshintergrund","7.54","7.5","638","7.41","7.67"
"1992","(noch) kein Abschluss","direkter Migrationshintergrund","6.94","6.5","572","6.78","7.1"
"1992","(noch) kein Abschluss","indirekter Migrationshintergrund","8.2","7.5","71","7.78","8.62"
"1992","(noch) kein Abschluss","kein Migrationshintergrund","7.28","7.5","210","7.01","7.55"
"1992","AkademikerIn","direkter Migrationshintergrund","7.34","7.5","127","7.02","7.66"
"1992","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1992","AkademikerIn","kein Migrationshintergrund","7.22","7.5","1498","7.13","7.31"
"1992","Hauptschule","direkter Migrationshintergrund","6.98","6.5","1359","6.88","7.08"
"1992","Hauptschule","indirekter Migrationshintergrund","7.43","7.5","180","7.18","7.68"
"1992","Hauptschule","kein Migrationshintergrund","6.69","6.5","4853","6.63","6.75"
"1992","Realschule","direkter Migrationshintergrund","6.99","6.5","155","6.7","7.28"
"1992","Realschule","indirekter Migrationshintergrund","7.43","7.5","80","7.06","7.8"
"1992","Realschule","kein Migrationshintergrund","7.23","7.5","2824","7.16","7.3"
"1993","(Fach-)Abitur","direkter Migrationshintergrund","7.04","6.5","199","6.75","7.33"
"1993","(Fach-)Abitur","indirekter Migrationshintergrund","7.72","7.5","45","7.31","8.13"
"1993","(Fach-)Abitur","kein Migrationshintergrund","7.42","7.5","652","7.3","7.54"
"1993","(noch) kein Abschluss","direkter Migrationshintergrund","6.55","6.5","561","6.39","6.71"
"1993","(noch) kein Abschluss","indirekter Migrationshintergrund","7.55","7.5","67","7.1","8"
"1993","(noch) kein Abschluss","kein Migrationshintergrund","7.24","7.5","207","6.96","7.52"
"1993","AkademikerIn","direkter Migrationshintergrund","6.81","6.5","127","6.45","7.17"
"1993","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1993","AkademikerIn","kein Migrationshintergrund","6.98","6.5","1486","6.89","7.07"
"1993","Hauptschule","direkter Migrationshintergrund","6.78","6.5","1327","6.67","6.89"
"1993","Hauptschule","indirekter Migrationshintergrund","7.43","7.5","198","7.15","7.71"
"1993","Hauptschule","kein Migrationshintergrund","6.5","6.5","4714","6.44","6.56"
"1993","Realschule","direkter Migrationshintergrund","6.79","6.5","148","6.46","7.12"
"1993","Realschule","indirekter Migrationshintergrund","7.17","7.5","108","6.78","7.56"
"1993","Realschule","kein Migrationshintergrund","7.12","7.5","2796","7.05","7.19"
"1994","(Fach-)Abitur","direkter Migrationshintergrund","7.43","7.5","191","7.18","7.68"
"1994","(Fach-)Abitur","indirekter Migrationshintergrund","8.06","7.5","47","7.6","8.52"
"1994","(Fach-)Abitur","kein Migrationshintergrund","7.46","7.5","670","7.34","7.58"
"1994","(noch) kein Abschluss","direkter Migrationshintergrund","6.74","6.5","524","6.57","6.91"
"1994","(noch) kein Abschluss","indirekter Migrationshintergrund","7.74","7.5","75","7.38","8.1"
"1994","(noch) kein Abschluss","kein Migrationshintergrund","7.27","7.5","236","7.03","7.51"
"1994","AkademikerIn","direkter Migrationshintergrund","6.87","6.5","123","6.52","7.22"
"1994","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1994","AkademikerIn","kein Migrationshintergrund","7.03","6.5","1500","6.94","7.12"
"1994","Hauptschule","direkter Migrationshintergrund","6.57","6.5","1251","6.46","6.68"
"1994","Hauptschule","indirekter Migrationshintergrund","7.66","7.5","191","7.42","7.9"
"1994","Hauptschule","kein Migrationshintergrund","6.54","6.5","4560","6.48","6.6"
"1994","Realschule","direkter Migrationshintergrund","6.52","6.5","134","6.15","6.89"
"1994","Realschule","indirekter Migrationshintergrund","7.41","7.5","108","7.11","7.71"
"1994","Realschule","kein Migrationshintergrund","7.06","7.5","2757","6.99","7.13"
"1995","(Fach-)Abitur","direkter Migrationshintergrund","7.52","7.5","311","7.31","7.73"
"1995","(Fach-)Abitur","indirekter Migrationshintergrund","7.77","7.5","54","7.41","8.13"
"1995","(Fach-)Abitur","kein Migrationshintergrund","7.54","7.5","686","7.43","7.65"
"1995","(noch) kein Abschluss","direkter Migrationshintergrund","6.9","6.5","552","6.74","7.06"
"1995","(noch) kein Abschluss","indirekter Migrationshintergrund","7.73","7.5","68","7.44","8.02"
"1995","(noch) kein Abschluss","kein Migrationshintergrund","7.34","7.5","251","7.1","7.58"
"1995","AkademikerIn","direkter Migrationshintergrund","7.34","7.5","187","7.08","7.6"
"1995","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1995","AkademikerIn","kein Migrationshintergrund","7.1","7.5","1532","7.01","7.19"
"1995","Hauptschule","direkter Migrationshintergrund","6.85","6.5","1396","6.74","6.96"
"1995","Hauptschule","indirekter Migrationshintergrund","7.38","7.5","192","7.12","7.64"
"1995","Hauptschule","kein Migrationshintergrund","6.49","6.5","4425","6.43","6.55"
"1995","Realschule","direkter Migrationshintergrund","6.82","6.5","157","6.47","7.17"
"1995","Realschule","indirekter Migrationshintergrund","7.31","7.5","113","6.97","7.65"
"1995","Realschule","kein Migrationshintergrund","7.13","7.5","2806","7.06","7.2"
"1996","(Fach-)Abitur","direkter Migrationshintergrund","6.97","6.5","286","6.74","7.2"
"1996","(Fach-)Abitur","indirekter Migrationshintergrund","7.98","7.5","60","7.64","8.32"
"1996","(Fach-)Abitur","kein Migrationshintergrund","7.4","7.5","677","7.27","7.53"
"1996","(noch) kein Abschluss","direkter Migrationshintergrund","6.84","6.5","495","6.68","7"
"1996","(noch) kein Abschluss","indirekter Migrationshintergrund","8.04","7.5","65","7.6","8.48"
"1996","(noch) kein Abschluss","kein Migrationshintergrund","7.23","7.5","269","7","7.46"
"1996","AkademikerIn","direkter Migrationshintergrund","6.92","6.5","180","6.62","7.22"
"1996","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1996","AkademikerIn","kein Migrationshintergrund","6.98","6.5","1555","6.89","7.07"
"1996","Hauptschule","direkter Migrationshintergrund","6.61","6.5","1324","6.5","6.72"
"1996","Hauptschule","indirekter Migrationshintergrund","7.42","7.5","204","7.16","7.68"
"1996","Hauptschule","kein Migrationshintergrund","6.39","6.5","4341","6.33","6.45"
"1996","Realschule","direkter Migrationshintergrund","6.55","6.5","146","6.19","6.91"
"1996","Realschule","indirekter Migrationshintergrund","6.88","7.5","125","6.55","7.21"
"1996","Realschule","kein Migrationshintergrund","7.03","6.5","2823","6.96","7.1"
"1997","(Fach-)Abitur","direkter Migrationshintergrund","7.1","6.5","262","6.87","7.33"
"1997","(Fach-)Abitur","indirekter Migrationshintergrund","7.49","7.5","58","7.09","7.89"
"1997","(Fach-)Abitur","kein Migrationshintergrund","7.28","7.5","684","7.15","7.41"
"1997","(noch) kein Abschluss","direkter Migrationshintergrund","6.69","6.5","460","6.52","6.86"
"1997","(noch) kein Abschluss","indirekter Migrationshintergrund","8.09","7.5","78","7.73","8.45"
"1997","(noch) kein Abschluss","kein Migrationshintergrund","7.17","7.5","283","6.94","7.4"
"1997","AkademikerIn","direkter Migrationshintergrund","6.97","6.5","178","6.66","7.28"
"1997","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1997","AkademikerIn","kein Migrationshintergrund","6.83","6.5","1553","6.74","6.92"
"1997","Hauptschule","direkter Migrationshintergrund","6.51","6.5","1270","6.4","6.62"
"1997","Hauptschule","indirekter Migrationshintergrund","7.09","6.5","212","6.85","7.33"
"1997","Hauptschule","kein Migrationshintergrund","6.18","5.5","4216","6.12","6.24"
"1997","Realschule","direkter Migrationshintergrund","6.39","6.5","153","6.01","6.77"
"1997","Realschule","indirekter Migrationshintergrund","7.5","7.5","125","7.18","7.82"
"1997","Realschule","kein Migrationshintergrund","6.79","6.5","2782","6.72","6.86"
