"year","migback","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1990","direkter Migrationshintergrund","Laendlicher Raum","7.86","7.5","96","7.5","8.22"
"1990","direkter Migrationshintergrund","Staedtischer Raum","7.11","6.5","44","6.43","7.79"
"1990","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1990","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1990","kein Migrationshintergrund","Laendlicher Raum","7.51","7.5","2760","7.44","7.58"
"1990","kein Migrationshintergrund","Staedtischer Raum","7.24","7.5","1392","7.13","7.35"
"1991","direkter Migrationshintergrund","Laendlicher Raum","7.33","7.5","407","7.15","7.51"
"1991","direkter Migrationshintergrund","Staedtischer Raum","7.17","7.5","2170","7.09","7.25"
"1991","indirekter Migrationshintergrund","Laendlicher Raum","7.51","7.5","47","7.08","7.94"
"1991","indirekter Migrationshintergrund","Staedtischer Raum","7.97","7.5","288","7.8","8.14"
"1991","kein Migrationshintergrund","Laendlicher Raum","7.15","7.5","4209","7.09","7.21"
"1991","kein Migrationshintergrund","Staedtischer Raum","7.22","7.5","6062","7.17","7.27"
"1992","direkter Migrationshintergrund","Laendlicher Raum","6.82","6.5","404","6.62","7.02"
"1992","direkter Migrationshintergrund","Staedtischer Raum","7.11","7.5","2095","7.03","7.19"
"1992","indirekter Migrationshintergrund","Laendlicher Raum","7.94","7.5","59","7.58","8.3"
"1992","indirekter Migrationshintergrund","Staedtischer Raum","7.5","7.5","335","7.31","7.69"
"1992","kein Migrationshintergrund","Laendlicher Raum","6.85","6.5","4016","6.79","6.91"
"1992","kein Migrationshintergrund","Staedtischer Raum","7.03","6.5","6020","6.98","7.08"
"1993","direkter Migrationshintergrund","Laendlicher Raum","6.49","6.5","406","6.28","6.7"
"1993","direkter Migrationshintergrund","Staedtischer Raum","6.85","6.5","2033","6.76","6.94"
"1993","indirekter Migrationshintergrund","Laendlicher Raum","6.99","6.5","73","6.47","7.51"
"1993","indirekter Migrationshintergrund","Staedtischer Raum","7.48","7.5","384","7.3","7.66"
"1993","kein Migrationshintergrund","Laendlicher Raum","6.72","6.5","3991","6.66","6.78"
