"year","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1990","direkter Migrationshintergrund","7.65","7.5","141","5","7","9","10","10","7.32","7.98","0","10","7","8"
"1990","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1990","kein Migrationshintergrund","7.41","7.5","4238","5","6","9","10","10","7.35","7.47","0","10","8","8"
"1990","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1991","direkter Migrationshintergrund","7.2","7.5","2578","5","6","8","10","10","7.13","7.27","0","10","8","8"
"1991","indirekter Migrationshintergrund","7.89","7.5","335","5","7","9","10","10","7.73","8.05","2","10","8","8"
"1991","kein Migrationshintergrund","7.2","7.5","10359","5","6","8","9","10","7.16","7.24","0","10","8","8"
"1991","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1992","direkter Migrationshintergrund","7.05","7.5","2500","4","6","8","9","10","6.97","7.13","0","10","7","8"
"1992","indirekter Migrationshintergrund","7.58","7.5","394","5","7","9","10","10","7.41","7.75","0","10","8","8"
"1992","kein Migrationshintergrund","6.97","6.5","10153","4","6","8","9","10","6.93","7.01","0","10","7","8"
"1992","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1993","direkter Migrationshintergrund","6.78","6.5","2439","4","5","8","9","10","6.7","6.86","0","10","7","7"
"1993","indirekter Migrationshintergrund","7.4","7.5","457","5","7","9","10","10","7.23","7.57","0","10","8","8"
"1993","kein Migrationshintergrund","6.8","6.5","9998","4","5","8","9","10","6.76","6.84","0","10","7","7"
"1993","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1994","direkter Migrationshintergrund","6.72","6.5","2327","4","5","8","9","10","6.64","6.8","0","10","7","7"
"1994","indirekter Migrationshintergrund","7.67","7.5","478","5","7","9","10","10","7.52","7.82","1","10","8","8"
"1994","kein Migrationshintergrund","6.83","6.5","9864","4","6","8","9","10","6.79","6.87","0","10","7","7"
"1994","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1995","direkter Migrationshintergrund","7.03","7.5","2737","4","6","8","9","10","6.96","7.1","0","10","8","8"
"1995","indirekter Migrationshintergrund","7.49","7.5","496","5","7","9","9","10","7.34","7.64","0","10","8","8"
"1995","kein Migrationshintergrund","6.83","6.5","9848","4","5","8","9","10","6.79","6.87","0","10","7","7"
"1995","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1996","direkter Migrationshintergrund","6.73","6.5","2555","4","5","8","9","10","6.65","6.81","0","10","7","7"
"1996","indirekter Migrationshintergrund","7.44","7.5","536","5","7","9","9","10","7.29","7.59","0","10","8","8"
"1996","kein Migrationshintergrund","6.74","6.5","9822","4","5","8","9","10","6.7","6.78","0","10","7","7"
"1996","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
