year,pgisced97,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1984,No answer / don't know,West,,,,,,,,,,,,
1984,Pre-primary Level,West,,,,,,,,,,,,
1984,Primary Level,West,,,,,,,,,,,,
1984,Lower Secondary Level,West,,,,,,,,,,,,
1984,Upper Secondary Level,West,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1984,First Stage of Tertiary Education,West,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1985,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1985,No answer / don't know,West,,,,,,,,,,,,
1985,Pre-primary Level,West,,,,,,,,,,,,
1985,Primary Level,West,,,,,,,,,,,,
1985,Lower Secondary Level,West,,,,,,,,,,,,
1985,Upper Secondary Level,West,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1985,First Stage of Tertiary Education,West,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1986,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1986,No answer / don't know,West,,,,,,,,,,,,
1986,Pre-primary Level,West,,,,,,,,,,,,
1986,Primary Level,West,,,,,,,,,,,,
1986,Lower Secondary Level,West,,,,,,,,,,,,
1986,Upper Secondary Level,West,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1986,First Stage of Tertiary Education,West,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1987,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1987,No answer / don't know,West,,,,,,,,,,,,
1987,Pre-primary Level,West,,,,,,,,,,,,
1987,Primary Level,West,,,,,,,,,,,,
1987,Lower Secondary Level,West,,,,,,,,,,,,
1987,Upper Secondary Level,West,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1987,First Stage of Tertiary Education,West,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1988,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1988,No answer / don't know,West,,,,,,,,,,,,
1988,Pre-primary Level,West,,,,,,,,,,,,
1988,Primary Level,West,,,,,,,,,,,,
1988,Lower Secondary Level,West,,,,,,,,,,,,
1988,Upper Secondary Level,West,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1988,First Stage of Tertiary Education,West,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1989,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1989,No answer / don't know,West,,,,,,,,,,,,
1989,Pre-primary Level,West,,,,,,,,,,,,
1989,Primary Level,West,,,,,,,,,,,,
1989,Lower Secondary Level,West,,,,,,,,,,,,
1989,Upper Secondary Level,West,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1989,First Stage of Tertiary Education,West,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1990,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1990,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1990,No answer / don't know,West,,,,,,,,,,,,
1990,No answer / don't know,East,,,,,,,,,,,,
1990,Pre-primary Level,West,,,,,,,,,,,,
1990,Pre-primary Level,East,32,8.17373,7.51955,8.82790,8.00000,8.00000,9.00000,6.50000,10,,,
1990,Primary Level,West,,,,,,,,,,,,
1990,Primary Level,East,,,,,,,,,,,,
1990,Lower Secondary Level,West,,,,,,,,,,,,
1990,Lower Secondary Level,East,503,7.20488,7.00641,7.40336,6.00000,8.00000,9.00000,1.50000,10,,,
1990,Upper Secondary Level,West,,,,,,,,,,,,
1990,Upper Secondary Level,East,2508,7.51174,7.43291,7.59058,6.00000,8.00000,9.00000,1.50000,10,,,
1990,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,East,79,7.79765,7.47436,8.12095,7.00000,8.00000,9.00000,4.00000,10,,,
1990,First Stage of Tertiary Education,West,,,,,,,,,,,,
1990,First Stage of Tertiary Education,East,254,7.49559,7.22412,7.76707,7.00000,8.00000,9.00000,4.00000,10,,,
1990,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,East,987,7.22518,7.09661,7.35375,6.00000,8.00000,9.00000,1.50000,10,,,
1991,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1991,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1991,No answer / don't know,West,159,7.53897,7.24751,7.83044,7.00000,8.00000,9.00000,4.00000,10,,,
1991,No answer / don't know,East,,,,,,,,,,,,
1991,Pre-primary Level,West,146,8.15212,7.94773,8.35652,8.00000,8.00000,9.00000,6.50000,10,,,
1991,Pre-primary Level,East,,,,,,,,,,,,
1991,Primary Level,West,606,6.89036,6.72690,7.05383,5.00000,7.00000,8.00000,0.50000,10,,,
1991,Primary Level,East,39,8.04268,7.64271,8.44266,7.00000,8.00000,9.00000,5,10,,,
1991,Lower Secondary Level,West,2337,6.91297,6.83080,6.99515,6.00000,7.00000,8.00000,3.00000,10,,,
1991,Lower Secondary Level,East,445,7.17380,6.98112,7.36648,6.00000,8.00000,9.00000,1.50000,10,,,
1991,Upper Secondary Level,West,4443,7.22838,7.17442,7.28234,6.00000,8.00000,8.00000,3.00000,10,,,
1991,Upper Secondary Level,East,2319,7.23030,7.14832,7.31227,6.00000,8.00000,9.00000,1.50000,10,,,
1991,Post-secondary Non-tertiary Level,West,300,7.54120,7.36591,7.71648,7.00000,8.00000,8.12344,5.31484,9.80860,,,
1991,Post-secondary Non-tertiary Level,East,70,7.20063,6.74795,7.65331,7.00000,7.00000,8.00000,5.50000,9.50000,,,
1991,First Stage of Tertiary Education,West,499,7.29128,7.13539,7.44717,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1991,First Stage of Tertiary Education,East,233,7.56237,7.32927,7.79547,7.00000,8.00000,9.00000,4.00000,10,,,
1991,Second Stage of Tertiary Education,West,707,7.54181,7.42645,7.65717,7.00000,8.00000,9.00000,4.00000,10,,,
1991,Second Stage of Tertiary Education,East,947,7.04426,6.92410,7.16441,6.00000,8.00000,8.00000,3.00000,10,,,
1992,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1992,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1992,No answer / don't know,West,159,7.74128,7.44399,8.03858,7.00000,8.00000,9.00000,4.00000,10,,,
1992,No answer / don't know,East,,,,,,,,,,,,
1992,Pre-primary Level,West,142,8.16241,7.92650,8.39832,8.00000,8.00000,9.00000,6.50000,10,,,
1992,Pre-primary Level,East,44,7.38242,6.95579,7.80904,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1992,Primary Level,West,590,6.56563,6.38599,6.74526,5.00000,7.00000,8.00000,0.50000,10,,,
1992,Primary Level,East,,,,,,,,,,,,
1992,Lower Secondary Level,West,2285,6.71837,6.63056,6.80618,5.00000,7.00000,8.00000,0.50000,10,,,
1992,Lower Secondary Level,East,442,6.82082,6.63402,7.00762,5.00000,7.00000,8.00000,0.50000,10,,,
1992,Upper Secondary Level,West,4399,6.99502,6.93674,7.05329,6.00000,7.00000,8.00000,3.00000,10,,,
1992,Upper Secondary Level,East,2197,6.89813,6.81737,6.97889,6.00000,7.00000,8.00000,3.00000,10,,,
1992,Post-secondary Non-tertiary Level,West,313,7.67492,7.49545,7.85438,7.00000,8.00000,9.00000,4.00000,10,,,
1992,Post-secondary Non-tertiary Level,East,67,7.12203,6.75199,7.49206,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1992,First Stage of Tertiary Education,West,512,6.96896,6.80109,7.13682,6.00000,7.00000,8.00000,3.00000,10,,,
1992,First Stage of Tertiary Education,East,229,6.91700,6.66012,7.17388,6.00000,7.00000,8.00000,3.00000,10,,,
1992,Second Stage of Tertiary Education,West,722,7.47287,7.35142,7.59432,7.00000,8.00000,9.00000,4.00000,10,,,
1992,Second Stage of Tertiary Education,East,906,6.81123,6.68508,6.93739,6.00000,7.00000,8.00000,3.00000,10,,,
1993,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1993,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1993,No answer / don't know,West,175,7.53214,7.26211,7.80217,7.00000,8.00000,9.00000,4.00000,10,,,
1993,No answer / don't know,East,,,,,,,,,,,,
1993,Pre-primary Level,West,122,7.88344,7.62407,8.14280,7.00000,8.00000,9.00000,4.00000,10,,,
1993,Pre-primary Level,East,59,7.27122,6.81300,7.72945,7.00000,7.78688,8.00000,5.50000,9.50000,,,
1993,Primary Level,West,584,6.36652,6.19041,6.54263,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Primary Level,East,,,,,,,,,,,,
1993,Lower Secondary Level,West,2204,6.59165,6.50025,6.68304,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Lower Secondary Level,East,420,6.59148,6.38998,6.79298,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Upper Secondary Level,West,4450,6.86297,6.80263,6.92330,6.00000,7.00000,8.00000,3.00000,10,,,
1993,Upper Secondary Level,East,2122,6.65314,6.56552,6.74075,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Post-secondary Non-tertiary Level,West,310,7.49121,7.30416,7.67826,7.00000,8.00000,9.00000,4.00000,10,,,
1993,Post-secondary Non-tertiary Level,East,69,7.21061,6.82972,7.59151,6.00000,7.00000,8.00000,3.00000,10,,,
1993,First Stage of Tertiary Education,West,504,6.69523,6.52641,6.86404,5.00000,7.00000,8.00000,0.50000,10,,,
1993,First Stage of Tertiary Education,East,222,6.55946,6.27838,6.84053,5.00000,7.00000,8.00000,0.50000,10,,,
1993,Second Stage of Tertiary Education,West,748,7.21321,7.08839,7.33803,6.00000,8.00000,8.00000,3.00000,10,,,
1993,Second Stage of Tertiary Education,East,870,6.51793,6.38385,6.65202,5.00000,7.00000,8.00000,0.50000,10,,,
1994,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1994,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1994,No answer / don't know,West,201,7.69012,7.45034,7.92990,7.00000,8.00000,9.00000,4.00000,10,,,
1994,No answer / don't know,East,,,,,,,,,,,,
1994,Pre-primary Level,West,152,7.93965,7.68053,8.19877,7.00000,8.00000,9.00000,4.00000,10,,,
1994,Pre-primary Level,East,84,7.30014,6.95575,7.64452,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1994,Primary Level,West,538,6.54480,6.36513,6.72447,5.00000,7.00000,8.00000,0.50000,10,,,
1994,Primary Level,East,,,,,,,,,,,,
1994,Lower Secondary Level,West,2043,6.64290,6.54927,6.73653,5.00000,7.00000,8.00000,0.50000,10,,,
1994,Lower Secondary Level,East,398,6.11597,5.88781,6.34412,5.00000,6.00000,8.00000,0.50000,10,,,
1994,Upper Secondary Level,West,4393,6.93210,6.87386,6.99033,6.00000,7.00000,8.00000,3.00000,10,,,
1994,Upper Secondary Level,East,2073,6.38908,6.30048,6.47768,5.00000,7.00000,8.00000,0.50000,10,,,
1994,Post-secondary Non-tertiary Level,West,316,7.50922,7.35653,7.66192,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1994,Post-secondary Non-tertiary Level,East,71,6.86252,6.43157,7.29346,6.00000,7.00000,8.00000,3.00000,9,,,
1994,First Stage of Tertiary Education,West,505,6.83572,6.66241,7.00904,5.00000,7.00000,8.00000,0.50000,10,,,
1994,First Stage of Tertiary Education,East,233,6.33784,6.08215,6.59354,5.00000,7.00000,8.00000,1,10,,,
1994,Second Stage of Tertiary Education,West,780,7.27412,7.15836,7.38988,6.00000,8.00000,8.00000,3.00000,10,,,
1994,Second Stage of Tertiary Education,East,852,6.54286,6.41296,6.67276,5.00000,7.00000,8.00000,0.50000,10,,,
1995,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1995,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1995,No answer / don't know,West,240,7.59775,7.33317,7.86233,7.00000,8.00000,9.00000,4.00000,10,,,
1995,No answer / don't know,East,,,,,,,,,,,,
1995,Pre-primary Level,West,188,7.74620,7.49114,8.00127,7.00000,8.00000,9.00000,4.00000,10,,,
1995,Pre-primary Level,East,95,7.32427,7.00664,7.64189,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1995,Primary Level,West,518,6.71450,6.53047,6.89853,5.00000,7.00000,8.00000,0.50000,10,,,
1995,Primary Level,East,,,,,,,,,,,,
1995,Lower Secondary Level,West,2069,6.61770,6.52321,6.71219,5.00000,7.00000,8.00000,0.50000,10,,,
1995,Lower Secondary Level,East,373,6.14634,5.91843,6.37425,5.00000,6.00000,8.00000,0.50000,10,,,
1995,Upper Secondary Level,West,4594,6.91885,6.86057,6.97713,6.00000,7.00000,8.00000,3.00000,10,,,
1995,Upper Secondary Level,East,2039,6.51795,6.43029,6.60560,5.00000,7.00000,8.00000,0.50000,10,,,
1995,Post-secondary Non-tertiary Level,West,398,7.50819,7.35300,7.66337,7.00000,8.00000,9.00000,4.00000,10,,,
1995,Post-secondary Non-tertiary Level,East,69,7.17656,6.69684,7.65628,6.00000,8.00000,8.72472,1.91292,10,,,
1995,First Stage of Tertiary Education,West,510,6.97842,6.81165,7.14518,6.00000,7.00000,8.00000,3.00000,10,,,
1995,First Stage of Tertiary Education,East,230,6.57617,6.33365,6.81870,5.00000,7.00000,8.00000,0.50000,10,,,
1995,Second Stage of Tertiary Education,West,900,7.40200,7.29138,7.51263,7.00000,8.00000,8.00000,5.50000,9.50000,,,
1995,Second Stage of Tertiary Education,East,830,6.55005,6.42230,6.67779,5.00000,7.00000,8.00000,0.50000,10,,,
1996,Not included in this version of the questionnaire,West,,,,,,,,,,,,
1996,Not included in this version of the questionnaire,East,,,,,,,,,,,,
1996,No answer / don't know,West,228,7.40659,7.15005,7.66313,6.00000,8.00000,9.00000,1.50000,10,,,
1996,No answer / don't know,East,,,,,,,,,,,,
1996,Pre-primary Level,West,192,7.97080,7.74558,8.19601,7.00000,8.00000,9.00000,4.00000,10,,,
1996,Pre-primary Level,East,98,7.44429,7.13193,7.75666,7.00000,8.00000,9.00000,4.00000,10,,,
1996,Primary Level,West,472,6.44669,6.25837,6.63500,5.00000,7.00000,8.00000,0.50000,10,,,
1996,Primary Level,East,,,,,,,,,,,,
1996,Lower Secondary Level,West,1977,6.51787,6.42038,6.61536,5.00000,7.00000,8.00000,0.50000,10,,,
1996,Lower Secondary Level,East,366,5.99745,5.77123,6.22368,5.00000,6.00000,8.00000,0.50000,10,,,
1996,Upper Secondary Level,West,4547,6.83366,6.77449,6.89282,6.00000,7.00000,8.00000,3.00000,10,,,
