year,quintil_oecd_hh,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,3rd Quintile,West,No,0.86133,1496,1763,0.84519,0.87747
2001,3rd Quintile,East,Yes,0.21772,161,673,0.18651,0.24892
2001,3rd Quintile,East,No,0.78228,512,673,0.75108,0.81349
2001,4th Quintile,West,Yes,0.13553,284,1915,0.12020,0.15087
2001,4th Quintile,West,No,0.86447,1631,1915,0.84913,0.87980
2001,4th Quintile,East,Yes,0.22287,111,454,0.18455,0.26120
2001,4th Quintile,East,No,0.77713,343,454,0.73880,0.81545
2001,5th Quintile,West,Yes,0.13282,274,1934,0.11769,0.14795
2001,5th Quintile,West,No,0.86718,1660,1934,0.85205,0.88231
2001,5th Quintile,East,Yes,0.27810,72,247,0.22211,0.33409
2001,5th Quintile,East,No,0.72190,175,247,0.66591,0.77789
2006,1st Quintile,West,Yes,0.14190,207,1433,0.12382,0.15997
2006,1st Quintile,West,No,0.85810,1226,1433,0.84003,0.87618
2006,1st Quintile,East,Yes,0.18416,135,663,0.15463,0.21369
2006,1st Quintile,East,No,0.81584,528,663,0.78631,0.84537
2006,2nd Quintile,West,Yes,0.14408,244,1491,0.12625,0.16191
2006,2nd Quintile,West,No,0.85592,1247,1491,0.83809,0.87375
2006,2nd Quintile,East,Yes,0.18783,159,731,0.15950,0.21617
2006,2nd Quintile,East,No,0.81217,572,731,0.78383,0.84050
2006,3rd Quintile,West,Yes,0.14432,275,1713,0.12767,0.16097
2006,3rd Quintile,West,No,0.85568,1438,1713,0.83903,0.87233
2006,3rd Quintile,East,Yes,0.20834,149,674,0.17766,0.23902
2006,3rd Quintile,East,No,0.79166,525,674,0.76098,0.82234
2006,4th Quintile,West,Yes,0.13842,304,1984,0.12322,0.15362
2006,4th Quintile,West,No,0.86158,1680,1984,0.84638,0.87678
2006,4th Quintile,East,Yes,0.18819,115,509,0.15420,0.22218
2006,4th Quintile,East,No,0.81181,394,509,0.77782,0.84580
2006,5th Quintile,West,Yes,0.13388,409,2711,0.12106,0.14671
2006,5th Quintile,West,No,0.86612,2302,2711,0.85329,0.87894
2006,5th Quintile,East,Yes,0.25200,96,350,0.20645,0.29755
2006,5th Quintile,East,No,0.74800,254,350,0.70245,0.79355
2011,1st Quintile,West,Yes,0.11712,208,1539,0.10105,0.13319
2011,1st Quintile,West,No,0.88288,1331,1539,0.86681,0.89895
2011,1st Quintile,East,Yes,0.16037,146,716,0.13347,0.18727
2011,1st Quintile,East,No,0.83963,570,716,0.81273,0.86653
2011,2nd Quintile,West,Yes,0.13271,230,1498,0.11553,0.14990
2011,2nd Quintile,West,No,0.86729,1268,1498,0.85010,0.88447
2011,2nd Quintile,East,Yes,0.18576,148,741,0.15774,0.21378
2011,2nd Quintile,East,No,0.81424,593,741,0.78622,0.84226
2011,3rd Quintile,West,Yes,0.15073,312,1721,0.13383,0.16764
2011,3rd Quintile,West,No,0.84927,1409,1721,0.83236,0.86617
2011,3rd Quintile,East,Yes,0.22227,146,654,0.19038,0.25416
2011,3rd Quintile,East,No,0.77773,508,654,0.74584,0.80962
2011,4th Quintile,West,Yes,0.15278,317,1980,0.13693,0.16863
2011,4th Quintile,West,No,0.84722,1663,1980,0.83137,0.86307
2011,4th Quintile,East,Yes,0.18298,95,456,0.14746,0.21851
2011,4th Quintile,East,No,0.81702,361,456,0.78149,0.85254
2011,5th Quintile,West,Yes,0.15736,422,2451,0.14294,0.17178
2011,5th Quintile,West,No,0.84264,2029,2451,0.82822,0.85706
2011,5th Quintile,East,Yes,0.23421,84,325,0.18809,0.28032
2011,5th Quintile,East,No,0.76579,241,325,0.71968,0.81191
2016,1st Quintile,West,Yes,0.12190,343,2276,0.10845,0.13534
2016,1st Quintile,West,No,0.87810,1933,2276,0.86466,0.89155
2016,1st Quintile,East,Yes,0.20220,193,820,0.17469,0.22971
2016,1st Quintile,East,No,0.79780,627,820,0.77029,0.82531
2016,2nd Quintile,West,Yes,0.15574,410,2242,0.14072,0.17075
2016,2nd Quintile,West,No,0.84426,1832,2242,0.82925,0.85928
2016,2nd Quintile,East,Yes,0.20181,194,799,0.17396,0.22966
2016,2nd Quintile,East,No,0.79819,605,799,0.77034,0.82604
2016,3rd Quintile,West,Yes,0.14801,375,2071,0.13271,0.16331
2016,3rd Quintile,West,No,0.85199,1696,2071,0.83669,0.86729
2016,3rd Quintile,East,Yes,0.25038,152,672,0.21760,0.28316
2016,3rd Quintile,East,No,0.74962,520,672,0.71684,0.78240
2016,4th Quintile,West,Yes,0.14596,368,2205,0.13122,0.16070
2016,4th Quintile,West,No,0.85404,1837,2205,0.83930,0.86878
2016,4th Quintile,East,Yes,0.19819,112,457,0.16160,0.23478
2016,4th Quintile,East,No,0.80181,345,457,0.76522,0.83840
2016,5th Quintile,West,Yes,0.14602,381,2429,0.13197,0.16007
2016,5th Quintile,West,No,0.85398,2048,2429,0.83993,0.86803
2016,5th Quintile,East,Yes,0.19812,71,326,0.15479,0.24145
2016,5th Quintile,East,No,0.80188,255,326,0.75855,0.84521
2021,1st Quintile,West,Yes,0.14993,241,1508,0.13191,0.16796
2021,1st Quintile,West,No,0.85007,1267,1508,0.83204,0.86809
2021,1st Quintile,East,Yes,0.16630,114,534,0.13468,0.19791
2021,1st Quintile,East,No,0.83370,420,534,0.80209,0.86532
2021,2nd Quintile,West,Yes,0.17687,337,1617,0.15827,0.19548
2021,2nd Quintile,West,No,0.82313,1280,1617,0.80452,0.84173
2021,2nd Quintile,East,Yes,0.15090,114,567,0.12141,0.18039
2021,2nd Quintile,East,No,0.84910,453,567,0.81961,0.87859
2021,3rd Quintile,West,Yes,0.14740,287,1549,0.12974,0.16506
2021,3rd Quintile,West,No,0.85260,1262,1549,0.83494,0.87026
2021,3rd Quintile,East,Yes,0.28082,132,475,0.24036,0.32128
2021,3rd Quintile,East,No,0.71918,343,475,0.67872,0.75964
2021,4th Quintile,West,Yes,0.16100,291,1688,0.14347,0.17854
2021,4th Quintile,West,No,0.83900,1397,1688,0.82146,0.85653
2021,4th Quintile,East,Yes,0.24070,103,390,0.19822,0.28318
2021,4th Quintile,East,No,0.75930,287,390,0.71682,0.80178
2021,5th Quintile,West,Yes,0.15094,384,2288,0.13626,0.16561
2021,5th Quintile,West,No,0.84906,1904,2288,0.83439,0.86374
2021,5th Quintile,East,Yes,0.18213,95,421,0.14521,0.21904
2021,5th Quintile,East,No,0.81787,326,421,0.78096,0.85479
