year,bula_h,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Thuringa,East,No,0.79410,404,519,0.75928,0.82893
2016,Schleswig-Holstein,West,Yes,0.21154,115,503,0.17581,0.24726
2016,Schleswig-Holstein,West,No,0.78846,388,503,0.75274,0.82419
2016,Hamburg,West,Yes,0.12088,35,264,0.08148,0.16028
2016,Hamburg,West,No,0.87912,229,264,0.83972,0.91852
2016,Lower Saxony,West,Yes,0.13764,232,1348,0.11924,0.15604
2016,Lower Saxony,West,No,0.86236,1116,1348,0.84396,0.88076
2016,Bremen,West,No,0.86275,87,87,0.79002,0.93548
2016,North Rhine-Westphalia,West,Yes,0.12790,397,2907,0.11576,0.14004
2016,North Rhine-Westphalia,West,No,0.87210,2510,2907,0.85996,0.88424
2016,Hesse,West,Yes,0.13003,147,978,0.10894,0.15112
2016,Hesse,West,No,0.86997,831,978,0.84888,0.89106
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.15416,144,848,0.12984,0.17848
2016,"Rhineland-Palatinate, Saarland",West,No,0.84584,704,848,0.82152,0.87016
2016,Baden-Wuerttemberg,West,Yes,0.12674,273,1627,0.11057,0.14291
2016,Baden-Wuerttemberg,West,No,0.87326,1354,1627,0.85709,0.88943
2016,Bavaria,West,Yes,0.18049,470,2300,0.16477,0.19621
2016,Bavaria,West,No,0.81951,1830,2300,0.80379,0.83523
2016,Berlin,West,Yes,0.11229,46,348,0.07907,0.14552
2016,Berlin,West,No,0.88771,302,348,0.85448,0.92093
2016,Berlin,East,Yes,0.11879,40,262,0.07954,0.15804
2016,Berlin,East,No,0.88121,222,262,0.84196,0.92046
2016,Brandenburg,East,Yes,0.28329,171,562,0.24600,0.32058
2016,Brandenburg,East,No,0.71671,391,562,0.67942,0.75400
2016,Mecklenburg-Western Pomerania,East,Yes,0.19065,66,328,0.14807,0.23322
2016,Mecklenburg-Western Pomerania,East,No,0.80935,262,328,0.76678,0.85193
2016,Saxony,East,Yes,0.23247,196,865,0.20430,0.26063
2016,Saxony,East,No,0.76753,669,865,0.73937,0.79570
2016,Saxony-Anhalt,East,Yes,0.19059,123,513,0.15657,0.22461
2016,Saxony-Anhalt,East,No,0.80941,390,513,0.77539,0.84343
2016,Thuringa,East,Yes,0.20215,126,544,0.16837,0.23593
2016,Thuringa,East,No,0.79785,418,544,0.76407,0.83163
2021,Schleswig-Holstein,West,Yes,0.15308,85,427,0.11889,0.18728
2021,Schleswig-Holstein,West,No,0.84692,342,427,0.81272,0.88111
2021,Hamburg,West,Yes,0.12478,33,268,0.08514,0.16442
2021,Hamburg,West,No,0.87522,235,268,0.83558,0.91486
2021,Lower Saxony,West,Yes,0.16968,214,1062,0.14710,0.19227
2021,Lower Saxony,West,No,0.83032,848,1062,0.80773,0.85290
2021,Bremen,West,No,0.94134,68,68,0.88507,0.99761
2021,North Rhine-Westphalia,West,Yes,0.14898,349,2283,0.13437,0.16359
2021,North Rhine-Westphalia,West,No,0.85102,1934,2283,0.83641,0.86563
2021,Hesse,West,Yes,0.15944,127,694,0.13218,0.18669
2021,Hesse,West,No,0.84056,567,694,0.81331,0.86782
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.17865,100,535,0.14616,0.21114
2021,"Rhineland-Palatinate, Saarland",West,No,0.82135,435,535,0.78886,0.85384
2021,Baden-Wuerttemberg,West,Yes,0.16598,222,1215,0.14505,0.18691
2021,Baden-Wuerttemberg,West,No,0.83402,993,1215,0.81309,0.85495
2021,Bavaria,West,Yes,0.16772,357,1747,0.15020,0.18525
2021,Bavaria,West,No,0.83228,1390,1747,0.81475,0.84980
2021,Berlin,West,Yes,0.09137,44,354,0.06131,0.12143
2021,Berlin,West,No,0.90863,310,354,0.87857,0.93869
2021,Berlin,East,No,0.92443,170,170,0.88457,0.96428
2021,Brandenburg,East,Yes,0.24635,128,446,0.20632,0.28639
2021,Brandenburg,East,No,0.75365,318,446,0.71361,0.79368
2021,Mecklenburg-Western Pomerania,East,Yes,0.18976,57,261,0.14209,0.23742
2021,Mecklenburg-Western Pomerania,East,No,0.81024,204,261,0.76258,0.85791
2021,Saxony,East,Yes,0.22038,160,733,0.19036,0.25041
2021,Saxony,East,No,0.77962,573,733,0.74959,0.80964
2021,Saxony-Anhalt,East,Yes,0.21907,100,369,0.17681,0.26133
2021,Saxony-Anhalt,East,No,0.78093,269,369,0.73867,0.82319
2021,Thuringa,East,Yes,0.17120,84,383,0.13343,0.20897
2021,Thuringa,East,No,0.82880,299,383,0.79103,0.86657
