"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2010","1 Einkommensschwächstes Quintil","64.98","58.67","7671","64.12","65.84"
"2010","2","66.46","59.54","7860","65.67","67.25"
"2010","3","67.79","59.58","6775","66.96","68.62"
"2010","4","67.54","59.96","6897","66.74","68.34"
"2010","5 Einkommensstärkstes Quintil","71.5","65.92","6084","70.45","72.55"
"2011","1 Einkommensschwächstes Quintil","69.01","62.25","8165","68.07","69.95"
"2011","2","70.12","66.46","8846","69.37","70.87"
"2011","3","69.71","63.88","8322","68.96","70.46"
"2011","4","71.18","66.58","8952","70.4","71.96"
"2011","5 Einkommensstärkstes Quintil","74.57","66.58","7824","73.56","75.58"
"2012","1 Einkommensschwächstes Quintil","69.44","62.25","6829","68.44","70.44"
"2012","2","72.83","67.96","8217","72.03","73.63"
"2012","3","73.3","66.33","8426","72.51","74.09"
"2012","4","74.01","68.46","8909","73.25","74.77"
"2012","5 Einkommensstärkstes Quintil","75.69","69.83","8153","74.8","76.58"
"2013","1 Einkommensschwächstes Quintil","74.25","68.17","8484","73.3","75.2"
"2013","2","76.42","69.58","9254","75.6","77.24"
"2013","3","75.66","69.92","8909","74.88","76.44"
"2013","4","76.78","69.96","10141","76.03","77.53"
"2013","5 Einkommensstärkstes Quintil","77.17","69.88","9044","76.32","78.02"
"2014","1 Einkommensschwächstes Quintil","73.09","66.46","6273","71.98","74.2"
"2014","2","78.32","69.83","7536","77.36","79.28"
"2014","3","77.49","71.92","7960","76.61","78.37"
"2014","4","77.85","73.79","9324","77.05","78.65"
"2014","5 Einkommensstärkstes Quintil","80.69","74.92","8950","79.77","81.61"
"2015","1 Einkommensschwächstes Quintil","70","59.5","5282","68.8","71.2"
"2015","2","72.95","67.5","4995","71.8","74.1"
"2015","3","66.46","59.5","4234","65.3","67.62"
"2015","4","65.98","57.5","4139","64.65","67.31"
"2015","5 Einkommensstärkstes Quintil","64.09","59.5","3193","62.84","65.34"
"2016","1 Einkommensschwächstes Quintil","71.35","64.5","4949","70.09","72.61"
"2016","2","78.38","72.75","6076","77.25","79.51"
"2016","3","74.91","70.62","6688","73.95","75.87"
"2016","4","77.02","70.54","9048","76.16","77.88"
"2016","5 Einkommensstärkstes Quintil","79.01","74.92","9313","78.14","79.88"
"2017","1 Einkommensschwächstes Quintil","75.17","66.83","4544","73.71","76.63"
"2017","2","75.82","69.58","5618","74.7","76.94"
"2017","3","75.36","69.75","7123","74.37","76.35"
"2017","4","76.98","70.79","9927","76.18","77.78"
"2017","5 Einkommensstärkstes Quintil","79.73","74.12","11550","78.94","80.52"
"2018","1 Einkommensschwächstes Quintil","73.88","64.5","4125","72.32","75.44"
"2018","2","74.33","69.5","4902","73.09","75.57"
"2018","3","76.36","69.75","6684","75.38","77.34"
"2018","4","76.77","74.92","10067","76.02","77.52"
"2018","5 Einkommensstärkstes Quintil","77.98","73.25","11796","77.26","78.7"
"2019","1 Einkommensschwächstes Quintil","71.06","62.75","3220","69.29","72.83"
"2019","2","75.39","69.5","4216","73.95","76.83"
"2019","3","75.33","69.92","5627","74.2","76.46"
"2019","4","77.39","70.42","9808","76.57","78.21"
"2019","5 Einkommensstärkstes Quintil","78.22","72.42","15399","77.45","78.99"
"2020","1 Einkommensschwächstes Quintil","74.19","69.5","9693","73.06","75.32"
"2020","2","75.52","69.5","7252","74.49","76.55"
"2020","3","78.22","70.92","6345","77.08","79.36"
"2020","4","80.57","74.88","10266","79.76","81.38"
"2020","5 Einkommensstärkstes Quintil","79.36","74.96","15260","78.53","80.19"
