"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2010","59.37","49.92","12933","25.83","37","75","100","166.67","58.77","59.97","0","500","60","60"
"2011","62.31","54.96","15831","28","40","80","100","169","61.73","62.89","0","950","60","62.5"
"2012","64.42","58.17","15542","30","40","80","103","188.42","63.84","65","0","833.25","64.1666641235352","65"
"2013","66.75","59.96","17113","30","40.25","83.33","108.33","200","66.18","67.32","0","580","67","70"
"2014","68.44","59.96","15268","30","42","84","113","200","67.8","69.08","0","600","70","70"
"2015","","","","","","","","","","","","","",""
"2016","67.46","59.96","14043","30","40","83.33","110","200","66.78","68.14","0","828","68.75","70"
"2017","67.71","59.96","15392","30","41.67","83.33","113.33","200","67.06","68.36","0","840","66.6666641235352","70"
"2018","67.12","59.96","15171","30","41.67","83.33","110","198.33","66.49","67.75","0","583.33","66.6666641235352","68.1666641235352"
"2019","67.27","59.96","15747","30","41.67","83.33","112.5","200","66.58","67.96","0","666.67","68.8333358764648","70"
"2020","69.51","62.42","19031","30","42","87","116.67","200","68.86","70.16","0","1250","66.6666641235352","69.4166641235352"
