"year","quintil","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2010","1 Einkommensschwächstes Quintil","Laendlicher Raum","67.38","59.5","3040","65.94","68.82"
"2010","1 Einkommensschwächstes Quintil","Staedtischer Raum","63.63","57.96","4631","62.55","64.71"
"2010","2","Laendlicher Raum","65.95","59.54","3099","64.78","67.12"
"2010","2","Staedtischer Raum","66.76","59.5","4761","65.7","67.82"
"2010","3","Laendlicher Raum","69.03","63.83","2529","67.72","70.34"
"2010","3","Staedtischer Raum","67.17","59.5","4246","66.1","68.24"
"2010","4","Laendlicher Raum","71.92","66.33","2206","70.48","73.36"
"2010","4","Staedtischer Raum","65.58","59.92","4691","64.61","66.55"
"2010","5 Einkommensstärkstes Quintil","Laendlicher Raum","76.13","69.79","1378","73.54","78.72"
"2010","5 Einkommensstärkstes Quintil","Staedtischer Raum","70.16","64.62","4706","69.03","71.29"
"2011","1 Einkommensschwächstes Quintil","Laendlicher Raum","69.58","59.5","3394","68.21","70.95"
"2011","1 Einkommensschwächstes Quintil","Staedtischer Raum","68.68","62.75","4771","67.4","69.96"
"2011","2","Laendlicher Raum","70.31","66.33","3485","69.15","71.47"
"2011","2","Staedtischer Raum","70.02","66.46","5361","69.05","70.99"
"2011","3","Laendlicher Raum","70.07","62.75","3283","68.87","71.27"
"2011","3","Staedtischer Raum","69.5","64.38","5039","68.53","70.47"
"2011","4","Laendlicher Raum","73.88","69.58","2992","72.55","75.21"
"2011","4","Staedtischer Raum","69.92","63.92","5960","68.95","70.89"
"2011","5 Einkommensstärkstes Quintil","Laendlicher Raum","81.03","75.25","1879","79.18","82.88"
"2011","5 Einkommensstärkstes Quintil","Staedtischer Raum","72.69","66.54","5945","71.5","73.88"
"2012","1 Einkommensschwächstes Quintil","Laendlicher Raum","69.54","61.83","2792","68.04","71.04"
"2012","1 Einkommensschwächstes Quintil","Staedtischer Raum","69.39","62.75","4037","68.06","70.72"
"2012","2","Laendlicher Raum","70.83","66.58","3378","69.6","72.06"
"2012","2","Staedtischer Raum","74","69.08","4839","72.95","75.05"
"2012","3","Laendlicher Raum","75.53","68.08","3384","74.25","76.81"
"2012","3","Staedtischer Raum","72.11","66.33","5042","71.11","73.11"
"2012","4","Laendlicher Raum","78.47","74.58","3043","77.19","79.75"
"2012","4","Staedtischer Raum","71.89","66.33","5866","70.94","72.84"
"2012","5 Einkommensstärkstes Quintil","Laendlicher Raum","78.16","74.58","2060","76.6","79.72"
