"hlf0192","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","1-Pers.- Haushalt","2","609","0.860825772273269","0.835383826001731","0.886267718544807"
"Ja","2001","1-Pers.- Haushalt","3","492","0.89306150070707","0.867374202848334","0.918748798565807"
"Ja","2001","1-Pers.- Haushalt","4","427","0.85608372996895","0.824973248639515","0.887194211298385"
"Ja","2001","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","(Ehe-)Paar ohne Kind(er)","2","1320","","",""
"Ja","2001","(Ehe-)Paar ohne Kind(er)","3","1630","","",""
"Ja","2001","(Ehe-)Paar ohne Kind(er)","4","1504","","",""
"Ja","2001","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","Alleinerziehende","2","381","0.873597534167794","0.842261813264209","0.904933255071379"
"Ja","2001","Alleinerziehende","3","241","","",""
"Ja","2001","Alleinerziehende","4","139","","",""
"Ja","2001","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","Paar mit Kind(ern)","2","4401","0.922648359476798","0.91507740260902","0.930219316344577"
"Ja","2001","Paar mit Kind(ern)","3","3238","0.933680666646396","0.92540596310842","0.941955370184373"
"Ja","2001","Paar mit Kind(ern)","4","1992","","",""
"Ja","2001","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","Sonstige","2","288","","",""
"Ja","2001","Sonstige","3","187","","",""
"Ja","2001","Sonstige","4","138","","",""
"Ja","2001","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2001","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2001","1-Pers.- Haushalt","2","102","","",""
"Nein","2001","1-Pers.- Haushalt","3","64","0.10693849929293","0.081251201434193","0.132625797151666"
"Nein","2001","1-Pers.- Haushalt","4","62","0.14391627003105","0.112805788701615","0.175026751360485"
"Nein","2001","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2001","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
