year,migback,regtyp,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Urban regions,Statutory health insurance,0.86014,5658,6529,0.85173,0.86855
1999,No migration background,Urban regions,Private health insurance,0.13117,814,6529,0.12299,0.13936
1999,No migration background,Urban regions,No insurance,0.00868,57,6529,0.00643,0.01094
1999,No migration background,Rural regions,Statutory health insurance,0.91081,3990,4332,0.90232,0.91930
1999,No migration background,Rural regions,Private health insurance,0.08109,307,4332,0.07296,0.08922
1999,No migration background,Rural regions,No insurance,0.00810,35,4332,0.00543,0.01077
1999,Direct migration background,Urban regions,Statutory health insurance,0.94403,1780,1836,0.93352,0.95455
1999,Direct migration background,Urban regions,Private health insurance,0.05030,56,1836,0.04030,0.06030
1999,Direct migration background,Rural regions,Statutory health insurance,0.92374,349,349,0.89586,0.95163
1999,Indirect migration background,Urban regions,Statutory health insurance,0.94099,487,487,0.92004,0.96194
1999,Indirect migration background,Rural regions,Statutory health insurance,0.97989,85,85,0.94988,1.00991
2000,No migration background,Urban regions,Statutory health insurance,0.85707,10526,12294,0.85088,0.86325
2000,No migration background,Urban regions,Private health insurance,0.13700,1696,12294,0.13092,0.14308
2000,No migration background,Urban regions,No insurance,0.00593,72,12294,0.00458,0.00729
2000,No migration background,Rural regions,Statutory health insurance,0.90907,6977,7665,0.90263,0.91551
2000,No migration background,Rural regions,Private health insurance,0.08665,650,7665,0.08035,0.09295
2000,No migration background,Rural regions,No insurance,0.00428,38,7665,0.00282,0.00574
2000,Direct migration background,Urban regions,Statutory health insurance,0.94092,2600,2716,0.93205,0.94979
2000,Direct migration background,Urban regions,Private health insurance,0.05303,116,2716,0.04460,0.06146
2000,Direct migration background,Rural regions,Statutory health insurance,0.92628,547,547,0.90436,0.94820
2000,Indirect migration background,Urban regions,Statutory health insurance,0.93472,665,699,0.91640,0.95305
2000,Indirect migration background,Urban regions,Private health insurance,0.05109,34,699,0.03476,0.06743
2000,Indirect migration background,Rural regions,Statutory health insurance,0.96677,108,108,0.93281,1.00073
2001,No migration background,Urban regions,Statutory health insurance,0.85248,9615,11262,0.84593,0.85903
2001,No migration background,Urban regions,Private health insurance,0.14164,1581,11262,0.13520,0.14808
2001,No migration background,Urban regions,No insurance,0.00588,66,11262,0.00447,0.00729
2001,No migration background,Rural regions,Statutory health insurance,0.90942,6357,6973,0.90268,0.91615
2001,No migration background,Rural regions,Private health insurance,0.08345,574,6973,0.07696,0.08995
2001,No migration background,Rural regions,No insurance,0.00713,42,6973,0.00515,0.00910
2001,Direct migration background,Urban regions,Statutory health insurance,0.93774,2283,2390,0.92805,0.94743
2001,Direct migration background,Urban regions,Private health insurance,0.05465,107,2390,0.04553,0.06376
2001,Direct migration background,Rural regions,Statutory health insurance,0.92892,487,487,0.90608,0.95177
2001,Indirect migration background,Urban regions,Statutory health insurance,0.91984,621,659,0.89909,0.94059
2001,Indirect migration background,Urban regions,Private health insurance,0.06365,38,659,0.04500,0.08230
2001,Indirect migration background,Rural regions,Statutory health insurance,0.95726,95,95,0.91637,0.99815
2002,No migration background,Urban regions,Statutory health insurance,0.85838,9973,12304,0.85222,0.86454
2002,No migration background,Urban regions,Private health insurance,0.13742,2271,12304,0.13133,0.14350
2002,No migration background,Urban regions,No insurance,0.00420,60,12304,0.00306,0.00534
2002,No migration background,Rural regions,Statutory health insurance,0.90901,6315,7143,0.90234,0.91568
2002,No migration background,Rural regions,Private health insurance,0.08543,784,7143,0.07895,0.09191
2002,No migration background,Rural regions,No insurance,0.00556,44,7143,0.00383,0.00728
