year,regtyp,sampreg,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,West,Statutory health insurance,0.86963,6760,7651,0.86209,0.87718
1999,Urban regions,West,Private health insurance,0.12159,828,7651,0.11427,0.12891
1999,Urban regions,West,No insurance,0.00878,63,7651,0.00669,0.01087
1999,Urban regions,East,Statutory health insurance,0.94200,1165,1230,0.92893,0.95506
1999,Urban regions,East,Private health insurance,0.05311,65,1230,0.04058,0.06565
1999,Rural regions,West,Statutory health insurance,0.87967,1986,2208,0.86610,0.89325
1999,Rural regions,West,Private health insurance,0.10968,222,2208,0.09664,0.12272
1999,Rural regions,East,Statutory health insurance,0.96096,2438,2533,0.95341,0.96850
1999,Rural regions,East,Private health insurance,0.03462,95,2533,0.02750,0.04174
2000,Urban regions,West,Statutory health insurance,0.86701,12075,13881,0.86136,0.87266
2000,Urban regions,West,Private health insurance,0.12651,1722,13881,0.12098,0.13205
2000,Urban regions,West,No insurance,0.00647,84,13881,0.00514,0.00781
2000,Urban regions,East,Statutory health insurance,0.93150,1716,1840,0.91995,0.94305
2000,Urban regions,East,Private health insurance,0.06469,124,1840,0.05345,0.07593
2000,Rural regions,West,Statutory health insurance,0.87856,3822,4359,0.86887,0.88826
2000,Rural regions,West,Private health insurance,0.11424,502,4359,0.10479,0.12368
2000,Rural regions,West,No insurance,0.00720,35,4359,0.00469,0.00971
2000,Rural regions,East,Statutory health insurance,0.95755,3810,3981,0.95128,0.96381
2000,Rural regions,East,Private health insurance,0.04014,171,3981,0.03404,0.04624
2001,Urban regions,West,Statutory health insurance,0.86105,10881,12580,0.85501,0.86710
2001,Urban regions,West,Private health insurance,0.13193,1618,12580,0.12602,0.13785
2001,Urban regions,West,No insurance,0.00701,81,12580,0.00555,0.00847
2001,Urban regions,East,Statutory health insurance,0.93468,1638,1746,0.92309,0.94628
2001,Urban regions,East,Private health insurance,0.06370,108,1746,0.05224,0.07515
2001,Rural regions,West,Statutory health insurance,0.88589,3444,3874,0.87587,0.89590
2001,Rural regions,West,Private health insurance,0.10695,430,3874,0.09721,0.11668
2001,Rural regions,East,Statutory health insurance,0.94913,3495,3666,0.94202,0.95624
2001,Rural regions,East,Private health insurance,0.04455,171,3666,0.03787,0.05123
2002,Urban regions,West,Statutory health insurance,0.86936,11151,13520,0.86368,0.87505
2002,Urban regions,West,Private health insurance,0.12623,2302,13520,0.12063,0.13183
2002,Urban regions,West,No insurance,0.00441,67,13520,0.00329,0.00552
2002,Urban regions,East,Statutory health insurance,0.92719,1607,1766,0.91507,0.93932
2002,Urban regions,East,Private health insurance,0.06901,159,1766,0.05719,0.08084
2002,Rural regions,West,Statutory health insurance,0.88232,3419,4035,0.87238,0.89227
2002,Rural regions,West,Private health insurance,0.11240,616,4035,0.10265,0.12215
2002,Rural regions,East,Statutory health insurance,0.95629,3433,3642,0.94965,0.96293
2002,Rural regions,East,Private health insurance,0.03870,209,3642,0.03244,0.04497
2003,Urban regions,West,Statutory health insurance,0.86923,10723,12975,0.86343,0.87503
2003,Urban regions,West,Private health insurance,0.12540,2178,12975,0.11971,0.13110
2003,Urban regions,West,No insurance,0.00537,74,12975,0.00411,0.00663
2003,Urban regions,East,Statutory health insurance,0.92662,1601,1755,0.91442,0.93882
2003,Urban regions,East,Private health insurance,0.06860,154,1755,0.05677,0.08043
2003,Rural regions,West,Statutory health insurance,0.88254,3232,3820,0.87233,0.89275
2003,Rural regions,West,Private health insurance,0.10902,557,3820,0.09914,0.11890
2003,Rural regions,West,No insurance,0.00844,31,3820,0.00554,0.01134
2003,Rural regions,East,Statutory health insurance,0.95175,3342,3565,0.94471,0.95878
2003,Rural regions,East,Private health insurance,0.04392,223,3565,0.03719,0.05064
2004,Urban regions,West,Statutory health insurance,0.87662,10377,12499,0.87085,0.88238
2004,Urban regions,West,Private health insurance,0.12338,2122,12499,0.11762,0.12915
2004,Urban regions,East,Statutory health insurance,0.93106,1599,1754,0.91920,0.94292
2004,Urban regions,East,Private health insurance,0.06894,155,1754,0.05708,0.08080
2004,Rural regions,West,Statutory health insurance,0.88827,3189,3736,0.87816,0.89837
2004,Rural regions,West,Private health insurance,0.11173,547,3736,0.10163,0.12184
2004,Rural regions,East,Statutory health insurance,0.95607,3219,3441,0.94922,0.96292
2004,Rural regions,East,Private health insurance,0.04393,222,3441,0.03708,0.05078
2005,Urban regions,West,Statutory health insurance,0.87679,9894,11941,0.87090,0.88269
2005,Urban regions,West,Private health insurance,0.12321,2047,11941,0.11731,0.12910
2005,Urban regions,East,Statutory health insurance,0.93416,1542,1690,0.92234,0.94599
