,Unnamed: 0,year,quintil_oecd,sampreg,ple0097,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1999,1st Quintile,West,Statutory health insurance,0.97525,1702,13531,0.94398,1.00661
1,1,1999,1st Quintile,West,Private health insurance,0.02475,45,13531,0.02123,0.02858
2,2,1999,1st Quintile,East,Statutory health insurance,1.0,818,13531,0.9609,1.03915
3,3,1999,2nd Quintile,West,Statutory health insurance,0.96875,1799,13531,0.93659,1.00166
4,4,1999,2nd Quintile,West,Private health insurance,0.03125,55,13531,0.02527,0.0372
5,5,1999,2nd Quintile,East,Statutory health insurance,1.0,989,13531,0.9579,1.03949
6,6,1999,3rd Quintile,West,Statutory health insurance,0.92576,1756,13531,0.89827,0.95802
7,7,1999,3rd Quintile,West,Private health insurance,0.07424,126,13531,0.06483,0.08375
8,8,1999,3rd Quintile,East,Statutory health insurance,0.96352,878,13531,0.92806,1.00821
9,9,1999,3rd Quintile,East,Private health insurance,0.03648,33,13531,0.02614,0.05045
10,10,1999,4th Quintile,West,Statutory health insurance,0.88015,1859,13531,0.85323,0.90885
11,11,1999,4th Quintile,West,Private health insurance,0.11985,247,13531,0.11111,0.1282
12,12,1999,4th Quintile,East,Statutory health insurance,0.94666,602,13531,0.8973,0.99725
13,13,1999,4th Quintile,East,Private health insurance,0.05334,40,13531,0.04425,0.06641
14,14,1999,5th Quintile,West,Statutory health insurance,0.7155,1630,13531,0.68935,0.73999
15,15,1999,5th Quintile,West,Private health insurance,0.2845,577,13531,0.26906,0.29946
16,16,1999,5th Quintile,East,Statutory health insurance,0.82664,316,13531,0.7729,0.88647
17,17,1999,5th Quintile,East,Private health insurance,0.17336,59,13531,0.13668,0.21517
18,18,2000,1st Quintile,West,Statutory health insurance,1.0,1707,13153,0.96406,1.03351
19,19,2000,1st Quintile,East,Statutory health insurance,1.0,824,13153,0.95951,1.03822
20,20,2000,2nd Quintile,West,Statutory health insurance,0.95657,1732,13153,0.92633,0.99694
21,21,2000,2nd Quintile,West,Private health insurance,0.04343,69,13153,0.03668,0.05141
22,22,2000,2nd Quintile,East,Statutory health insurance,1.0,940,13153,0.95787,1.03553
23,23,2000,3rd Quintile,West,Statutory health insurance,0.927,1646,13153,0.89234,0.96236
24,24,2000,3rd Quintile,West,Private health insurance,0.073,127,13153,0.06467,0.08157
25,25,2000,3rd Quintile,East,Statutory health insurance,0.96444,880,13153,0.91803,1.00117
26,26,2000,3rd Quintile,East,Private health insurance,0.03556,41,13153,0.0291,0.04245
27,27,2000,4th Quintile,West,Statutory health insurance,0.87881,1766,13153,0.84687,0.90757
28,28,2000,4th Quintile,West,Private health insurance,0.12119,248,13153,0.11187,0.13264
29,29,2000,4th Quintile,East,Statutory health insurance,0.92733,616,13153,0.88512,0.97577
30,30,2000,4th Quintile,East,Private health insurance,0.07267,47,13153,0.06075,0.08571
31,31,2000,5th Quintile,West,Statutory health insurance,0.69995,1582,13153,0.67562,0.72507
32,32,2000,5th Quintile,West,Private health insurance,0.30005,586,13153,0.28366,0.31661
33,33,2000,5th Quintile,East,Statutory health insurance,0.79701,274,13153,0.73726,0.87207
34,34,2000,5th Quintile,East,Private health insurance,0.20299,68,13153,0.16059,0.25778
35,35,2001,1st Quintile,West,Statutory health insurance,0.97377,2601,21741,0.94594,0.9958
36,36,2001,1st Quintile,West,Private health insurance,0.02623,61,21741,0.02252,0.03012
37,37,2001,1st Quintile,East,Statutory health insurance,1.0,1162,21741,0.96972,1.03553
38,38,2001,2nd Quintile,West,Statutory health insurance,0.95657,2832,21741,0.93612,0.97864
39,39,2001,2nd Quintile,West,Private health insurance,0.04343,115,21741,0.03875,0.04795
40,40,2001,2nd Quintile,East,Statutory health insurance,1.0,1386,21741,0.96874,1.02922
41,41,2001,3rd Quintile,West,Statutory health insurance,0.92943,2955,21741,0.90773,0.94928
