year,ple0097,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1999,Statutory health insurance,0.88754,12349,13669,0.88746,0.88761
1999,Private health insurance,0.10413,1210,13669,0.10406,0.10421
1999,No insurance,0.00833,110,13669,0.00831,0.00835
2000,Statutory health insurance,0.88487,21423,24081,0.88479,0.88495
2000,Private health insurance,0.10922,2519,24081,0.10915,0.10930
2000,No insurance,0.00591,139,24081,0.00589,0.00593
2001,Statutory health insurance,0.88154,19458,21915,0.88146,0.88162
2001,Private health insurance,0.11184,2327,21915,0.11176,0.11191
2001,No insurance,0.00662,130,21915,0.00660,0.00664
2002,Statutory health insurance,0.88653,19610,23013,0.88645,0.88660
2002,Private health insurance,0.10886,3286,23013,0.10879,0.10893
2002,No insurance,0.00461,117,23013,0.00460,0.00463
2003,Statutory health insurance,0.88579,18898,22136,0.88571,0.88586
2003,Private health insurance,0.10843,3112,22136,0.10836,0.10851
2003,No insurance,0.00578,126,22136,0.00576,0.00580
2004,Statutory health insurance,0.89217,18384,21430,0.89209,0.89224
2004,Private health insurance,0.10783,3046,21430,0.10776,0.10791
2005,Statutory health insurance,0.89151,17544,20452,0.89144,0.89159
2005,Private health insurance,0.10849,2908,20452,0.10841,0.10856
2006,Statutory health insurance,0.88626,18644,21793,0.88619,0.88634
2006,Private health insurance,0.11374,3149,21793,0.11366,0.11381
2007,Statutory health insurance,0.88550,17362,20289,0.88542,0.88557
2007,Private health insurance,0.11450,2927,20289,0.11443,0.11458
2008,Statutory health insurance,0.88740,16512,19272,0.88733,0.88748
2008,Private health insurance,0.11260,2760,19272,0.11252,0.11267
2009,Statutory health insurance,0.88288,15385,17995,0.88280,0.88295
2009,Private health insurance,0.11712,2610,17995,0.11705,0.11720
2010,Statutory health insurance,0.88033,20713,23931,0.88025,0.88040
2010,Private health insurance,0.11967,3218,23931,0.11960,0.11975
2011,Statutory health insurance,0.87708,24531,28304,0.87700,0.87716
2011,Private health insurance,0.12292,3773,28304,0.12284,0.12300
2012,Statutory health insurance,0.87653,23930,27590,0.87645,0.87661
2012,Private health insurance,0.12347,3660,27590,0.12339,0.12355
2013,Statutory health insurance,0.87647,26999,30573,0.87639,0.87655
2013,Private health insurance,0.12353,3574,30573,0.12345,0.12361
2014,Statutory health insurance,0.87799,23793,27013,0.87791,0.87807
2014,Private health insurance,0.12201,3220,27013,0.12193,0.12209
2015,Statutory health insurance,0.87513,23599,26722,0.87505,0.87521
2015,Private health insurance,0.12487,3123,26722,0.12479,0.12495
2016,Statutory health insurance,0.87810,21372,24248,0.87802,0.87818
2016,Private health insurance,0.12190,2876,24248,0.12182,0.12198
2017,Statutory health insurance,0.87792,23278,26487,0.87784,0.87799
2017,Private health insurance,0.12208,3209,26487,0.12201,0.12216
2018,Statutory health insurance,0.87983,22629,25606,0.87976,0.87991
2018,Private health insurance,0.12017,2977,25606,0.12009,0.12024
2019,Statutory health insurance,0.87831,21678,25663,0.87823,0.87839
2019,Private health insurance,0.12169,3985,25663,0.12161,0.12177
2020,Statutory health insurance,0.87961,24811,28322,0.87954,0.87969
2020,Private health insurance,0.12039,3511,28322,0.12031,0.12046
