year,age_gr,quintil_oecd,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,1st Quintile,Statutory health insurance,0.97371,733,733,0.96211,0.98530
1999,17-29 y.,2nd Quintile,Statutory health insurance,0.95235,623,623,0.93561,0.96909
1999,17-29 y.,3rd Quintile,Statutory health insurance,0.90520,556,589,0.88152,0.92888
1999,17-29 y.,3rd Quintile,Private health insurance,0.06816,33,589,0.04779,0.08853
1999,17-29 y.,4th Quintile,Statutory health insurance,0.87829,487,537,0.85061,0.90597
1999,17-29 y.,4th Quintile,Private health insurance,0.10096,50,537,0.07545,0.12646
1999,17-29 y.,5th Quintile,Statutory health insurance,0.79372,346,414,0.75469,0.83274
1999,17-29 y.,5th Quintile,Private health insurance,0.19539,68,414,0.15715,0.23363
1999,30-45 y.,1st Quintile,Statutory health insurance,0.96975,876,876,0.95840,0.98110
1999,30-45 y.,2nd Quintile,Statutory health insurance,0.94476,990,1023,0.93075,0.95876
1999,30-45 y.,2nd Quintile,Private health insurance,0.04022,33,1023,0.02817,0.05226
1999,30-45 y.,3rd Quintile,Statutory health insurance,0.90108,914,993,0.88250,0.91966
1999,30-45 y.,3rd Quintile,Private health insurance,0.08510,79,993,0.06774,0.10247
1999,30-45 y.,4th Quintile,Statutory health insurance,0.86011,813,931,0.83782,0.88241
1999,30-45 y.,4th Quintile,Private health insurance,0.11862,118,931,0.09784,0.13940
1999,30-45 y.,5th Quintile,Statutory health insurance,0.67647,593,826,0.64455,0.70839
1999,30-45 y.,5th Quintile,Private health insurance,0.31315,233,826,0.28150,0.34480
1999,46-65 y.,1st Quintile,Statutory health insurance,0.97929,590,590,0.96779,0.99079
1999,46-65 y.,2nd Quintile,Statutory health insurance,0.96862,705,705,0.95574,0.98149
1999,46-65 y.,3rd Quintile,Statutory health insurance,0.95473,766,766,0.94000,0.96946
1999,46-65 y.,4th Quintile,Statutory health insurance,0.89353,872,953,0.87394,0.91312
1999,46-65 y.,4th Quintile,Private health insurance,0.09868,81,953,0.07973,0.11762
1999,46-65 y.,5th Quintile,Statutory health insurance,0.71532,815,1093,0.68855,0.74208
1999,46-65 y.,5th Quintile,Private health insurance,0.27757,278,1093,0.25101,0.30414
1999,66 and older,1st Quintile,Statutory health insurance,0.98483,340,340,0.97181,0.99784
1999,66 and older,2nd Quintile,Statutory health insurance,0.98685,461,461,0.97644,0.99726
1999,66 and older,3rd Quintile,Statutory health insurance,0.95293,400,400,0.93215,0.97371
1999,66 and older,4th Quintile,Statutory health insurance,0.88268,277,309,0.84674,0.91862
1999,66 and older,4th Quintile,Private health insurance,0.11051,32,309,0.07549,0.14552
1999,66 and older,5th Quintile,Statutory health insurance,0.71316,192,254,0.65743,0.76889
1999,66 and older,5th Quintile,Private health insurance,0.27596,62,254,0.22088,0.33104
2000,17-29 y.,1st Quintile,Statutory health insurance,0.96699,693,693,0.95368,0.98030
2000,17-29 y.,2nd Quintile,Statutory health insurance,0.94694,580,580,0.92869,0.96520
2000,17-29 y.,3rd Quintile,Statutory health insurance,0.91844,541,575,0.89605,0.94083
2000,17-29 y.,3rd Quintile,Private health insurance,0.06567,34,575,0.04541,0.08594
2000,17-29 y.,4th Quintile,Statutory health insurance,0.86524,456,509,0.83555,0.89494
