"ple0097","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Gesetzliche KV","1999","17-34","Staedtischer Raum","2746","0.895498934171925","0.884588613480968","0.906409254862883"
"Gesetzliche KV","1999","17-34","Laendlicher Raum","1467","0.926817105019086","0.913934607197401","0.939699602840771"
"Gesetzliche KV","1999","35-65","Staedtischer Raum","4070","0.854413464042888","0.844285013845037","0.864541914240739"
"Gesetzliche KV","1999","35-65","Laendlicher Raum","2396","0.895360649369616","0.883646912464778","0.907074386274454"
"Gesetzliche KV","1999","66 +","Staedtischer Raum","1085","0.909019109891414","0.892617565656897","0.92542065412593"
"Gesetzliche KV","1999","66 +","Laendlicher Raum","585","0.937515598235544","0.918417920164322","0.956613276306766"
"Private KV","1999","17-34","Staedtischer Raum","245","0.0928473276846429","0.0824966325815701","0.103198022787716"
"Private KV","1999","17-34","Laendlicher Raum","84","0.0609675117687289","0.0491319790805034","0.0728030444569544"
"Private KV","1999","35-65","Staedtischer Raum","550","0.137292563566378","0.127409226047188","0.147175901085568"
"Private KV","1999","35-65","Laendlicher Raum","210","0.0972057487155951","0.0858689793084312","0.108542518122759"
"Private KV","1999","66 +","Staedtischer Raum","92","0.0866623662289508","0.0706168353693438","0.102707897088558"
"Private KV","1999","66 +","Laendlicher Raum","29","","",""
"Weder-noch","1999","17-34","Staedtischer Raum","29","","",""
"Weder-noch","1999","17-34","Laendlicher Raum","19","","",""
"Weder-noch","1999","35-65","Staedtischer Raum","38","0.00829397239073435","0.00568949184360341","0.0108984529378653"
"Weder-noch","1999","35-65","Laendlicher Raum","17","","",""
"Weder-noch","1999","66 +","Staedtischer Raum","4","","",""
"Weder-noch","1999","66 +","Laendlicher Raum","3","","",""
"Gesetzliche KV","2000","17-34","Staedtischer Raum","4109","0.886676103463698","0.877506771498778","0.895845435428618"
"Gesetzliche KV","2000","17-34","Laendlicher Raum","2297","0.926359583343774","0.91606350648852","0.936655660199027"
"Gesetzliche KV","2000","35-65","Staedtischer Raum","7517","0.856953359027409","0.849608923987122","0.864297794067695"
"Gesetzliche KV","2000","35-65","Laendlicher Raum","4197","0.888225643549224","0.879209894141852","0.897241392956596"
"Gesetzliche KV","2000","66 +","Staedtischer Raum","2111","0.900021547644769","0.887857129784202","0.912185965505336"
"Gesetzliche KV","2000","66 +","Laendlicher Raum","1192","0.943627266060441","0.930892305395045","0.956362226725837"
"Private KV","2000","17-34","Staedtischer Raum","444","0.10469438207813","0.095838296828743","0.113550467327518"
"Private KV","2000","17-34","Laendlicher Raum","153","0.0649718088642005","0.0552555586708857","0.0746880590575153"
"Private KV","2000","35-65","Staedtischer Raum","1164","0.136686727903502","0.129480825901591","0.143892629905413"
"Private KV","2000","35-65","Laendlicher Raum","473","0.107274877228172","0.0984201134317051","0.116129641024639"
"Private KV","2000","66 +","Staedtischer Raum","220","0.0971746324513449","0.0851633327955331","0.109185932107157"
"Private KV","2000","66 +","Laendlicher Raum","65","0.0541823968047328","0.041682811031569","0.0666819825778965"
"Weder-noch","2000","17-34","Staedtischer Raum","38","0.00862951445817171","0.00595401037806759","0.0113050185382758"
"Weder-noch","2000","17-34","Laendlicher Raum","22","","",""
"Weder-noch","2000","35-65","Staedtischer Raum","49","0.00635991306908893","0.00469235444408566","0.0080274716940922"
"Weder-noch","2000","35-65","Laendlicher Raum","22","","",""
"Weder-noch","2000","66 +","Staedtischer Raum","5","","",""
"Weder-noch","2000","66 +","Laendlicher Raum","3","","",""
"Gesetzliche KV","2001","17-34","Staedtischer Raum","3652","0.886894581169556","0.877177350762702","0.89661181157641"
"Gesetzliche KV","2001","17-34","Laendlicher Raum","1990","0.919715978513594","0.908261860028022","0.931170096999166"
"Gesetzliche KV","2001","35-65","Staedtischer Raum","6834","0.849371690488746","0.841522398461935","0.857220982515556"
"Gesetzliche KV","2001","35-65","Laendlicher Raum","3871","0.893180118055992","0.883943531058516","0.902416705053468"
"Gesetzliche KV","2001","66 +","Staedtischer Raum","1988","0.896627158427982","0.883928503308305","0.90932581354766"
"Gesetzliche KV","2001","66 +","Laendlicher Raum","1123","0.938780365681732","0.925165305205011","0.952395426158453"
"Private KV","2001","17-34","Staedtischer Raum","390","0.102726979197904","0.0934122687945745","0.112041689601233"
"Private KV","2001","17-34","Laendlicher Raum","146","0.0660991162811025","0.0556261798854085","0.0765720526767966"
"Private KV","2001","35-65","Staedtischer Raum","1101","0.144382386259674","0.13666935199272","0.152095420526628"
"Private KV","2001","35-65","Laendlicher Raum","406","0.100984296362634","0.091974260585398","0.109994332139871"
"Private KV","2001","66 +","Staedtischer Raum","216","0.100901586135641","0.088338360237039","0.113464812034244"
"Private KV","2001","66 +","Laendlicher Raum","68","0.0612196343182677","0.0476045738415468","0.0748346947949886"
"Weder-noch","2001","17-34","Staedtischer Raum","39","0.0103784396325398","0.00726911978092872","0.013487759484151"
"Weder-noch","2001","17-34","Laendlicher Raum","26","","",""
"Weder-noch","2001","35-65","Staedtischer Raum","42","0.00624592325158036","0.00451703836293693","0.00797480814022379"
"Weder-noch","2001","35-65","Laendlicher Raum","19","","",""
"Weder-noch","2001","66 +","Staedtischer Raum","4","","",""
"Weder-noch","2001","66 +","Laendlicher Raum","","","",""
"Gesetzliche KV","2002","17-34","Staedtischer Raum","3535","0.889970723495355","0.880302179143232","0.899639267847479"
"Gesetzliche KV","2002","17-34","Laendlicher Raum","1907","0.92589698554763","0.914707211588909","0.937086759506352"
"Gesetzliche KV","2002","35-65","Staedtischer Raum","7082","0.855396404517321","0.848066522570228","0.862726286464414"
"Gesetzliche KV","2002","35-65","Laendlicher Raum","3828","0.887867963680298","0.878596337019878","0.897139590340718"
"Gesetzliche KV","2002","66 +","Staedtischer Raum","2097","0.907827636623236","0.896149585793072","0.919505687453401"
"Gesetzliche KV","2002","66 +","Laendlicher Raum","1161","0.952342650369219","0.940456203004979","0.964229097733459"
"Private KV","2002","17-34","Staedtischer Raum","467","0.104656551867931","0.0951985989903328","0.114114504745529"
"Private KV","2002","17-34","Laendlicher Raum","176","0.0633093869366503","0.0529064928008953","0.0737122810724052"
"Private KV","2002","35-65","Staedtischer Raum","1725","0.140753652461672","0.13350574886718","0.148001556056165"
"Private KV","2002","35-65","Laendlicher Raum","596","0.107590107975141","0.0984849969119569","0.116695219038326"
"Private KV","2002","66 +","Staedtischer Raum","250","0.0879052924350849","0.0764739883095252","0.0993365965606445"
"Private KV","2002","66 +","Laendlicher Raum","72","0.0474201407496586","0.0355618354339856","0.0592784460653317"
"Weder-noch","2002","17-34","Staedtischer Raum","22","","",""
"Weder-noch","2002","17-34","Laendlicher Raum","22","","",""
"Weder-noch","2002","35-65","Staedtischer Raum","37","0.00384994302100709","0.00255927884112107","0.00514060720089311"
"Weder-noch","2002","35-65","Laendlicher Raum","25","","",""
"Weder-noch","2002","66 +","Staedtischer Raum","10","","",""
"Weder-noch","2002","66 +","Laendlicher Raum","1","","",""
"Gesetzliche KV","2003","17-34","Staedtischer Raum","3386","0.896840740350505","0.887225322227951","0.906456158473058"
"Gesetzliche KV","2003","17-34","Laendlicher Raum","1798","0.923431911054272","0.911731433166996","0.935132388941548"
"Gesetzliche KV","2003","35-65","Staedtischer Raum","6776","0.853884225174148","0.846344034095855","0.861424416252442"
"Gesetzliche KV","2003","35-65","Laendlicher Raum","3650","0.888941940263558","0.879472136321765","0.898411744205352"
"Gesetzliche KV","2003","66 +","Staedtischer Raum","2115","0.901347614090436","0.88941507350063","0.913280154680242"
"Gesetzliche KV","2003","66 +","Laendlicher Raum","1173","0.946033079111863","0.933507146653867","0.958559011569859"
"Private KV","2003","17-34","Staedtischer Raum","431","0.0977563816391082","0.0883679970887753","0.107144766189441"
"Private KV","2003","17-34","Laendlicher Raum","159","0.0602133682461695","0.0497459796011168","0.0706807568912221"
"Private KV","2003","35-65","Staedtischer Raum","1620","0.141776333962455","0.134330104453874","0.149222563471037"
"Private KV","2003","35-65","Laendlicher Raum","558","0.105686802839039","0.0964209702712154","0.114952635406862"
"Private KV","2003","66 +","Staedtischer Raum","267","0.0912632184467845","0.0797393070484202","0.102787129845149"
"Private KV","2003","66 +","Laendlicher Raum","77","0.0539669208881369","0.0414409884301414","0.0664928533461325"
"Weder-noch","2003","17-34","Staedtischer Raum","27","","",""
"Weder-noch","2003","17-34","Laendlicher Raum","27","","",""
"Weder-noch","2003","35-65","Staedtischer Raum","34","0.00433944086339619","0.00293628200368949","0.0057425997231029"
"Weder-noch","2003","35-65","Laendlicher Raum","21","","",""
"Weder-noch","2003","66 +","Staedtischer Raum","17","","",""
"Weder-noch","2003","66 +","Laendlicher Raum","","","",""
"Gesetzliche KV","2004","17-34","Staedtischer Raum","3229","0.903383469429474","0.893804349550823","0.912962589308125"
"Gesetzliche KV","2004","17-34","Laendlicher Raum","1730","0.94294889225885","0.932472806402081","0.953424978115619"
"Gesetzliche KV","2004","35-65","Staedtischer Raum","6530","0.857650227343798","0.850041495693131","0.865258958994465"
"Gesetzliche KV","2004","35-65","Laendlicher Raum","3507","0.887442699392066","0.877721002656627","0.897164396127504"
"Gesetzliche KV","2004","66 +","Staedtischer Raum","2174","0.917022748745845","0.906086533057153","0.927958964434537"
"Gesetzliche KV","2004","66 +","Laendlicher Raum","1214","0.948370499228221","0.936286014412401","0.960454984044041"
"Private KV","2004","17-34","Staedtischer Raum","425","0.096616530570526","0.0870374106918752","0.106195650449177"
"Private KV","2004","17-34","Laendlicher Raum","153","0.0570511077411501","0.0465750218843812","0.067527193597919"
"Private KV","2004","35-65","Staedtischer Raum","1571","0.142349772656202","0.134741041005535","0.149958504306869"
"Private KV","2004","35-65","Laendlicher Raum","553","0.112557300607934","0.102835603872496","0.122278997343373"
"Private KV","2004","66 +","Staedtischer Raum","270","0.0829772512541554","0.0720410355654632","0.0939134669428475"
"Private KV","2004","66 +","Laendlicher Raum","74","0.0516295007717787","0.0395450159559586","0.0637139855875987"
"Weder-noch","2004","17-34","Staedtischer Raum","","","",""
"Weder-noch","2004","17-34","Laendlicher Raum","","","",""
"Weder-noch","2004","35-65","Staedtischer Raum","","","",""
"Weder-noch","2004","35-65","Laendlicher Raum","","","",""
"Weder-noch","2004","66 +","Staedtischer Raum","","","",""
"Weder-noch","2004","66 +","Laendlicher Raum","","","",""
"Gesetzliche KV","2005","17-34","Staedtischer Raum","3072","0.910059827595876","0.900550329944857","0.919569325246894"
"Gesetzliche KV","2005","17-34","Laendlicher Raum","1624","0.940254670245985","0.929159553820017","0.951349786671953"
"Gesetzliche KV","2005","35-65","Staedtischer Raum","6134","0.854452897412889","0.846541625613158","0.862364169212621"
"Gesetzliche KV","2005","35-65","Laendlicher Raum","3333","0.883989813729435","0.873875579101553","0.894104048357317"
"Gesetzliche KV","2005","66 +","Staedtischer Raum","2189","0.92053205267712","0.909852742652236","0.931211362702003"
"Gesetzliche KV","2005","66 +","Laendlicher Raum","1192","0.937680733964628","0.924406727086049","0.950954740843207"
"Private KV","2005","17-34","Staedtischer Raum","405","0.0899401724041241","0.0804306747531056","0.0994496700551425"
"Private KV","2005","17-34","Laendlicher Raum","129","0.059745329754015","0.0486502133280471","0.0708404461799829"
"Private KV","2005","35-65","Staedtischer Raum","1499","0.14554710258711","0.137635830787379","0.153458374386842"
"Private KV","2005","35-65","Laendlicher Raum","518","0.116010186270565","0.105895951642683","0.126124420898447"
"Private KV","2005","66 +","Staedtischer Raum","275","0.0794679473228803","0.0687886372979969","0.0901472573477638"
"Private KV","2005","66 +","Laendlicher Raum","82","0.0623192660353716","0.0490452591567928","0.0755932729139505"
"Weder-noch","2005","17-34","Staedtischer Raum","","","",""
"Weder-noch","2005","17-34","Laendlicher Raum","","","",""
"Weder-noch","2005","35-65","Staedtischer Raum","","","",""
"Weder-noch","2005","35-65","Laendlicher Raum","","","",""
"Weder-noch","2005","66 +","Staedtischer Raum","","","",""
"Weder-noch","2005","66 +","Laendlicher Raum","","","",""
"Gesetzliche KV","2006","17-34","Staedtischer Raum","2941","0.906522299423756","0.896626273148712","0.9164183256988"
"Gesetzliche KV","2006","17-34","Laendlicher Raum","1608","0.938141090186663","0.92681230369678","0.949469876676547"
"Gesetzliche KV","2006","35-65","Staedtischer Raum","6523","0.850602501458189","0.842848871559976","0.858356131356402"
"Gesetzliche KV","2006","35-65","Laendlicher Raum","3609","0.875081152246824","0.865096290414979","0.885066014078669"
"Gesetzliche KV","2006","66 +","Staedtischer Raum","2520","0.912413927062724","0.90204622592603","0.922781628199417"
"Gesetzliche KV","2006","66 +","Laendlicher Raum","1443","0.933553421013099","0.921130310647456","0.945976531378741"
"Private KV","2006","17-34","Staedtischer Raum","383","0.093477700576244","0.0835816743012","0.103373726851288"
"Private KV","2006","17-34","Laendlicher Raum","129","0.0618589098133368","0.0505301233234532","0.0731876963032203"
"Private KV","2006","35-65","Staedtischer Raum","1597","0.149397498541811","0.141643868643598","0.157151128440024"
"Private KV","2006","35-65","Laendlicher Raum","603","0.124918847753176","0.11493398592133","0.134903709585021"
"Private KV","2006","66 +","Staedtischer Raum","336","0.0875860729372765","0.0772183718005834","0.0979537740739697"
"Private KV","2006","66 +","Laendlicher Raum","101","0.0664465789869014","0.0540234686212586","0.0788696893525442"
"Weder-noch","2006","17-34","Staedtischer Raum","","","",""
"Weder-noch","2006","17-34","Laendlicher Raum","","","",""
"Weder-noch","2006","35-65","Staedtischer Raum","","","",""
"Weder-noch","2006","35-65","Laendlicher Raum","","","",""
"Weder-noch","2006","66 +","Staedtischer Raum","","","",""
