year,regtyp,sex,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,male,Statutory health insurance,0.84123,3696,4288,0.83029,0.85217
1999,Urban regions,male,Private health insurance,0.14559,541,4288,0.13504,0.15615
1999,Urban regions,male,No insurance,0.01317,51,4288,0.00976,0.01659
1999,Urban regions,female,Statutory health insurance,0.90937,4229,4581,0.90106,0.91769
1999,Urban regions,female,Private health insurance,0.08668,352,4581,0.07853,0.09483
1999,Rural regions,male,Statutory health insurance,0.88412,2087,2318,0.87108,0.89715
1999,Rural regions,male,Private health insurance,0.10311,200,2318,0.09073,0.11549
1999,Rural regions,male,No insurance,0.01277,31,2318,0.00820,0.01735
1999,Rural regions,female,Statutory health insurance,0.93923,2337,2454,0.92978,0.94868
1999,Rural regions,female,Private health insurance,0.05700,117,2454,0.04782,0.06617
2000,Urban regions,male,Statutory health insurance,0.83692,6355,7526,0.82857,0.84527
2000,Urban regions,male,Private health insurance,0.15363,1107,7526,0.14549,0.16178
2000,Urban regions,male,No insurance,0.00945,64,7526,0.00726,0.01163
2000,Urban regions,female,Statutory health insurance,0.90615,7436,8175,0.89983,0.91247
2000,Urban regions,female,Private health insurance,0.09060,739,8175,0.08438,0.09682
2000,Rural regions,male,Statutory health insurance,0.87827,3575,4045,0.86819,0.88835
2000,Rural regions,male,Private health insurance,0.11429,436,4045,0.10448,0.12410
2000,Rural regions,male,No insurance,0.00744,34,4045,0.00479,0.01009
2000,Rural regions,female,Statutory health insurance,0.94195,4057,4294,0.93495,0.94894
2000,Rural regions,female,Private health insurance,0.05499,237,4294,0.04817,0.06181
2001,Urban regions,male,Statutory health insurance,0.83001,5741,6836,0.82110,0.83891
2001,Urban regions,male,Private health insurance,0.15902,1029,6836,0.15035,0.16769
2001,Urban regions,male,No insurance,0.01097,66,6836,0.00850,0.01344
2001,Urban regions,female,Statutory health insurance,0.90290,6778,7475,0.89619,0.90962
2001,Urban regions,female,Private health insurance,0.09471,697,7475,0.08808,0.10135
2001,Rural regions,male,Statutory health insurance,0.87607,3257,3687,0.86543,0.88670
2001,Rural regions,male,Private health insurance,0.11159,391,3687,0.10143,0.12176
2001,Rural regions,male,No insurance,0.01234,39,3687,0.00878,0.01590
2001,Rural regions,female,Statutory health insurance,0.94533,3682,3892,0.93819,0.95247
2001,Rural regions,female,Private health insurance,0.05317,210,3892,0.04612,0.06022
2002,Urban regions,male,Statutory health insurance,0.83982,5856,7360,0.83144,0.84820
2002,Urban regions,male,Private health insurance,0.15325,1450,7360,0.14502,0.16148
2002,Urban regions,male,No insurance,0.00693,54,7360,0.00504,0.00883
2002,Urban regions,female,Statutory health insurance,0.90723,6902,7913,0.90083,0.91362
2002,Urban regions,female,Private health insurance,0.09084,1011,7913,0.08451,0.09717
2002,Rural regions,male,Statutory health insurance,0.87769,3202,3760,0.86721,0.88816
2002,Rural regions,male,Private health insurance,0.11378,522,3760,0.10362,0.12393
2002,Rural regions,male,No insurance,0.00854,36,3760,0.00560,0.01148
2002,Rural regions,female,Statutory health insurance,0.94450,3650,3953,0.93736,0.95164
2002,Rural regions,female,Private health insurance,0.05354,303,3953,0.04652,0.06055
2003,Urban regions,male,Statutory health insurance,0.83973,5653,7072,0.83118,0.84828
2003,Urban regions,male,Private health insurance,0.15236,1361,7072,0.14398,0.16073
2003,Urban regions,male,No insurance,0.00792,58,7072,0.00585,0.00998
2003,Urban regions,female,Statutory health insurance,0.90698,6671,7642,0.90047,0.91349
2003,Urban regions,female,Private health insurance,0.09015,971,7642,0.08373,0.09657
2003,Rural regions,male,Statutory health insurance,0.87763,3059,3586,0.86690,0.88836
2003,Rural regions,male,Private health insurance,0.11027,488,3586,0.10002,0.12052
