"ple0097","year","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Gesetzliche KV","1999","Westdeutschland","8746","0.871874142094219","0.86528569474088","0.878462589447558"
"Gesetzliche KV","1999","Ostdeutschland","3603","0.954445203745105","0.94780054816465","0.96108985932556"
"Private KV","1999","Westdeutschland","1050","0.118922575928488","0.112541748803191","0.125303403053786"
"Private KV","1999","Ostdeutschland","160","0.0409720685545798","0.0346553795737536","0.047288757535406"
"Weder-noch","1999","Westdeutschland","90","0.00920328197729291","0.00732092741109581","0.01108563654349"
"Weder-noch","1999","Ostdeutschland","20","","",""
"Gesetzliche KV","2000","Westdeutschland","15897","0.869651219052255","0.864765126197353","0.874537311907157"
"Gesetzliche KV","2000","Ostdeutschland","5527","0.948982672220042","0.943340866293524","0.95462447814656"
"Private KV","2000","Westdeutschland","2224","0.123706272553057","0.11892815988606","0.128484385220054"
"Private KV","2000","Ostdeutschland","296","0.0482267168247212","0.0427333227939356","0.0537201108555068"
"Weder-noch","2000","Westdeutschland","119","0.00664250839468794","0.00546366933941515","0.00782134744996074"
"Weder-noch","2000","Ostdeutschland","20","","",""
"Gesetzliche KV","2001","Westdeutschland","14325","0.866827653808204","0.861640335577702","0.872014972038705"
"Gesetzliche KV","2001","Ostdeutschland","5133","0.944337041578984","0.93824174317697","0.950432339980998"
"Private KV","2001","Westdeutschland","2048","0.126120305878312","0.121051708215135","0.131188903541488"
"Private KV","2001","Ostdeutschland","279","0.0508894059498956","0.0450466140575699","0.0567321978422213"
"Weder-noch","2001","Westdeutschland","107","0.00705204031348451","0.0057744543714739","0.00832962625549511"
"Weder-noch","2001","Ostdeutschland","23","","",""
"Gesetzliche KV","2002","Westdeutschland","14570","0.872421201051213","0.867490266196765","0.877352135905661"
"Gesetzliche KV","2002","Ostdeutschland","5040","0.946722416159508","0.940747775882471","0.952697056436545"
"Private KV","2002","Westdeutschland","2918","0.122965700894836","0.118111953297914","0.127819448491758"
"Private KV","2002","Ostdeutschland","368","0.0486710490850025","0.042946663466843","0.054395434703162"
"Weder-noch","2002","Westdeutschland","97","0.0046130980539507","0.00361155595670026","0.00561464015120114"
"Weder-noch","2002","Ostdeutschland","20","","",""
"Gesetzliche KV","2003","Westdeutschland","13955","0.872335612254938","0.867288595208643","0.877382629301234"
"Gesetzliche KV","2003","Ostdeutschland","4943","0.943539699047052","0.937349729887364","0.949729668206741"
"Private KV","2003","Westdeutschland","2735","0.121582969724197","0.116640490709948","0.126525448738446"
"Private KV","2003","Ostdeutschland","377","0.0519822424951818","0.0460287399502754","0.0579357450400883"
"Weder-noch","2003","Westdeutschland","105","0.00608141802086473","0.00490561134854278","0.00725722469318668"
"Weder-noch","2003","Ostdeutschland","21","","",""
"Gesetzliche KV","2004","Westdeutschland","13566","0.879391139249207","0.874381544502834","0.884400733995579"
"Gesetzliche KV","2004","Ostdeutschland","4818","0.947520389944966","0.941456589549839","0.953584190340093"
"Private KV","2004","Westdeutschland","2669","0.120608860750793","0.115599266004421","0.125618455497166"
"Private KV","2004","Ostdeutschland","377","0.0524796100550338","0.0464158096599069","0.0585434104501608"
"Weder-noch","2004","Westdeutschland","","","",""
"Weder-noch","2004","Ostdeutschland","","","",""
"Gesetzliche KV","2005","Westdeutschland","12922","0.878479777122516","0.873332461101287","0.883627093143745"
"Gesetzliche KV","2005","Ostdeutschland","4622","0.948426916526686","0.942280688269395","0.954573144783976"
"Private KV","2005","Westdeutschland","2556","0.121520222877484","0.116372906856255","0.126667538898713"
"Private KV","2005","Ostdeutschland","352","0.0515730834733145","0.0454268552160242","0.0577193117306049"
"Weder-noch","2005","Westdeutschland","","","",""
"Weder-noch","2005","Ostdeutschland","","","",""
"Gesetzliche KV","2006","Westdeutschland","13783","0.872801681149421","0.867727063972323","0.877876298326519"
"Gesetzliche KV","2006","Ostdeutschland","4861","0.944226811614719","0.938008605353647","0.950445017875791"
"Private KV","2006","Westdeutschland","2778","0.127198318850579","0.122123701673481","0.132272936027677"
"Private KV","2006","Ostdeutschland","371","0.0557731883852807","0.0495549821242087","0.0619913946463527"
"Weder-noch","2006","Westdeutschland","","","",""
"Weder-noch","2006","Ostdeutschland","","","",""
"Gesetzliche KV","2007","Westdeutschland","12766","0.872393915372501","0.86711210038604","0.877675730358962"
"Gesetzliche KV","2007","Ostdeutschland","4596","0.94140935911033","0.934873380340851","0.947945337879809"
"Private KV","2007","Westdeutschland","2563","0.127606084627499","0.122324269641038","0.13288789961396"
"Private KV","2007","Ostdeutschland","364","0.0585906408896697","0.0520546621201907","0.0651266196591486"
"Weder-noch","2007","Westdeutschland","","","",""
"Weder-noch","2007","Ostdeutschland","","","",""
"Gesetzliche KV","2008","Westdeutschland","12097","0.874685686466046","0.869299506239646","0.880071866692445"
"Gesetzliche KV","2008","Ostdeutschland","4415","0.942837383252237","0.93624093257052","0.949433833933954"
"Private KV","2008","Westdeutschland","2417","0.125314313533954","0.119928133307555","0.130700493760354"
"Private KV","2008","Ostdeutschland","343","0.0571626167477631","0.0505661660660461","0.0637590674294802"
"Weder-noch","2008","Westdeutschland","","","",""
"Weder-noch","2008","Ostdeutschland","","","",""
"Gesetzliche KV","2009","Westdeutschland","11181","0.87061213765757","0.864941062960539","0.876283212354601"
"Gesetzliche KV","2009","Ostdeutschland","4204","0.935873630481804","0.928747609503752","0.942999651459855"
"Private KV","2009","Westdeutschland","2274","0.12938786234243","0.123716787645399","0.135058937039461"
"Private KV","2009","Ostdeutschland","336","0.064126369518196","0.0570003485401445","0.0712523904962476"
"Weder-noch","2009","Westdeutschland","","","",""
"Weder-noch","2009","Ostdeutschland","","","",""
"Gesetzliche KV","2010","Westdeutschland","15660","0.86846483516554","0.863589617484266","0.873340052846814"
"Gesetzliche KV","2010","Ostdeutschland","5053","0.933257174224087","0.926642068316057","0.939872280132116"
"Private KV","2010","Westdeutschland","2803","0.13153516483446","0.126659947153186","0.136410382515734"
"Private KV","2010","Ostdeutschland","415","0.0667428257759131","0.0601277198678837","0.0733579316839425"
"Weder-noch","2010","Westdeutschland","","","",""
"Weder-noch","2010","Ostdeutschland","","","",""
"Gesetzliche KV","2011","Westdeutschland","18710","0.864835068373945","0.860317283564357","0.869352853183532"
"Gesetzliche KV","2011","Ostdeutschland","5821","0.931644636019207","0.925414667078963","0.937874604959452"
"Private KV","2011","Westdeutschland","3291","0.135164931626055","0.130647146816468","0.139682716435643"
"Private KV","2011","Ostdeutschland","482","0.0683553639807926","0.062125395040548","0.0745853329210372"
"Weder-noch","2011","Westdeutschland","","","",""
"Weder-noch","2011","Ostdeutschland","","","",""
"Gesetzliche KV","2012","Westdeutschland","18237","0.864762149008804","0.860183423537358","0.86934087448025"
"Gesetzliche KV","2012","Ostdeutschland","5693","0.930668257574862","0.92432538488083","0.937011130268894"
"Private KV","2012","Westdeutschland","3192","0.135237850991196","0.13065912551975","0.139816576462642"
"Private KV","2012","Ostdeutschland","468","0.0693317424251382","0.0629888697311064","0.0756746151191699"
"Weder-noch","2012","Westdeutschland","","","",""
"Weder-noch","2012","Ostdeutschland","","","",""
"Gesetzliche KV","2013","Westdeutschland","21337","0.863486264871518","0.859184496739024","0.867788033004011"
"Gesetzliche KV","2013","Ostdeutschland","5662","0.93604966732488","0.929911379386653","0.942187955263107"
"Private KV","2013","Westdeutschland","3133","0.136513735128482","0.132211966995989","0.140815503260976"
"Private KV","2013","Ostdeutschland","441","0.0639503326751201","0.0578120447368933","0.0700886206133469"
"Weder-noch","2013","Westdeutschland","","","",""
"Weder-noch","2013","Ostdeutschland","","","",""
"Gesetzliche KV","2014","Westdeutschland","18613","0.864606340886216","0.860026780225175","0.869185901547257"
"Gesetzliche KV","2014","Ostdeutschland","5180","0.94106120037215","0.934876892681902","0.947245508062398"
"Private KV","2014","Westdeutschland","2829","0.135393659113784","0.130814098452744","0.139973219774825"
"Private KV","2014","Ostdeutschland","391","0.0589387996278497","0.0527544919376018","0.0651231073180977"
"Weder-noch","2014","Westdeutschland","","","",""
"Weder-noch","2014","Ostdeutschland","","","",""
"Gesetzliche KV","2015","Westdeutschland","18582","0.861845795592936","0.857214630902655","0.866476960283218"
"Gesetzliche KV","2015","Ostdeutschland","5017","0.937988354346932","0.931553370336937","0.944423338356928"
"Private KV","2015","Westdeutschland","2744","0.138154204407064","0.133523039716782","0.142785369097345"
"Private KV","2015","Ostdeutschland","379","0.0620116456530676","0.0555766616430721","0.0684466296630631"
"Weder-noch","2015","Westdeutschland","","","",""
"Weder-noch","2015","Ostdeutschland","","","",""
"Gesetzliche KV","2016","Westdeutschland","16708","0.866113370254992","0.861299635144695","0.870927105365289"
"Gesetzliche KV","2016","Ostdeutschland","4664","0.936618474901875","0.929881173473783","0.943355776329967"
"Private KV","2016","Westdeutschland","2516","0.133886629745008","0.129072894634711","0.138700364855305"
"Private KV","2016","Ostdeutschland","360","0.0633815250981253","0.0566442236700334","0.0701188265262172"
"Weder-noch","2016","Westdeutschland","","","",""
"Weder-noch","2016","Ostdeutschland","","","",""
"Gesetzliche KV","2017","Westdeutschland","18085","0.865666577422614","0.861044044818724","0.870289110026504"
"Gesetzliche KV","2017","Ostdeutschland","5193","0.939227216997829","0.932959173860587","0.945495260135071"
"Private KV","2017","Westdeutschland","2821","0.134333422577386","0.129710889973496","0.138955955181276"
"Private KV","2017","Ostdeutschland","388","0.0607727830021711","0.054504739864929","0.0670408261394132"
"Weder-noch","2017","Westdeutschland","","","",""
"Weder-noch","2017","Ostdeutschland","","","",""
"Gesetzliche KV","2018","Westdeutschland","17505","0.868985624759446","0.86432367596966","0.873647573549231"
"Gesetzliche KV","2018","Ostdeutschland","5124","0.935045939196101","0.928522770709011","0.941569107683192"
"Private KV","2018","Westdeutschland","2618","0.131014375240554","0.126352426450769","0.13567632403034"
"Private KV","2018","Ostdeutschland","359","0.0649540608038989","0.0584308923168082","0.0714772292909896"
"Weder-noch","2018","Westdeutschland","","","",""
"Weder-noch","2018","Ostdeutschland","","","",""
"Gesetzliche KV","2019","Westdeutschland","16744","0.866658262952822","0.861962324331168","0.871354201574476"
"Gesetzliche KV","2019","Ostdeutschland","4956","0.935670083127462","0.929220128096606","0.942120038158318"
"Private KV","2019","Westdeutschland","3387","0.133341737047178","0.128645798425524","0.138037675668832"
"Private KV","2019","Ostdeutschland","602","0.064329916872538","0.0578799618416817","0.0707798719033943"
"Weder-noch","2019","Westdeutschland","","","",""
"Weder-noch","2019","Ostdeutschland","","","",""
"Gesetzliche KV","2020","Westdeutschland","19670","0.868529166238628","0.864132840030884","0.872925492446372"
"Gesetzliche KV","2020","Ostdeutschland","5231","0.940073671398805","0.933929732321663","0.946217610475946"
"Private KV","2020","Westdeutschland","3025","0.131470833761372","0.127074507553628","0.135867159969116"
"Private KV","2020","Ostdeutschland","502","0.0599263286011951","0.0537823895240537","0.0660702676783366"
"Weder-noch","2020","Westdeutschland","","","",""
"Weder-noch","2020","Ostdeutschland","","","",""
