year,migback,sex,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,male,Statutory health insurance,0.83892,4436,5193,0.82892,0.84892
1999,No migration background,male,Private health insurance,0.14695,685,5193,0.13732,0.15658
1999,No migration background,male,No insurance,0.01413,72,5193,0.01092,0.01734
1999,No migration background,female,Statutory health insurance,0.91279,5212,5648,0.90543,0.92015
1999,No migration background,female,Private health insurance,0.08396,436,5648,0.07672,0.09119
1999,Direct migration background,male,Statutory health insurance,0.93043,1063,1104,0.91541,0.94544
1999,Direct migration background,male,Private health insurance,0.06308,41,1104,0.04873,0.07742
1999,Direct migration background,female,Statutory health insurance,0.95071,1066,1066,0.93771,0.96371
1999,Indirect migration background,male,Statutory health insurance,0.94182,284,284,0.91455,0.96909
1999,Indirect migration background,female,Statutory health insurance,0.94995,288,288,0.92472,0.97517
2000,No migration background,male,Statutory health insurance,0.83480,8020,9546,0.82735,0.84225
2000,No migration background,male,Private health insurance,0.15672,1445,9546,0.14943,0.16401
2000,No migration background,male,No insurance,0.00848,81,9546,0.00664,0.01032
2000,No migration background,female,Statutory health insurance,0.91235,9483,10384,0.90692,0.91779
2000,No migration background,female,Private health insurance,0.08518,901,10384,0.07981,0.09055
2000,Direct migration background,male,Statutory health insurance,0.93141,1535,1612,0.91907,0.94375
2000,Direct migration background,male,Private health insurance,0.05930,77,1612,0.04776,0.07083
2000,Direct migration background,female,Statutory health insurance,0.94505,1612,1671,0.93412,0.95598
2000,Direct migration background,female,Private health insurance,0.04851,59,1671,0.03820,0.05881
2000,Indirect migration background,male,Statutory health insurance,0.93003,375,375,0.90418,0.95589
2000,Indirect migration background,female,Statutory health insurance,0.94739,398,398,0.92543,0.96935
2001,No migration background,male,Statutory health insurance,0.83090,7316,8722,0.82303,0.83877
2001,No migration background,male,Private health insurance,0.15782,1316,8722,0.15017,0.16547
2001,No migration background,male,No insurance,0.01128,90,8722,0.00907,0.01350
