year,migback,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Statutory health insurance,0.87725,9648,10861,0.87108,0.88342
1999,No migration background,Private health insurance,0.11426,1121,10861,0.10828,0.12024
1999,No migration background,No insurance,0.00849,92,10861,0.00676,0.01021
1999,Direct migration background,Statutory health insurance,0.94053,2129,2194,0.93063,0.95043
1999,Direct migration background,Private health insurance,0.05357,65,2194,0.04415,0.06299
1999,Indirect migration background,Statutory health insurance,0.94581,572,572,0.92724,0.96438
2000,No migration background,Statutory health insurance,0.87499,17503,19959,0.87040,0.87958
2000,No migration background,Private health insurance,0.11965,2346,19959,0.11514,0.12415
2000,No migration background,No insurance,0.00536,110,19959,0.00435,0.00637
2000,Direct migration background,Statutory health insurance,0.93834,3147,3283,0.93011,0.94657
2000,Direct migration background,Private health insurance,0.05382,136,3283,0.04610,0.06154
2000,Indirect migration background,Statutory health insurance,0.93870,773,810,0.92217,0.95523
2000,Indirect migration background,Private health insurance,0.04763,37,810,0.03295,0.06231
2001,No migration background,Statutory health insurance,0.87203,15972,18235,0.86718,0.87688
2001,No migration background,Private health insurance,0.12166,2155,18235,0.11692,0.12641
2001,No migration background,No insurance,0.00631,108,18235,0.00516,0.00746
2001,Direct migration background,Statutory health insurance,0.93613,2770,2900,0.92723,0.94503
2001,Direct migration background,Private health insurance,0.05713,130,2900,0.04868,0.06558
2001,Indirect migration background,Statutory health insurance,0.92402,716,758,0.90514,0.94289
2001,Indirect migration background,Private health insurance,0.06037,42,758,0.04341,0.07734
2002,No migration background,Statutory health insurance,0.87594,16288,19447,0.87130,0.88057
2002,No migration background,Private health insurance,0.11939,3055,19447,0.11484,0.12395
2002,No migration background,No insurance,0.00467,104,19447,0.00371,0.00563
2002,Direct migration background,Statutory health insurance,0.94547,2615,2789,0.93704,0.95390
2002,Direct migration background,Private health insurance,0.05123,174,2789,0.04305,0.05942
2002,Indirect migration background,Statutory health insurance,0.93491,707,764,0.91741,0.95242
2002,Indirect migration background,Private health insurance,0.05613,57,764,0.03980,0.07247
2003,No migration background,Statutory health insurance,0.87441,15723,18744,0.86966,0.87915
2003,No migration background,Private health insurance,0.11988,2911,18744,0.11523,0.12453
2003,No migration background,No insurance,0.00572,110,18744,0.00464,0.00680
2003,Direct migration background,Statutory health insurance,0.94907,2463,2607,0.94063,0.95752
2003,Direct migration background,Private health insurance,0.04643,144,2607,0.03835,0.05451
2003,Indirect migration background,Statutory health insurance,0.93258,712,769,0.91485,0.95032
2003,Indirect migration background,Private health insurance,0.05438,57,769,0.03835,0.07042
2004,No migration background,Statutory health insurance,0.88033,15275,18117,0.87560,0.88506
2004,No migration background,Private health insurance,0.11967,2842,18117,0.11494,0.12440
2004,Direct migration background,Statutory health insurance,0.95362,2380,2525,0.94542,0.96183
2004,Direct migration background,Private health insurance,0.04638,145,2525,0.03817,0.05458
2004,Indirect migration background,Statutory health insurance,0.94706,729,788,0.93141,0.96270
2004,Indirect migration background,Private health insurance,0.05294,59,788,0.03730,0.06859
2005,No migration background,Statutory health insurance,0.87903,14588,17295,0.87417,0.88389
2005,No migration background,Private health insurance,0.12097,2707,17295,0.11611,0.12583
2005,Direct migration background,Statutory health insurance,0.95287,2203,2343,0.94429,0.96146
2005,Direct migration background,Private health insurance,0.04713,140,2343,0.03854,0.05571
2005,Indirect migration background,Statutory health insurance,0.95283,753,814,0.93826,0.96740
2005,Indirect migration background,Private health insurance,0.04717,61,814,0.03260,0.06174
2006,No migration background,Statutory health insurance,0.87359,15693,18623,0.86882,0.87837
2006,No migration background,Private health insurance,0.12641,2930,18623,0.12163,0.13118
2006,Direct migration background,Statutory health insurance,0.94896,2215,2364,0.94008,0.95783
2006,Direct migration background,Private health insurance,0.05104,149,2364,0.04217,0.05992
2006,Indirect migration background,Statutory health insurance,0.94180,736,806,0.92562,0.95797
2006,Indirect migration background,Private health insurance,0.05820,70,806,0.04203,0.07438
2007,No migration background,Statutory health insurance,0.87216,14677,17420,0.86720,0.87712
2007,No migration background,Private health insurance,0.12784,2743,17420,0.12288,0.13280
2007,Direct migration background,Statutory health insurance,0.95291,1981,2101,0.94385,0.96197
2007,Direct migration background,Private health insurance,0.04709,120,2101,0.03803,0.05615
2007,Indirect migration background,Statutory health insurance,0.94015,704,768,0.92336,0.95694
2007,Indirect migration background,Private health insurance,0.05985,64,768,0.04306,0.07664
2008,No migration background,Statutory health insurance,0.87410,14009,16604,0.86906,0.87915
2008,No migration background,Private health insurance,0.12590,2595,16604,0.12085,0.13094
2008,Direct migration background,Statutory health insurance,0.95380,1799,1904,0.94437,0.96323
2008,Direct migration background,Private health insurance,0.04620,105,1904,0.03677,0.05563
2008,Indirect migration background,Statutory health insurance,0.94138,704,764,0.92471,0.95804
2008,Indirect migration background,Private health insurance,0.05862,60,764,0.04196,0.07529
2009,No migration background,Statutory health insurance,0.86892,13162,15631,0.86363,0.87421
2009,No migration background,Private health insurance,0.13108,2469,15631,0.12579,0.13637
2009,Direct migration background,Statutory health insurance,0.95093,1567,1657,0.94053,0.96133
2009,Direct migration background,Private health insurance,0.04907,90,1657,0.03867,0.05947
2009,Indirect migration background,Statutory health insurance,0.94847,656,707,0.93217,0.96478
2009,Indirect migration background,Private health insurance,0.05153,51,707,0.03522,0.06783
2010,No migration background,Statutory health insurance,0.86665,16908,19866,0.86193,0.87138
2010,No migration background,Private health insurance,0.13335,2958,19866,0.12862,0.13807
2010,Direct migration background,Statutory health insurance,0.94436,2806,2978,0.93613,0.95260
2010,Direct migration background,Private health insurance,0.05564,172,2978,0.04740,0.06387
2010,Indirect migration background,Statutory health insurance,0.94068,999,1087,0.92663,0.95473
2010,Indirect migration background,Private health insurance,0.05932,88,1087,0.04527,0.07337
2011,No migration background,Statutory health insurance,0.86444,20250,23737,0.86008,0.86879
2011,No migration background,Private health insurance,0.13556,3487,23737,0.13121,0.13992
2011,Direct migration background,Statutory health insurance,0.93931,3151,3336,0.93121,0.94742
2011,Direct migration background,Private health insurance,0.06069,185,3336,0.05258,0.06879
2011,Indirect migration background,Statutory health insurance,0.93280,1130,1231,0.91881,0.94679
2011,Indirect migration background,Private health insurance,0.06720,101,1231,0.05321,0.08119
2012,No migration background,Statutory health insurance,0.86221,19804,23203,0.85777,0.86664
2012,No migration background,Private health insurance,0.13779,3399,23203,0.13336,0.14223
2012,Direct migration background,Statutory health insurance,0.94668,3029,3190,0.93888,0.95447
2012,Direct migration background,Private health insurance,0.05332,161,3190,0.04553,0.06112
2012,Indirect migration background,Statutory health insurance,0.92407,1097,1197,0.90905,0.93908
2012,Indirect migration background,Private health insurance,0.07593,100,1197,0.06092,0.09095
2013,No migration background,Statutory health insurance,0.85927,18778,21993,0.85467,0.86386
2013,No migration background,Private health insurance,0.14073,3215,21993,0.13614,0.14533
2013,Direct migration background,Statutory health insurance,0.95578,6311,6541,0.95080,0.96077
2013,Direct migration background,Private health insurance,0.04422,230,6541,0.03923,0.04920
2013,Indirect migration background,Statutory health insurance,0.93535,1910,2039,0.92467,0.94602
2013,Indirect migration background,Private health insurance,0.06465,129,2039,0.05398,0.07533
2014,No migration background,Statutory health insurance,0.86061,17114,20043,0.85581,0.86540
2014,No migration background,Private health insurance,0.13939,2929,20043,0.13460,0.14419
2014,Direct migration background,Statutory health insurance,0.95370,5082,5274,0.94803,0.95937
2014,Direct migration background,Private health insurance,0.04630,192,5274,0.04063,0.05197
2014,Indirect migration background,Statutory health insurance,0.94169,1597,1696,0.93053,0.95284
2014,Indirect migration background,Private health insurance,0.05831,99,1696,0.04716,0.06947
2015,No migration background,Statutory health insurance,0.85572,16262,19089,0.85074,0.86071
2015,No migration background,Private health insurance,0.14428,2827,19089,0.13929,0.14926
2015,Direct migration background,Statutory health insurance,0.95819,5842,6040,0.95315,0.96324
2015,Direct migration background,Private health insurance,0.04181,198,6040,0.03676,0.04685
2015,Indirect migration background,Statutory health insurance,0.93443,1495,1593,0.92228,0.94659
2015,Indirect migration background,Private health insurance,0.06557,98,1593,0.05341,0.07772
2016,No migration background,Statutory health insurance,0.85916,15116,17739,0.85404,0.86428
2016,No migration background,Private health insurance,0.14084,2623,17739,0.13572,0.14596
2016,Direct migration background,Statutory health insurance,0.96160,4872,5033,0.95629,0.96691
2016,Direct migration background,Private health insurance,0.03840,161,5033,0.03309,0.04371
2016,Indirect migration background,Statutory health insurance,0.92173,1384,1476,0.90803,0.93544
2016,Indirect migration background,Private health insurance,0.07827,92,1476,0.06456,0.09197
2017,No migration background,Statutory health insurance,0.85930,17135,20064,0.85449,0.86412
2017,No migration background,Private health insurance,0.14070,2929,20064,0.13588,0.14551
2017,Direct migration background,Statutory health insurance,0.96256,4644,4803,0.95719,0.96793
2017,Direct migration background,Private health insurance,0.03744,159,4803,0.03207,0.04281
2017,Indirect migration background,Statutory health insurance,0.91346,1499,1620,0.89976,0.92715
2017,Indirect migration background,Private health insurance,0.08654,121,1620,0.07285,0.10024
2018,No migration background,Statutory health insurance,0.86071,16657,19382,0.85584,0.86559
2018,No migration background,Private health insurance,0.13929,2725,19382,0.13441,0.14416
2018,Direct migration background,Statutory health insurance,0.95892,4461,4611,0.95319,0.96465
2018,Direct migration background,Private health insurance,0.04108,150,4611,0.03535,0.04681
2018,Indirect migration background,Statutory health insurance,0.93170,1511,1613,0.91939,0.94402
2018,Indirect migration background,Private health insurance,0.06830,102,1613,0.05598,0.08061
2019,No migration background,Statutory health insurance,0.85992,16462,20077,0.85512,0.86472
2019,No migration background,Private health insurance,0.14008,3615,20077,0.13528,0.14488
2019,Direct migration background,Statutory health insurance,0.95138,3799,4022,0.94473,0.95803
2019,Direct migration background,Private health insurance,0.04862,223,4022,0.04197,0.05527
2019,Indirect migration background,Statutory health insurance,0.92687,1418,1565,0.91397,0.93977
2019,Indirect migration background,Private health insurance,0.07313,147,1565,0.06023,0.08603
2020,No migration background,Statutory health insurance,0.86093,15301,18470,0.85594,0.86592
2020,No migration background,Private health insurance,0.13907,3169,18470,0.13408,0.14406
2020,Direct migration background,Statutory health insurance,0.96011,8110,8327,0.95591,0.96432
2020,Direct migration background,Private health insurance,0.03989,217,8327,0.03568,0.04409
2020,Indirect migration background,Statutory health insurance,0.93226,1400,1525,0.91964,0.94488
2020,Indirect migration background,Private health insurance,0.06774,125,1525,0.05512,0.08036
2022,No migration background,Statutory health insurance,0.84624,15204,18230,0.84101,0.85148
2022,No migration background,Private health insurance,0.15376,3026,18230,0.14852,0.15899
2022,Direct migration background,Statutory health insurance,0.94236,5988,6317,0.93662,0.94811
2022,Direct migration background,Private health insurance,0.05764,329,6317,0.05189,0.06338
2022,Indirect migration background,Statutory health insurance,0.89729,1292,1443,0.88162,0.91296
2022,Indirect migration background,Private health insurance,0.10271,151,1443,0.08704,0.11838
