"ple0097","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gesetzliche KV","1999","17-29","kein Migrationshintergrund","1924","0.896471514467875","0.883509467854838","0.909433561080912"
"Gesetzliche KV","1999","17-29","direkter Migrationshintergrund","360","0.960840176271332","0.941021706302651","0.980658646240014"
"Gesetzliche KV","1999","17-29","indirekter Migrationshintergrund","461","0.950609635043073","0.931265612240613","0.969953657845534"
"Gesetzliche KV","1999","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","1999","30-45","kein Migrationshintergrund","3385","0.855861519208461","0.844799967270807","0.866923071146115"
"Gesetzliche KV","1999","30-45","direkter Migrationshintergrund","712","0.934708699835715","0.916909600285262","0.952507799386167"
"Gesetzliche KV","1999","30-45","indirekter Migrationshintergrund","89","0.941875627812795","0.895785659366362","0.987965596259228"
"Gesetzliche KV","1999","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","1999","46-65","kein Migrationshintergrund","2911","0.86347874111885","0.85180151687637","0.875155965361331"
"Gesetzliche KV","1999","46-65","direkter Migrationshintergrund","819","0.936609224128503","0.920209278286756","0.95300916997025"
"Gesetzliche KV","1999","46-65","indirekter Migrationshintergrund","18","","",""
"Gesetzliche KV","1999","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","1999","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","1999","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","1999","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","1999","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","1999","17-29","kein Migrationshintergrund","170","0.0888689146937332","0.0767617968011809","0.100976032586286"
"Private KV","1999","17-29","direkter Migrationshintergrund","8","","",""
"Private KV","1999","17-29","indirekter Migrationshintergrund","14","","",""
"Private KV","1999","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","1999","30-45","kein Migrationshintergrund","445","0.130504745065706","0.119895826836848","0.141113663294565"
"Private KV","1999","30-45","direkter Migrationshintergrund","25","","",""
"Private KV","1999","30-45","indirekter Migrationshintergrund","10","","",""
"Private KV","1999","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","1999","46-65","kein Migrationshintergrund","392","0.131816428440991","0.120310962659442","0.143321894222539"
"Private KV","1999","46-65","direkter Migrationshintergrund","25","","",""
"Private KV","1999","46-65","indirekter Migrationshintergrund","","","",""
"Private KV","1999","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","1999","66","kein Migrationshintergrund","","","",""
"Private KV","1999","66","direkter Migrationshintergrund","","","",""
"Private KV","1999","66","indirekter Migrationshintergrund","","","",""
"Private KV","1999","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","1999","17-29","kein Migrationshintergrund","28","","",""
"Weder-noch","1999","17-29","direkter Migrationshintergrund","","","",""
"Weder-noch","1999","17-29","indirekter Migrationshintergrund","7","","",""
"Weder-noch","1999","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","1999","30-45","kein Migrationshintergrund","43","0.0136337357258326","0.00998156657881841","0.0172859048728468"
"Weder-noch","1999","30-45","direkter Migrationshintergrund","3","","",""
"Weder-noch","1999","30-45","indirekter Migrationshintergrund","","","",""
"Weder-noch","1999","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","1999","46-65","kein Migrationshintergrund","18","","",""
