year,age_gr,sex,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,male,Statutory health insurance,0.89686,1316,1448,0.88118,0.91253
1999,17-29 y.,male,Private health insurance,0.08092,101,1448,0.06687,0.09497
1999,17-29 y.,male,No insurance,0.02222,31,1448,0.01463,0.02982
1999,17-29 y.,female,Statutory health insurance,0.92577,1429,1520,0.91259,0.93895
1999,17-29 y.,female,Private health insurance,0.07244,91,1520,0.05940,0.08547
1999,30-45 y.,male,Statutory health insurance,0.82439,1983,2330,0.80894,0.83985
1999,30-45 y.,male,Private health insurance,0.15546,312,2330,0.14074,0.17017
1999,30-45 y.,male,No insurance,0.02015,35,2330,0.01444,0.02586
1999,30-45 y.,female,Statutory health insurance,0.91178,2203,2371,0.90036,0.92320
1999,30-45 y.,female,Private health insurance,0.08353,168,2371,0.07239,0.09467
1999,46-65 y.,male,Statutory health insurance,0.83938,1801,2066,0.82354,0.85522
1999,46-65 y.,male,Private health insurance,0.15543,265,2066,0.13981,0.17106
1999,46-65 y.,female,Statutory health insurance,0.91138,1947,2099,0.89922,0.92354
1999,46-65 y.,female,Private health insurance,0.08449,152,2099,0.07259,0.09640
1999,66 and older,male,Statutory health insurance,0.89640,683,746,0.87451,0.91828
1999,66 and older,male,Private health insurance,0.09904,63,746,0.07759,0.12049
1999,66 and older,female,Statutory health insurance,0.93206,987,1045,0.91679,0.94732
1999,66 and older,female,Private health insurance,0.06387,58,1045,0.04904,0.07870
2000,17-29 y.,male,Statutory health insurance,0.89223,1993,2220,0.87933,0.90514
2000,17-29 y.,male,Private health insurance,0.09022,187,2220,0.07830,0.10214
2000,17-29 y.,male,No insurance,0.01754,40,2220,0.01208,0.02301
2000,17-29 y.,female,Statutory health insurance,0.92400,2184,2345,0.91327,0.93473
2000,17-29 y.,female,Private health insurance,0.07314,161,2345,0.06260,0.08368
2000,30-45 y.,male,Statutory health insurance,0.82504,3353,3990,0.81325,0.83683
2000,30-45 y.,male,Private health insurance,0.16613,605,3990,0.15458,0.17768
2000,30-45 y.,male,No insurance,0.00883,32,3990,0.00592,0.01173
2000,30-45 y.,female,Statutory health insurance,0.92128,3837,4153,0.91308,0.92947
2000,30-45 y.,female,Private health insurance,0.07636,316,4153,0.06828,0.08444
2000,46-65 y.,male,Statutory health insurance,0.83074,3205,3802,0.81882,0.84266
2000,46-65 y.,male,Private health insurance,0.16156,597,3802,0.14986,0.17326
2000,46-65 y.,female,Statutory health insurance,0.90217,3548,3916,0.89286,0.91147
2000,46-65 y.,female,Private health insurance,0.09397,368,3916,0.08483,0.10311
2000,66 and older,male,Statutory health insurance,0.89221,1379,1533,0.87668,0.90773
2000,66 and older,male,Private health insurance,0.10663,154,1533,0.09117,0.12208
2000,66 and older,female,Statutory health insurance,0.92881,1924,2055,0.91769,0.93993
2000,66 and older,female,Private health insurance,0.06764,131,2055,0.05678,0.07850
2001,17-29 y.,male,Statutory health insurance,0.88252,1767,1981,0.86833,0.89670
2001,17-29 y.,male,Private health insurance,0.09283,169,1981,0.08005,0.10562
2001,17-29 y.,male,No insurance,0.02465,45,1981,0.01782,0.03148
2001,17-29 y.,female,Statutory health insurance,0.93032,1963,2110,0.91946,0.94119
2001,17-29 y.,female,Private health insurance,0.06653,147,2110,0.05589,0.07716
2001,30-45 y.,male,Statutory health insurance,0.82601,2971,3542,0.81353,0.83850
2001,30-45 y.,male,Private health insurance,0.16310,538,3542,0.15093,0.17527
2001,30-45 y.,male,No insurance,0.01089,33,3542,0.00747,0.01431
2001,30-45 y.,female,Statutory health insurance,0.91616,3483,3777,0.90731,0.92500
2001,30-45 y.,female,Private health insurance,0.08244,294,3777,0.07367,0.09122
2001,46-65 y.,male,Statutory health insurance,0.82249,2940,3498,0.80982,0.83515
2001,46-65 y.,male,Private health insurance,0.16791,558,3498,0.15552,0.18029
2001,46-65 y.,female,Statutory health insurance,0.90090,3223,3560,0.89108,0.91072
2001,46-65 y.,female,Private health insurance,0.09633,337,3560,0.08664,0.10603
2001,66 and older,male,Statutory health insurance,0.88569,1320,1475,0.86944,0.90193
2001,66 and older,male,Private health insurance,0.11224,155,1475,0.09613,0.12836
2001,66 and older,female,Statutory health insurance,0.92730,1791,1920,0.91568,0.93891
2001,66 and older,female,Private health insurance,0.07133,129,1920,0.05981,0.08284
2002,17-29 y.,male,Statutory health insurance,0.89941,1785,1989,0.88619,0.91263
