year,sex,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,male,Statutory health insurance,0.85451,5783,6606,0.84601,0.86301
1999,male,Private health insurance,0.13244,741,6606,0.12427,0.14062
1999,male,No insurance,0.01305,82,6606,0.01031,0.01579
1999,female,Statutory health insurance,0.91863,6566,7035,0.91224,0.92502
1999,female,Private health insurance,0.07748,469,7035,0.07123,0.08373
2000,male,Statutory health insurance,0.85013,9930,11571,0.84363,0.85663
2000,male,Private health insurance,0.14106,1543,11571,0.13472,0.14741
2000,male,No insurance,0.00881,98,11571,0.00710,0.01051
2000,female,Statutory health insurance,0.91742,11493,12510,0.91259,0.92224
2000,female,Private health insurance,0.07939,976,12510,0.07465,0.08413
2000,female,No insurance,0.00319,41,12510,0.00220,0.00418
2001,male,Statutory health insurance,0.84478,8998,10523,0.83786,0.85170
2001,male,Private health insurance,0.14381,1420,10523,0.13710,0.15051
2001,male,No insurance,0.01141,105,10523,0.00938,0.01344
2001,female,Statutory health insurance,0.91617,10460,11367,0.91108,0.92127
2001,female,Private health insurance,0.08172,907,11367,0.07669,0.08676
2002,male,Statutory health insurance,0.85196,9058,11120,0.84536,0.85856
2002,male,Private health insurance,0.14059,1972,11120,0.13413,0.14705
2002,male,No insurance,0.00745,90,11120,0.00585,0.00904
2002,female,Statutory health insurance,0.91905,10552,11866,0.91414,0.92395
2002,female,Private health insurance,0.07901,1314,11866,0.07416,0.08386
2003,male,Statutory health insurance,0.85178,8712,10658,0.84503,0.85852
2003,male,Private health insurance,0.13898,1849,10658,0.13241,0.14555
2003,male,No insurance,0.00925,97,10658,0.00743,0.01106
2003,female,Statutory health insurance,0.91791,10186,11449,0.91288,0.92294
2003,female,Private health insurance,0.07958,1263,11449,0.07463,0.08454
2004,male,Statutory health insurance,0.86004,8447,10260,0.85332,0.86675
2004,male,Private health insurance,0.13996,1813,10260,0.13325,0.14668
2004,female,Statutory health insurance,0.92238,9937,11170,0.91742,0.92735
2004,female,Private health insurance,0.07762,1233,11170,0.07265,0.08258
2005,male,Statutory health insurance,0.86031,8028,9746,0.85343,0.86719
2005,male,Private health insurance,0.13969,1718,9746,0.13281,0.14657
2005,female,Statutory health insurance,0.92075,9516,10706,0.91564,0.92587
2005,female,Private health insurance,0.07925,1190,10706,0.07413,0.08436
2006,male,Statutory health insurance,0.85135,8485,10368,0.84450,0.85820
2006,male,Private health insurance,0.14865,1883,10368,0.14180,0.15550
2006,female,Statutory health insurance,0.91917,10159,11425,0.91417,0.92417
2006,female,Private health insurance,0.08083,1266,11425,0.07583,0.08583
2007,male,Statutory health insurance,0.85077,7906,9634,0.84365,0.85788
2007,male,Private health insurance,0.14923,1728,9634,0.14212,0.15635
2007,female,Statutory health insurance,0.91805,9456,10655,0.91285,0.92326
2007,female,Private health insurance,0.08195,1199,10655,0.07674,0.08715
2008,male,Statutory health insurance,0.85141,7535,9183,0.84414,0.85869
2008,male,Private health insurance,0.14859,1648,9183,0.14131,0.15586
2008,female,Statutory health insurance,0.92146,8977,10089,0.91621,0.92671
2008,female,Private health insurance,0.07854,1112,10089,0.07329,0.08379
2009,male,Statutory health insurance,0.84743,7018,8582,0.83982,0.85504
2009,male,Private health insurance,0.15257,1564,8582,0.14496,0.16018
2009,female,Statutory health insurance,0.91643,8367,9413,0.91084,0.92202
2009,female,Private health insurance,0.08357,1046,9413,0.07798,0.08916
2010,male,Statutory health insurance,0.84556,8966,10891,0.83878,0.85235
2010,male,Private health insurance,0.15444,1925,10891,0.14765,0.16122
2010,female,Statutory health insurance,0.91332,11747,13040,0.90849,0.91815
2010,female,Private health insurance,0.08668,1293,13040,0.08185,0.09151
2011,male,Statutory health insurance,0.83979,10570,12810,0.83344,0.84614
2011,male,Private health insurance,0.16021,2240,12810,0.15386,0.16656
2011,female,Statutory health insurance,0.91214,13961,15494,0.90768,0.91660
2011,female,Private health insurance,0.08786,1533,15494,0.08340,0.09232
2012,male,Statutory health insurance,0.84201,10362,12526,0.83563,0.84840
2012,male,Private health insurance,0.15799,2164,12526,0.15160,0.16437
2012,female,Statutory health insurance,0.90922,13568,15064,0.90464,0.91381
2012,female,Private health insurance,0.09078,1496,15064,0.08619,0.09536
2013,male,Statutory health insurance,0.84264,11827,13947,0.83660,0.84869
2013,male,Private health insurance,0.15736,2120,13947,0.15131,0.16340
2013,female,Statutory health insurance,0.90845,15172,16626,0.90406,0.91283
2013,female,Private health insurance,0.09155,1454,16626,0.08717,0.09594
2014,male,Statutory health insurance,0.84750,10519,12401,0.84118,0.85383
2014,male,Private health insurance,0.15250,1882,12401,0.14617,0.15882
2014,female,Statutory health insurance,0.90680,13274,14612,0.90209,0.91152
2014,female,Private health insurance,0.09320,1338,14612,0.08848,0.09791
2015,male,Statutory health insurance,0.84384,10457,12274,0.83741,0.85026
2015,male,Private health insurance,0.15616,1817,12274,0.14974,0.16259
2015,female,Statutory health insurance,0.90442,13142,14448,0.89963,0.90922
2015,female,Private health insurance,0.09558,1306,14448,0.09078,0.10037
2016,male,Statutory health insurance,0.84826,9444,11107,0.84159,0.85493
2016,male,Private health insurance,0.15174,1663,11107,0.14507,0.15841
2016,female,Statutory health insurance,0.90622,11928,13141,0.90123,0.91120
2016,female,Private health insurance,0.09378,1213,13141,0.08880,0.09877
2017,male,Statutory health insurance,0.84796,10372,12227,0.84160,0.85433
2017,male,Private health insurance,0.15204,1855,12227,0.14567,0.15840
2017,female,Statutory health insurance,0.90637,12906,14260,0.90159,0.91115
2017,female,Private health insurance,0.09363,1354,14260,0.08885,0.09841
2018,male,Statutory health insurance,0.85235,10079,11785,0.84595,0.85876
2018,male,Private health insurance,0.14765,1706,11785,0.14124,0.15405
2018,female,Statutory health insurance,0.90612,12550,13821,0.90126,0.91098
2018,female,Private health insurance,0.09388,1271,13821,0.08902,0.09874
2019,male,Statutory health insurance,0.84877,9753,12243,0.84242,0.85512
2019,male,Private health insurance,0.15123,2490,12243,0.14488,0.15758
2019,female,Statutory health insurance,0.90565,11920,13415,0.90070,0.91059
2019,female,Private health insurance,0.09435,1495,13415,0.08941,0.09930
2020,male,Statutory health insurance,0.85234,11777,13908,0.84644,0.85823
2020,male,Private health insurance,0.14766,2131,13908,0.14177,0.15356
2020,female,Statutory health insurance,0.90525,13027,14407,0.90047,0.91003
2020,female,Private health insurance,0.09475,1380,14407,0.08997,0.09953
2022,male,Statutory health insurance,0.83692,10403,12472,0.83043,0.84340
2022,male,Private health insurance,0.16308,2069,12472,0.15660,0.16957
2022,female,Statutory health insurance,0.89312,12070,13506,0.88791,0.89833
2022,female,Private health insurance,0.10688,1436,13506,0.10167,0.11209
