year,bula_h,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Blue-collar worker,0.16524,77,322,0.12461,0.20587
1984,Schleswig-Holstein,West,White-collar worker,0.25030,95,322,0.20291,0.29769
1984,Schleswig-Holstein,West,Apprentice/ Trainee/ Intern,0.07546,33,322,0.04657,0.10436
1984,Schleswig-Holstein,West,Not employed: Pensioner,0.21234,61,322,0.16760,0.25707
1984,Schleswig-Holstein,West,Not employed: no further information,0.13063,56,322,0.09377,0.16750
1984,Hamburg,West,Blue-collar worker,0.10539,66,253,0.06747,0.14330
1984,Hamburg,West,White-collar worker,0.29086,82,253,0.23479,0.34693
1984,Hamburg,West,Not employed: Pensioner,0.31996,63,253,0.26237,0.37756
1984,Hamburg,West,Not employed: no further information,0.11035,42,253,0.07166,0.14904
1984,Lower Saxony,West,Self-employed,0.05972,77,1230,0.04647,0.07297
1984,Lower Saxony,West,Blue-collar worker,0.17562,267,1230,0.15435,0.19689
1984,Lower Saxony,West,Civil servant,0.04679,56,1230,0.03498,0.05860
1984,Lower Saxony,West,White-collar worker,0.17444,212,1230,0.15322,0.19566
1984,Lower Saxony,West,Apprentice/ Trainee/ Intern,0.11828,155,1230,0.10023,0.13634
1984,Lower Saxony,West,Not employed: Pensioner,0.24017,209,1230,0.21628,0.26405
1984,Lower Saxony,West,Not employed: registered unemployed,0.03340,48,1230,0.02335,0.04344
1984,Lower Saxony,West,Not employed: no further information,0.15069,206,1230,0.13069,0.17069
1984,Bremen,West,Not employed: Pensioner,0.47634,45,45,0.32876,0.62391
1984,North Rhine-Westphalia,West,Self-employed,0.04484,151,3241,0.03771,0.05197
1984,North Rhine-Westphalia,West,Blue-collar worker,0.19192,856,3241,0.17836,0.20548
1984,North Rhine-Westphalia,West,Civil servant,0.04784,136,3241,0.04049,0.05519
1984,North Rhine-Westphalia,West,White-collar worker,0.19740,567,3241,0.18369,0.21111
1984,North Rhine-Westphalia,West,Apprentice/ Trainee/ Intern,0.09783,343,3241,0.08760,0.10806
1984,North Rhine-Westphalia,West,Not employed: Pensioner,0.20514,408,3241,0.19123,0.21904
1984,North Rhine-Westphalia,West,Not employed: registered unemployed,0.03464,134,3241,0.02835,0.04094
1984,North Rhine-Westphalia,West,Not employed: no further information,0.17603,646,3241,0.16292,0.18915
1984,Hesse,West,Self-employed,0.04640,54,1239,0.03469,0.05812
1984,Hesse,West,Blue-collar worker,0.19734,365,1239,0.17517,0.21951
1984,Hesse,West,Civil servant,0.04688,46,1239,0.03511,0.05866
1984,Hesse,West,White-collar worker,0.21392,233,1239,0.19108,0.23677
1984,Hesse,West,Apprentice/ Trainee/ Intern,0.09052,113,1239,0.07453,0.10650
1984,Hesse,West,Not employed: Pensioner,0.23307,174,1239,0.20952,0.25662
1984,Hesse,West,Not employed: registered unemployed,0.02656,52,1239,0.01760,0.03552
1984,Hesse,West,Not employed: no further information,0.14030,202,1239,0.12096,0.15965
1984,"Rhineland-Palatinate, Saarland",West,Self-employed,0.04413,38,819,0.03006,0.05821
1984,"Rhineland-Palatinate, Saarland",West,Blue-collar worker,0.20281,219,819,0.17526,0.23037
1984,"Rhineland-Palatinate, Saarland",West,Civil servant,0.04469,35,819,0.03053,0.05885
1984,"Rhineland-Palatinate, Saarland",West,White-collar worker,0.15051,122,819,0.12600,0.17501
1984,"Rhineland-Palatinate, Saarland",West,Apprentice/ Trainee/ Intern,0.09167,81,819,0.07189,0.11144
1984,"Rhineland-Palatinate, Saarland",West,Not employed: Pensioner,0.23346,150,819,0.20447,0.26245
1984,"Rhineland-Palatinate, Saarland",West,Not employed: no further information,0.19568,174,819,0.16849,0.22287
1984,Baden-Wuerttemberg,West,Self-employed,0.05136,103,2243,0.04222,0.06049
1984,Baden-Wuerttemberg,West,Blue-collar worker,0.24418,819,2243,0.22640,0.26196
1984,Baden-Wuerttemberg,West,Civil servant,0.04331,80,2243,0.03489,0.05174
1984,Baden-Wuerttemberg,West,White-collar worker,0.19814,355,2243,0.18164,0.21464
1984,Baden-Wuerttemberg,West,Apprentice/ Trainee/ Intern,0.08341,178,2243,0.07197,0.09486
1984,Baden-Wuerttemberg,West,Not employed: Pensioner,0.21990,287,2243,0.20275,0.23704
1984,Baden-Wuerttemberg,West,Not employed: registered unemployed,0.01301,47,2243,0.00832,0.01770
1984,Baden-Wuerttemberg,West,Not employed: no further information,0.14457,374,2243,0.13002,0.15913
1984,Bavaria,West,Self-employed,0.06303,119,2076,0.05258,0.07349
1984,Bavaria,West,Blue-collar worker,0.19307,544,2076,0.17609,0.21006
1984,Bavaria,West,Civil servant,0.04886,94,2076,0.03958,0.05813
1984,Bavaria,West,White-collar worker,0.21168,421,2076,0.19410,0.22926
1984,Bavaria,West,Apprentice/ Trainee/ Intern,0.07949,180,2076,0.06785,0.09113
1984,Bavaria,West,Not employed: Pensioner,0.20977,298,2076,0.19225,0.22729
1984,Bavaria,West,Not employed: registered unemployed,0.02784,72,2076,0.02076,0.03492
