year,pgisced97,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Apprentice/ Trainee/ Intern,0.94203,183,183,0.90808,0.97598
1984,Primary Level,West,Blue-collar worker,0.44250,539,966,0.41116,0.47384
1984,Primary Level,West,Apprentice/ Trainee/ Intern,0.08213,37,966,0.06481,0.09945
1984,Primary Level,West,Not employed: Pensioner,0.07935,33,966,0.06229,0.09640
1984,Primary Level,West,Not employed: registered unemployed,0.08516,66,966,0.06755,0.10277
1984,Primary Level,West,Not employed: no further information,0.28240,291,966,0.25399,0.31080
1984,Lower Secondary Level,West,Self-employed,0.02802,99,3424,0.02249,0.03355
1984,Lower Secondary Level,West,Blue-collar worker,0.19897,1031,3424,0.18559,0.21234
1984,Lower Secondary Level,West,White-collar worker,0.05763,183,3424,0.04982,0.06544
1984,Lower Secondary Level,West,Apprentice/ Trainee/ Intern,0.14459,524,3424,0.13280,0.15637
1984,Lower Secondary Level,West,Not employed: Pensioner,0.30785,662,3424,0.29239,0.32331
1984,Lower Secondary Level,West,Not employed: registered unemployed,0.02521,108,3424,0.01996,0.03046
1984,Lower Secondary Level,West,Not employed: no further information,0.22945,817,3424,0.21537,0.24354
1984,Upper Secondary Level,West,Self-employed,0.04878,280,5668,0.04317,0.05439
1984,Upper Secondary Level,West,Blue-collar worker,0.23037,1610,5668,0.21941,0.24134
1984,Upper Secondary Level,West,Civil servant,0.04126,222,5668,0.03608,0.04644
1984,Upper Secondary Level,West,White-collar worker,0.24115,1337,5668,0.23001,0.25228
1984,Upper Secondary Level,West,Apprentice/ Trainee/ Intern,0.05027,324,5668,0.04458,0.05596
1984,Upper Secondary Level,West,Not employed: Pensioner,0.21011,842,5668,0.19950,0.22071
1984,Upper Secondary Level,West,Not employed: registered unemployed,0.03204,214,5668,0.02746,0.03663
1984,Upper Secondary Level,West,Not employed: no further information,0.13945,839,5668,0.13043,0.14846
1984,Post-secondary Non-tertiary Level,West,Blue-collar worker,0.13097,75,212,0.08545,0.17649
1984,Post-secondary Non-tertiary Level,West,White-collar worker,0.38151,102,212,0.31596,0.44705
1984,Post-secondary Non-tertiary Level,West,Apprentice/ Trainee/ Intern,0.11710,35,212,0.07371,0.16049
