year,migback,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97592,154,154,0.95162,1.00021
1984,No migration background,Lower Secondary Level,Self-employed,0.02927,73,2318,0.02241,0.03614
1984,No migration background,Lower Secondary Level,Blue-collar worker,0.16972,430,2318,0.15443,0.18500
1984,No migration background,Lower Secondary Level,White-collar worker,0.06075,157,2318,0.05103,0.07048
1984,No migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.15086,394,2318,0.13629,0.16543
1984,No migration background,Lower Secondary Level,Not employed: Pensioner,0.33062,629,2318,0.31147,0.34978
1984,No migration background,Lower Secondary Level,Not employed: registered unemployed,0.02277,55,2318,0.01669,0.02884
1984,No migration background,Lower Secondary Level,Not employed: no further information,0.23048,580,2318,0.21333,0.24763
1984,No migration background,Upper Secondary Level,Self-employed,0.04957,238,4597,0.04329,0.05584
1984,No migration background,Upper Secondary Level,Blue-collar worker,0.21603,1038,4597,0.20413,0.22793
1984,No migration background,Upper Secondary Level,Civil servant,0.04340,215,4597,0.03751,0.04929
1984,No migration background,Upper Secondary Level,White-collar worker,0.24661,1218,4597,0.23415,0.25907
1984,No migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04946,245,4597,0.04319,0.05573
1984,No migration background,Upper Secondary Level,Not employed: Pensioner,0.21908,802,4597,0.20712,0.23104
1984,No migration background,Upper Secondary Level,Not employed: registered unemployed,0.03003,140,4597,0.02509,0.03496
1984,No migration background,Upper Secondary Level,Not employed: no further information,0.14022,701,4597,0.13018,0.15026
1984,No migration background,Post-secondary Non-tertiary Level,White-collar worker,0.41785,81,81,0.30978,0.52593
1984,No migration background,First Stage of Tertiary Education,Self-employed,0.12423,75,583,0.09743,0.15103
1984,No migration background,First Stage of Tertiary Education,Blue-collar worker,0.08829,55,583,0.06524,0.11134
1984,No migration background,First Stage of Tertiary Education,Civil servant,0.06616,42,583,0.04597,0.08635
1984,No migration background,First Stage of Tertiary Education,White-collar worker,0.37348,243,583,0.33418,0.41278
1984,No migration background,First Stage of Tertiary Education,Not employed: Pensioner,0.22135,107,583,0.18762,0.25508
1984,No migration background,First Stage of Tertiary Education,Not employed: no further information,0.09428,61,583,0.07053,0.11802
1984,No migration background,Second Stage of Tertiary Education,Self-employed,0.10127,72,630,0.07769,0.12484
1984,No migration background,Second Stage of Tertiary Education,Civil servant,0.27371,188,630,0.23886,0.30855
1984,No migration background,Second Stage of Tertiary Education,White-collar worker,0.37091,255,630,0.33315,0.40866
1984,No migration background,Second Stage of Tertiary Education,Not employed: Pensioner,0.15239,76,630,0.12430,0.18047
1984,No migration background,Second Stage of Tertiary Education,Not employed: no further information,0.05314,39,630,0.03561,0.07067
1984,Direct migration background,Primary Level,Blue-collar worker,0.51891,513,841,0.48512,0.55270
1984,Direct migration background,Primary Level,Not employed: registered unemployed,0.05839,55,841,0.04254,0.07425
1984,Direct migration background,Primary Level,Not employed: no further information,0.31686,273,841,0.28539,0.34832
1984,Direct migration background,Lower Secondary Level,Blue-collar worker,0.47131,594,1007,0.44046,0.50215
