year,quintil_oecd,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Self-employed,0.02875,61,2460,0.02215,0.03536
1984,1st Quintile,West,Blue-collar worker,0.15614,618,2460,0.14179,0.17049
1984,1st Quintile,West,White-collar worker,0.06798,148,2460,0.05803,0.07793
1984,1st Quintile,West,Apprentice/ Trainee/ Intern,0.11471,292,2460,0.10212,0.12731
1984,1st Quintile,West,Not employed: Pensioner,0.32848,447,2460,0.30992,0.34704
1984,1st Quintile,West,Not employed: registered unemployed,0.06164,178,2460,0.05213,0.07114
1984,1st Quintile,West,Not employed: no further information,0.23277,716,2460,0.21607,0.24948
1984,2nd Quintile,West,Self-employed,0.02594,68,2385,0.01956,0.03232
1984,2nd Quintile,West,Blue-collar worker,0.22625,736,2385,0.20945,0.24304
1984,2nd Quintile,West,Civil servant,0.02266,48,2385,0.01668,0.02863
1984,2nd Quintile,West,White-collar worker,0.13685,285,2385,0.12305,0.15064
1984,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.10441,265,2385,0.09214,0.11669
1984,2nd Quintile,West,Not employed: Pensioner,0.25901,379,2385,0.24142,0.27660
1984,2nd Quintile,West,Not employed: registered unemployed,0.03117,93,2385,0.02420,0.03815
1984,2nd Quintile,West,Not employed: no further information,0.19051,511,2385,0.17474,0.20627
1984,3rd Quintile,West,Self-employed,0.02897,69,2342,0.02218,0.03576
1984,3rd Quintile,West,Blue-collar worker,0.24065,763,2342,0.22334,0.25797
1984,3rd Quintile,West,Civil servant,0.03950,85,2342,0.03161,0.04739
1984,3rd Quintile,West,White-collar worker,0.18820,410,2342,0.17236,0.20403
1984,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.09520,231,2342,0.08331,0.10708
1984,3rd Quintile,West,Not employed: Pensioner,0.21749,350,2342,0.20078,0.23420
1984,3rd Quintile,West,Not employed: registered unemployed,0.02640,68,2342,0.01991,0.03290
1984,3rd Quintile,West,Not employed: no further information,0.15736,366,2342,0.14261,0.17211
1984,4th Quintile,West,Self-employed,0.05002,120,2471,0.04142,0.05862
1984,4th Quintile,West,Blue-collar worker,0.22531,781,2471,0.20883,0.24179
