year,migback,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Self-employed,0.06404,326,4080,0.05653,0.07156
1984,No migration background,male,Blue-collar worker,0.22742,1155,4080,0.21456,0.24028
1984,No migration background,male,Civil servant,0.06922,366,4080,0.06143,0.07701
1984,No migration background,male,White-collar worker,0.17324,905,4080,0.16162,0.18485
1984,No migration background,male,Apprentice/ Trainee/ Intern,0.08823,470,4080,0.07952,0.09693
1984,No migration background,male,Not employed: Pensioner,0.16483,689,4080,0.15344,0.17622
1984,No migration background,male,Not employed: registered unemployed,0.02661,129,4080,0.02167,0.03155
1984,No migration background,male,Not employed: no further information,0.00821,40,4080,0.00544,0.01098
1984,No migration background,female,Self-employed,0.02590,150,4543,0.02128,0.03052
1984,No migration background,female,Blue-collar worker,0.07233,415,4543,0.06479,0.07986
1984,No migration background,female,Civil servant,0.01639,97,4543,0.01270,0.02008
1984,No migration background,female,White-collar worker,0.17790,1056,4543,0.16677,0.18902
1984,No migration background,female,Apprentice/ Trainee/ Intern,0.06782,387,4543,0.06051,0.07513
1984,No migration background,female,Not employed: Pensioner,0.23646,963,4543,0.22410,0.24881
1984,No migration background,female,Not employed: registered unemployed,0.01849,105,4543,0.01457,0.02241
1984,No migration background,female,Not employed: no further information,0.23636,1370,4543,0.22401,0.24872
1984,Direct migration background,male,Self-employed,0.04054,77,1748,0.03129,0.04978
1984,Direct migration background,male,Blue-collar worker,0.49155,1207,1748,0.46811,0.51499
1984,Direct migration background,male,White-collar worker,0.09610,101,1748,0.08228,0.10992
1984,Direct migration background,male,Apprentice/ Trainee/ Intern,0.06627,138,1748,0.05460,0.07793
1984,Direct migration background,male,Not employed: Pensioner,0.07370,53,1748,0.06145,0.08595
1984,Direct migration background,male,Not employed: registered unemployed,0.06122,118,1748,0.04998,0.07246
1984,Direct migration background,male,Not employed: no further information,0.02015,54,1748,0.01356,0.02674
1984,Direct migration background,female,Self-employed,0.02370,41,1582,0.01620,0.03120
1984,Direct migration background,female,Blue-collar worker,0.24206,573,1582,0.22095,0.26318
1984,Direct migration background,female,White-collar worker,0.11749,116,1582,0.10162,0.13337
