year,age_gr,bula_h,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Apprentice/ Trainee/ Intern,0.34482,33,33,0.18013,0.50950
1984,17-29 y.,Lower Saxony,Blue-collar worker,0.16244,61,288,0.11977,0.20512
1984,17-29 y.,Lower Saxony,White-collar worker,0.13485,42,288,0.09533,0.17437
1984,17-29 y.,Lower Saxony,Apprentice/ Trainee/ Intern,0.46428,148,288,0.40658,0.52198
1984,17-29 y.,Lower Saxony,Not employed: no further information,0.08793,37,288,0.05516,0.12069
1984,17-29 y.,North Rhine-Westphalia,Blue-collar worker,0.19707,217,906,0.17115,0.22299
1984,17-29 y.,North Rhine-Westphalia,White-collar worker,0.20134,160,906,0.17521,0.22746
1984,17-29 y.,North Rhine-Westphalia,Apprentice/ Trainee/ Intern,0.36564,336,906,0.33426,0.39701
1984,17-29 y.,North Rhine-Westphalia,Not employed: registered unemployed,0.06209,63,906,0.04637,0.07781
1984,17-29 y.,North Rhine-Westphalia,Not employed: no further information,0.09914,130,906,0.07966,0.11861
1984,17-29 y.,Hesse,Blue-collar worker,0.17813,91,323,0.13634,0.21992
1984,17-29 y.,Hesse,White-collar worker,0.21522,68,323,0.17033,0.26010
1984,17-29 y.,Hesse,Apprentice/ Trainee/ Intern,0.34231,107,323,0.29048,0.39413
1984,17-29 y.,Hesse,Not employed: no further information,0.11506,57,323,0.08020,0.14991
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Blue-collar worker,0.26135,68,182,0.19734,0.32536
1984,17-29 y.,"Rhineland-Palatinate, Saarland",White-collar worker,0.16323,37,182,0.10939,0.21707
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Apprentice/ Trainee/ Intern,0.31660,77,182,0.24883,0.38436
1984,17-29 y.,Baden-Wuerttemberg,Blue-collar worker,0.28745,223,598,0.25114,0.32375
1984,17-29 y.,Baden-Wuerttemberg,White-collar worker,0.20376,103,598,0.17145,0.23607
1984,17-29 y.,Baden-Wuerttemberg,Apprentice/ Trainee/ Intern,0.32026,175,598,0.28283,0.35768
1984,17-29 y.,Baden-Wuerttemberg,Not employed: no further information,0.10577,97,598,0.08110,0.13044
1984,17-29 y.,Bavaria,Blue-collar worker,0.23555,138,526,0.19925,0.27184
1984,17-29 y.,Bavaria,White-collar worker,0.24147,125,526,0.20486,0.27808
1984,17-29 y.,Bavaria,Apprentice/ Trainee/ Intern,0.30092,172,526,0.26169,0.34016
1984,17-29 y.,Bavaria,Not employed: registered unemployed,0.06371,37,526,0.04281,0.08460
1984,17-29 y.,Bavaria,Not employed: no further information,0.07736,54,526,0.05451,0.10021
1984,30-45 y.,Schleswig-Holstein,Blue-collar worker,0.20069,33,84,0.11452,0.28686
1984,30-45 y.,Schleswig-Holstein,White-collar worker,0.37722,51,84,0.27295,0.48150
1984,30-45 y.,Hamburg,Blue-collar worker,0.19386,39,85,0.10932,0.27840
1984,30-45 y.,Hamburg,White-collar worker,0.52257,46,85,0.41575,0.62939
1984,30-45 y.,Lower Saxony,Self-employed,0.11701,42,342,0.08289,0.15112
1984,30-45 y.,Lower Saxony,Blue-collar worker,0.23891,111,342,0.19365,0.28417
1984,30-45 y.,Lower Saxony,White-collar worker,0.32145,108,342,0.27188,0.37102
1984,30-45 y.,Lower Saxony,Not employed: no further information,0.19477,81,342,0.15273,0.23680
1984,30-45 y.,North Rhine-Westphalia,Self-employed,0.05341,59,1078,0.03998,0.06684
1984,30-45 y.,North Rhine-Westphalia,Blue-collar worker,0.24867,356,1078,0.22286,0.27449
1984,30-45 y.,North Rhine-Westphalia,Civil servant,0.09269,79,1078,0.07537,0.11001
1984,30-45 y.,North Rhine-Westphalia,White-collar worker,0.31225,264,1078,0.28458,0.33993
1984,30-45 y.,North Rhine-Westphalia,Not employed: registered unemployed,0.03889,44,1078,0.02734,0.05043
1984,30-45 y.,North Rhine-Westphalia,Not employed: no further information,0.23693,276,1078,0.21153,0.26232
1984,30-45 y.,Hesse,Blue-collar worker,0.31923,151,305,0.26682,0.37163
1984,30-45 y.,Hesse,White-collar worker,0.33115,90,305,0.27824,0.38405
1984,30-45 y.,Hesse,Not employed: no further information,0.14757,64,305,0.10770,0.18744
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Blue-collar worker,0.28230,73,175,0.21542,0.34919
1984,30-45 y.,"Rhineland-Palatinate, Saarland",White-collar worker,0.27034,47,175,0.20435,0.33633
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not employed: no further information,0.26456,55,175,0.19902,0.33010
1984,30-45 y.,Baden-Wuerttemberg,Self-employed,0.05932,40,713,0.04197,0.07668
1984,30-45 y.,Baden-Wuerttemberg,Blue-collar worker,0.31156,336,713,0.27755,0.34558
1984,30-45 y.,Baden-Wuerttemberg,Civil servant,0.09508,47,713,0.07353,0.11662
1984,30-45 y.,Baden-Wuerttemberg,White-collar worker,0.28862,143,713,0.25533,0.32190
1984,30-45 y.,Baden-Wuerttemberg,Not employed: no further information,0.20564,147,713,0.17596,0.23533
1984,30-45 y.,Bavaria,Self-employed,0.09709,53,649,0.07429,0.11989
1984,30-45 y.,Bavaria,Blue-collar worker,0.24933,230,649,0.21602,0.28264
1984,30-45 y.,Bavaria,Civil servant,0.08145,43,649,0.06039,0.10251
1984,30-45 y.,Bavaria,White-collar worker,0.32098,180,649,0.28504,0.35693
1984,30-45 y.,Bavaria,Not employed: no further information,0.21716,143,649,0.18541,0.24891
1984,30-45 y.,Berlin,Blue-collar worker,0.32137,58,93,0.22594,0.41680
1984,30-45 y.,Berlin,White-collar worker,0.32522,35,93,0.22950,0.42095
1984,46-65 y.,Lower Saxony,Blue-collar worker,0.23565,95,300,0.18754,0.28376
1984,46-65 y.,Lower Saxony,White-collar worker,0.17718,61,300,0.13391,0.22046
1984,46-65 y.,Lower Saxony,Not employed: Pensioner,0.23236,70,300,0.18448,0.28023
1984,46-65 y.,Lower Saxony,Not employed: no further information,0.20523,74,300,0.15945,0.25101
1984,46-65 y.,North Rhine-Westphalia,Self-employed,0.07356,64,854,0.05604,0.09108
1984,46-65 y.,North Rhine-Westphalia,Blue-collar worker,0.22204,279,854,0.19415,0.24993
