year,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97686,183,183,0.95501,0.99870
1984,Primary Level,Blue-collar worker,0.44319,539,966,0.41185,0.47453
1984,Primary Level,Apprentice/ Trainee/ Intern,0.08226,37,966,0.06492,0.09960
1984,Primary Level,Not employed: Pensioner,0.07947,33,966,0.06240,0.09654
1984,Primary Level,Not employed: registered unemployed,0.08530,66,966,0.06767,0.10292
1984,Primary Level,Not employed: no further information,0.28284,291,966,0.25442,0.31125
1984,Lower Secondary Level,Self-employed,0.02809,99,3424,0.02256,0.03363
1984,Lower Secondary Level,Blue-collar worker,0.19949,1031,3424,0.18610,0.21288
1984,Lower Secondary Level,White-collar worker,0.05778,183,3424,0.04996,0.06560
1984,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.14497,524,3424,0.13317,0.15676
1984,Lower Secondary Level,Not employed: Pensioner,0.30866,662,3424,0.29319,0.32414
1984,Lower Secondary Level,Not employed: registered unemployed,0.02527,108,3424,0.02002,0.03053
1984,Lower Secondary Level,Not employed: no further information,0.23006,817,3424,0.21596,0.24416
1984,Upper Secondary Level,Self-employed,0.04882,280,5668,0.04321,0.05443
1984,Upper Secondary Level,Blue-collar worker,0.23060,1610,5668,0.21963,0.24156
1984,Upper Secondary Level,Civil servant,0.04130,222,5668,0.03612,0.04648
1984,Upper Secondary Level,White-collar worker,0.24138,1337,5668,0.23024,0.25252
1984,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05032,324,5668,0.04463,0.05601
1984,Upper Secondary Level,Not employed: Pensioner,0.21031,842,5668,0.19970,0.22092
1984,Upper Secondary Level,Not employed: registered unemployed,0.03208,214,5668,0.02749,0.03666
1984,Upper Secondary Level,Not employed: no further information,0.13958,839,5668,0.13056,0.14860
1984,Post-secondary Non-tertiary Level,Blue-collar worker,0.13107,75,212,0.08554,0.17661
1984,Post-secondary Non-tertiary Level,White-collar worker,0.38181,102,212,0.31625,0.44736
1984,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.11719,35,212,0.07379,0.16059
1984,First Stage of Tertiary Education,Self-employed,0.11902,80,631,0.09373,0.14431
1984,First Stage of Tertiary Education,Blue-collar worker,0.09219,65,631,0.06960,0.11478
1984,First Stage of Tertiary Education,Civil servant,0.06169,42,631,0.04290,0.08047
1984,First Stage of Tertiary Education,White-collar worker,0.36926,261,631,0.33157,0.40694
1984,First Stage of Tertiary Education,Not employed: Pensioner,0.21758,113,631,0.18536,0.24980
1984,First Stage of Tertiary Education,Not employed: no further information,0.10038,70,631,0.07692,0.12385
1984,Second Stage of Tertiary Education,Self-employed,0.10658,93,723,0.08407,0.12909
1984,Second Stage of Tertiary Education,Civil servant,0.25951,207,723,0.22753,0.29148
1984,Second Stage of Tertiary Education,White-collar worker,0.36704,291,723,0.33188,0.40219
1984,Second Stage of Tertiary Education,Not employed: Pensioner,0.14452,81,723,0.11887,0.17016
1984,Second Stage of Tertiary Education,Not employed: no further information,0.05769,51,723,0.04068,0.07470
1985,No answer / don't know,Blue-collar worker,0.17246,31,31,0.03727,0.30764
1985,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97210,182,182,0.94810,0.99609
1985,Primary Level,Blue-collar worker,0.40992,426,780,0.37539,0.44446
1985,Primary Level,Not employed: Pensioner,0.09590,39,780,0.07523,0.11658
1985,Primary Level,Not employed: registered unemployed,0.12248,75,780,0.09946,0.14550
1985,Primary Level,Not employed: no further information,0.26301,240,780,0.23209,0.29393
1985,Lower Secondary Level,Self-employed,0.02909,88,3042,0.02311,0.03506
1985,Lower Secondary Level,Blue-collar worker,0.20089,919,3042,0.18665,0.21513
1985,Lower Secondary Level,White-collar worker,0.06505,197,3042,0.05629,0.07382
1985,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.15287,484,3042,0.14008,0.16566
1985,Lower Secondary Level,Not employed: Pensioner,0.31418,584,3042,0.29768,0.33068
1985,Lower Secondary Level,Not employed: registered unemployed,0.03531,137,3042,0.02875,0.04187
1985,Lower Secondary Level,Not employed: no further information,0.19666,633,3042,0.18253,0.21079
1985,Upper Secondary Level,Self-employed,0.05108,265,5146,0.04507,0.05710
1985,Upper Secondary Level,Blue-collar worker,0.22027,1410,5146,0.20895,0.23159
1985,Upper Secondary Level,Civil servant,0.04323,220,5146,0.03767,0.04878
1985,Upper Secondary Level,White-collar worker,0.24706,1248,5146,0.23528,0.25885
1985,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04915,304,5146,0.04325,0.05506
1985,Upper Secondary Level,Not employed: Pensioner,0.21971,771,5146,0.20840,0.23103
1985,Upper Secondary Level,Not employed: registered unemployed,0.04233,237,5146,0.03683,0.04783
1985,Upper Secondary Level,Not employed: no further information,0.12209,691,5146,0.11314,0.13104
1985,Post-secondary Non-tertiary Level,Blue-collar worker,0.15369,73,191,0.10241,0.20498
1985,Post-secondary Non-tertiary Level,White-collar worker,0.34799,82,191,0.28025,0.41572
1985,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.13867,36,191,0.08953,0.18782
1985,First Stage of Tertiary Education,Self-employed,0.12424,79,584,0.09747,0.15102
1985,First Stage of Tertiary Education,Blue-collar worker,0.08504,58,584,0.06240,0.10769
1985,First Stage of Tertiary Education,Civil servant,0.07317,44,584,0.05203,0.09431
1985,First Stage of Tertiary Education,White-collar worker,0.35900,238,584,0.32006,0.39794
1985,First Stage of Tertiary Education,Not employed: Pensioner,0.22131,105,584,0.18761,0.25500
1985,First Stage of Tertiary Education,Not employed: no further information,0.08522,60,584,0.06256,0.10789
1985,Second Stage of Tertiary Education,Self-employed,0.09776,78,682,0.07545,0.12006
1985,Second Stage of Tertiary Education,Civil servant,0.24224,185,682,0.21006,0.27442
1985,Second Stage of Tertiary Education,White-collar worker,0.38284,297,682,0.34633,0.41935
1985,Second Stage of Tertiary Education,Not employed: Pensioner,0.15157,77,682,0.12463,0.17850
1985,Second Stage of Tertiary Education,Not employed: no further information,0.04985,45,682,0.03351,0.06620
1986,No answer / don't know,Blue-collar worker,0.16410,35,35,0.03961,0.28860
1986,Pre-primary Level,Apprentice/ Trainee/ Intern,0.96610,182,182,0.93973,0.99246
1986,Primary Level,Blue-collar worker,0.43483,393,752,0.39937,0.47029
1986,Primary Level,Apprentice/ Trainee/ Intern,0.09414,38,752,0.07325,0.11503
1986,Primary Level,Not employed: Pensioner,0.10436,42,752,0.08250,0.12623
1986,Primary Level,Not employed: registered unemployed,0.09315,59,752,0.07236,0.11393
1986,Primary Level,Not employed: no further information,0.25310,220,752,0.22201,0.28420
1986,Lower Secondary Level,Self-employed,0.02824,86,2886,0.02219,0.03428
1986,Lower Secondary Level,Blue-collar worker,0.19773,873,2886,0.18320,0.21227
1986,Lower Secondary Level,White-collar worker,0.07435,200,2886,0.06477,0.08392
1986,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.14563,477,2886,0.13276,0.15851
1986,Lower Secondary Level,Not employed: Pensioner,0.31616,538,2886,0.29919,0.33313
1986,Lower Secondary Level,Not employed: registered unemployed,0.03956,138,2886,0.03245,0.04668
1986,Lower Secondary Level,Not employed: no further information,0.19058,574,2886,0.17625,0.20491
1986,Upper Secondary Level,Self-employed,0.05116,255,4984,0.04504,0.05728
1986,Upper Secondary Level,Blue-collar worker,0.22495,1397,4984,0.21336,0.23655
1986,Upper Secondary Level,Civil servant,0.04059,199,4984,0.03511,0.04607
1986,Upper Secondary Level,White-collar worker,0.24046,1181,4984,0.22859,0.25232
1986,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05386,301,4984,0.04759,0.06013
1986,Upper Secondary Level,Not employed: Pensioner,0.22430,749,4984,0.21272,0.23588
1986,Upper Secondary Level,Not employed: Military/Community Service,0.00777,36,4984,0.00533,0.01020
1986,Upper Secondary Level,Not employed: registered unemployed,0.03505,209,4984,0.02995,0.04016
1986,Upper Secondary Level,Not employed: no further information,0.12186,657,4984,0.11278,0.13094
1986,Post-secondary Non-tertiary Level,Blue-collar worker,0.14236,69,162,0.08838,0.19633
1986,Post-secondary Non-tertiary Level,White-collar worker,0.39038,93,162,0.31503,0.46574
1986,First Stage of Tertiary Education,Self-employed,0.11894,71,551,0.09189,0.14600
1986,First Stage of Tertiary Education,Blue-collar worker,0.09303,62,551,0.06875,0.11730
1986,First Stage of Tertiary Education,Civil servant,0.06568,39,551,0.04498,0.08639
1986,First Stage of Tertiary Education,White-collar worker,0.34911,217,551,0.30927,0.38895
1986,First Stage of Tertiary Education,Not employed: Pensioner,0.22941,99,551,0.19427,0.26455
1986,First Stage of Tertiary Education,Not employed: no further information,0.09681,63,551,0.07210,0.12152
1986,Second Stage of Tertiary Education,Self-employed,0.10506,84,678,0.08196,0.12816
1986,Second Stage of Tertiary Education,Civil servant,0.24821,191,678,0.21567,0.28075
1986,Second Stage of Tertiary Education,White-collar worker,0.37543,283,678,0.33896,0.41191
1986,Second Stage of Tertiary Education,Not employed: Pensioner,0.13307,68,678,0.10748,0.15865
1986,Second Stage of Tertiary Education,Not employed: no further information,0.06093,52,678,0.04291,0.07895
1987,No answer / don't know,Blue-collar worker,0.22501,39,73,0.12855,0.32146
1987,No answer / don't know,Apprentice/ Trainee/ Intern,0.43256,34,73,0.31812,0.54700
1987,Pre-primary Level,Apprentice/ Trainee/ Intern,0.93792,182,182,0.90276,0.97307
1987,Primary Level,Blue-collar worker,0.43350,368,719,0.39725,0.46975
1987,Primary Level,Apprentice/ Trainee/ Intern,0.08460,34,719,0.06424,0.10496
1987,Primary Level,Not employed: Pensioner,0.11094,50,719,0.08796,0.13391
1987,Primary Level,Not employed: registered unemployed,0.12180,74,719,0.09787,0.14572
1987,Primary Level,Not employed: no further information,0.21954,193,719,0.18926,0.24981
1987,Lower Secondary Level,Self-employed,0.03225,92,2816,0.02572,0.03877
1987,Lower Secondary Level,Blue-collar worker,0.21655,864,2816,0.20133,0.23177
1987,Lower Secondary Level,White-collar worker,0.07347,185,2816,0.06383,0.08311
