year,quintil_oecd,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Self-employed,0.03720,41,1078,0.02590,0.04850
1984,1st Quintile,male,Blue-collar worker,0.22112,477,1078,0.19634,0.24591
1984,1st Quintile,male,White-collar worker,0.06589,79,1078,0.05107,0.08070
1984,1st Quintile,male,Apprentice/ Trainee/ Intern,0.10323,152,1078,0.08506,0.12141
1984,1st Quintile,male,Not employed: Pensioner,0.17998,161,1078,0.15704,0.20293
1984,1st Quintile,male,Not employed: registered unemployed,0.06600,113,1078,0.05117,0.08082
1984,1st Quintile,male,Not employed: no further information,0.02595,55,1078,0.01645,0.03544
1984,1st Quintile,female,Blue-collar worker,0.04645,141,1362,0.03526,0.05763
1984,1st Quintile,female,White-collar worker,0.04217,69,1362,0.03149,0.05284
1984,1st Quintile,female,Apprentice/ Trainee/ Intern,0.07689,140,1362,0.06274,0.09105
1984,1st Quintile,female,Not employed: Pensioner,0.30368,286,1362,0.27925,0.32812
1984,1st Quintile,female,Not employed: registered unemployed,0.03371,65,1362,0.02412,0.04330
1984,1st Quintile,female,Not employed: no further information,0.28858,661,1362,0.26451,0.31265
1984,2nd Quintile,male,Self-employed,0.03322,48,1104,0.02264,0.04379
1984,2nd Quintile,male,Blue-collar worker,0.28003,531,1104,0.25353,0.30653
1984,2nd Quintile,male,Civil servant,0.03560,44,1104,0.02466,0.04653
1984,2nd Quintile,male,White-collar worker,0.11129,132,1104,0.09273,0.12985
1984,2nd Quintile,male,Apprentice/ Trainee/ Intern,0.08968,141,1104,0.07282,0.10654
1984,2nd Quintile,male,Not employed: Pensioner,0.17046,158,1104,0.14827,0.19265
1984,2nd Quintile,male,Not employed: registered unemployed,0.03118,50,1104,0.02092,0.04144
1984,2nd Quintile,female,Blue-collar worker,0.09227,205,1245,0.07619,0.10836
1984,2nd Quintile,female,White-collar worker,0.10576,153,1245,0.08867,0.12285
1984,2nd Quintile,female,Apprentice/ Trainee/ Intern,0.07660,124,1245,0.06182,0.09138
1984,2nd Quintile,female,Not employed: Pensioner,0.23471,221,1245,0.21115,0.25826
1984,2nd Quintile,female,Not employed: registered unemployed,0.01908,43,1245,0.01148,0.02668
1984,2nd Quintile,female,Not employed: no further information,0.27518,499,1245,0.25036,0.30000
1984,3rd Quintile,male,Self-employed,0.03003,44,1167,0.02023,0.03983
1984,3rd Quintile,male,Blue-collar worker,0.28885,515,1167,0.26284,0.31487
1984,3rd Quintile,male,Civil servant,0.06029,75,1167,0.04663,0.07396
1984,3rd Quintile,male,White-collar worker,0.14591,193,1167,0.12565,0.16618
1984,3rd Quintile,male,Apprentice/ Trainee/ Intern,0.08537,137,1167,0.06933,0.10141
1984,3rd Quintile,male,Not employed: Pensioner,0.15987,162,1167,0.13883,0.18090
1984,3rd Quintile,male,Not employed: registered unemployed,0.02738,41,1167,0.01802,0.03675
1984,3rd Quintile,female,Blue-collar worker,0.10646,248,1105,0.08826,0.12465
1984,3rd Quintile,female,White-collar worker,0.16144,217,1105,0.13973,0.18314
1984,3rd Quintile,female,Apprentice/ Trainee/ Intern,0.07036,94,1105,0.05527,0.08544
