year,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Self-employed,0.06009,407,5941,0.05404,0.06613
1984,male,Blue-collar worker,0.24679,2372,5941,0.23583,0.25775
1984,male,Civil servant,0.06287,386,5941,0.05670,0.06904
1984,male,White-collar worker,0.16133,1011,5941,0.15198,0.17068
1984,male,Apprentice/ Trainee/ Intern,0.08452,643,5941,0.07745,0.09160
1984,male,Not employed: Pensioner,0.15183,744,5941,0.14271,0.16096
1984,male,Not employed: Military/Community Service,0.00578,34,5941,0.00385,0.00771
1984,male,Not employed: registered unemployed,0.02916,248,5941,0.02488,0.03344
1984,male,Not employed: no further information,0.00913,96,5941,0.00671,0.01155
1984,female,Self-employed,0.02546,195,6200,0.02154,0.02938
1984,female,Blue-collar worker,0.08462,997,6200,0.07769,0.09155
1984,female,Civil servant,0.01514,106,6200,0.01210,0.01817
1984,female,White-collar worker,0.16910,1182,6200,0.15977,0.17844
1984,female,Apprentice/ Trainee/ Intern,0.06561,503,6200,0.05945,0.07178
1984,female,Not employed: Pensioner,0.21875,1021,6200,0.20846,0.22904
1984,female,Not employed: registered unemployed,0.02009,186,6200,0.01660,0.02359
1984,female,Not employed: no further information,0.23878,2010,6200,0.22816,0.24939
1985,male,Self-employed,0.05957,358,5404,0.05326,0.06588
1985,male,Blue-collar worker,0.23547,2043,5404,0.22415,0.24678
1985,male,Civil servant,0.06573,370,5404,0.05913,0.07234
1985,male,White-collar worker,0.16561,959,5404,0.15570,0.17553
1985,male,Apprentice/ Trainee/ Intern,0.09339,629,5404,0.08563,0.10114
1985,male,Not employed: Pensioner,0.15414,663,5404,0.14451,0.16376
1985,male,Not employed: Military/Community Service,0.00653,39,5404,0.00438,0.00868
1985,male,Not employed: registered unemployed,0.03902,280,5404,0.03386,0.04418
1985,male,Not employed: no further information,0.00657,63,5404,0.00442,0.00873
1985,female,Self-employed,0.02898,198,5601,0.02459,0.03337
1985,female,Blue-collar worker,0.08951,898,5601,0.08203,0.09698
1985,female,Civil servant,0.01538,97,5601,0.01216,0.01861
1985,female,White-collar worker,0.17833,1126,5601,0.16830,0.18835
1985,female,Apprentice/ Trainee/ Intern,0.06785,468,5601,0.06126,0.07444
1985,female,Not employed: Pensioner,0.23032,940,5601,0.21929,0.24134
1985,female,Not employed: registered unemployed,0.02729,223,5601,0.02302,0.03155
1985,female,Not employed: no further information,0.20986,1651,5601,0.19919,0.22053
1986,male,Self-employed,0.05895,341,5219,0.05256,0.06535
1986,male,Blue-collar worker,0.23958,1992,5219,0.22800,0.25116
1986,male,Civil servant,0.06480,355,5219,0.05813,0.07148
1986,male,White-collar worker,0.16366,899,5219,0.15362,0.17370
1986,male,Apprentice/ Trainee/ Intern,0.09293,628,5219,0.08505,0.10080
1986,male,Not employed: Pensioner,0.15769,655,5219,0.14780,0.16758
1986,male,Not employed: Military/Community Service,0.00910,49,5219,0.00652,0.01168
1986,male,Not employed: registered unemployed,0.03188,230,5219,0.02712,0.03665
1986,male,Not employed: no further information,0.00813,70,5219,0.00570,0.01057
1986,female,Self-employed,0.02964,192,5345,0.02509,0.03419
1986,female,Blue-collar worker,0.08844,855,5345,0.08083,0.09606
1986,female,Civil servant,0.01518,92,5345,0.01191,0.01846
1986,female,White-collar worker,0.18107,1098,5345,0.17075,0.19140
1986,female,Apprentice/ Trainee/ Intern,0.06338,466,5345,0.05684,0.06991
1986,female,Not employed: Pensioner,0.22970,868,5345,0.21842,0.24098
1986,female,Not employed: registered unemployed,0.02955,231,5345,0.02501,0.03409
1986,female,Not employed: no further information,0.20772,1543,5345,0.19684,0.21860
1987,male,Self-employed,0.05796,331,5164,0.05158,0.06433
1987,male,Blue-collar worker,0.24460,1965,5164,0.23287,0.25632
1987,male,Civil servant,0.06475,351,5164,0.05804,0.07147
1987,male,White-collar worker,0.16813,908,5164,0.15792,0.17833
