year,pgisced97,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,Apprentice/ Trainee/ Intern,0.96145,145,145,0.93001,0.99290
1985,Primary Level,Urban regions,Blue-collar worker,0.45006,381,687,0.41284,0.48729
1985,Primary Level,Urban regions,Not employed: Pensioner,0.10160,34,687,0.07899,0.12420
1985,Primary Level,Urban regions,Not employed: registered unemployed,0.10047,61,687,0.07797,0.12297
1985,Primary Level,Urban regions,Not employed: no further information,0.26062,211,687,0.22777,0.29347
1985,Primary Level,Rural regions,Blue-collar worker,0.26701,45,45,0.13629,0.39773
1985,Lower Secondary Level,Urban regions,Self-employed,0.02115,51,2309,0.01528,0.02702
1985,Lower Secondary Level,Urban regions,Blue-collar worker,0.21311,750,2309,0.19641,0.22982
1985,Lower Secondary Level,Urban regions,White-collar worker,0.07000,156,2309,0.05959,0.08040
1985,Lower Secondary Level,Urban regions,Apprentice/ Trainee/ Intern,0.15081,365,2309,0.13621,0.16541
1985,Lower Secondary Level,Urban regions,Not employed: Pensioner,0.30803,412,2309,0.28920,0.32687
1985,Lower Secondary Level,Urban regions,Not employed: registered unemployed,0.03483,100,2309,0.02735,0.04231
1985,Lower Secondary Level,Urban regions,Not employed: no further information,0.19593,475,2309,0.17974,0.21213
1985,Lower Secondary Level,Rural regions,Self-employed,0.04891,37,733,0.03329,0.06454
1985,Lower Secondary Level,Rural regions,Blue-collar worker,0.16918,169,733,0.14202,0.19634
1985,Lower Secondary Level,Rural regions,White-collar worker,0.05231,41,733,0.03618,0.06844
1985,Lower Secondary Level,Rural regions,Apprentice/ Trainee/ Intern,0.15733,119,733,0.13095,0.18370
1985,Lower Secondary Level,Rural regions,Not employed: Pensioner,0.32813,172,733,0.29412,0.36215
1985,Lower Secondary Level,Rural regions,Not employed: registered unemployed,0.03633,37,733,0.02278,0.04989
1985,Lower Secondary Level,Rural regions,Not employed: no further information,0.19754,158,733,0.16870,0.22639
1985,Upper Secondary Level,Urban regions,Self-employed,0.04439,183,4015,0.03802,0.05076
