year,age_gr,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Self-employed,0.02543,44,1724,0.01800,0.03287
1984,17-29 y.,male,Blue-collar worker,0.32712,626,1724,0.30496,0.34927
1984,17-29 y.,male,Civil servant,0.05005,72,1724,0.03975,0.06035
1984,17-29 y.,male,White-collar worker,0.11534,171,1724,0.10025,0.13042
1984,17-29 y.,male,Apprentice/ Trainee/ Intern,0.37470,623,1724,0.35184,0.39756
1984,17-29 y.,male,Not employed: Military/Community Service,0.02658,34,1724,0.01899,0.03418
1984,17-29 y.,male,Not employed: registered unemployed,0.06238,109,1724,0.05096,0.07380
1984,17-29 y.,male,Not employed: no further information,0.01618,45,1724,0.01022,0.02214
1984,17-29 y.,female,Blue-collar worker,0.10278,237,1669,0.08821,0.11735
1984,17-29 y.,female,Civil servant,0.02474,34,1669,0.01729,0.03220
1984,17-29 y.,female,White-collar worker,0.30166,433,1669,0.27964,0.32369
1984,17-29 y.,female,Apprentice/ Trainee/ Intern,0.32482,482,1669,0.30234,0.34729
1984,17-29 y.,female,Not employed: registered unemployed,0.05314,90,1669,0.04237,0.06390
1984,17-29 y.,female,Not employed: no further information,0.17933,393,1669,0.16092,0.19774
1984,30-45 y.,male,Self-employed,0.10461,180,1897,0.09084,0.11839
1984,30-45 y.,male,Blue-collar worker,0.38711,977,1897,0.36519,0.40904
1984,30-45 y.,male,Civil servant,0.12949,188,1897,0.11438,0.14461
1984,30-45 y.,male,White-collar worker,0.32312,486,1897,0.30207,0.34417
1984,30-45 y.,male,Not employed: registered unemployed,0.03437,66,1897,0.02617,0.04257
1984,30-45 y.,female,Self-employed,0.04678,87,1927,0.03735,0.05621
1984,30-45 y.,female,Blue-collar worker,0.13884,420,1927,0.12340,0.15428
1984,30-45 y.,female,Civil servant,0.03693,58,1927,0.02851,0.04535
1984,30-45 y.,female,White-collar worker,0.31778,483,1927,0.29698,0.33857
1984,30-45 y.,female,Not employed: registered unemployed,0.02762,61,1927,0.02030,0.03494
1984,30-45 y.,female,Not employed: no further information,0.41025,818,1927,0.38828,0.43221
1984,46-65 y.,male,Self-employed,0.10552,163,1773,0.09121,0.11982
1984,46-65 y.,male,Blue-collar worker,0.33360,764,1773,0.31165,0.35556
1984,46-65 y.,male,Civil servant,0.08627,126,1773,0.07319,0.09934
1984,46-65 y.,male,White-collar worker,0.23746,350,1773,0.21765,0.25727
1984,46-65 y.,male,Not employed: Pensioner,0.19208,264,1773,0.17373,0.21042
1984,46-65 y.,male,Not employed: registered unemployed,0.02981,72,1773,0.02189,0.03773
1984,46-65 y.,male,Not employed: no further information,0.01388,34,1773,0.00843,0.01932
1984,46-65 y.,female,Self-employed,0.04700,74,1759,0.03711,0.05689
1984,46-65 y.,female,Blue-collar worker,0.13131,333,1759,0.11552,0.14710
1984,46-65 y.,female,White-collar worker,0.16609,261,1759,0.14869,0.18348
1984,46-65 y.,female,Not employed: Pensioner,0.24575,358,1759,0.22563,0.26588
1984,46-65 y.,female,Not employed: registered unemployed,0.01553,35,1759,0.00975,0.02131
1984,46-65 y.,female,Not employed: no further information,0.38123,698,1759,0.35853,0.40393
1984,66 and older,male,Not employed: Pensioner,0.94243,469,469,0.92132,0.96353
1984,66 and older,female,Not employed: Pensioner,0.86288,640,741,0.83810,0.88767
1984,66 and older,female,Not employed: no further information,0.11184,101,741,0.08913,0.13455
1985,17-29 y.,male,Self-employed,0.02555,41,1582,0.01777,0.03333
1985,17-29 y.,male,Blue-collar worker,0.31751,575,1582,0.29456,0.34045
1985,17-29 y.,male,Civil servant,0.04937,66,1582,0.03869,0.06005
1985,17-29 y.,male,White-collar worker,0.10641,146,1582,0.09121,0.12161
1985,17-29 y.,male,Apprentice/ Trainee/ Intern,0.40288,614,1582,0.37870,0.42705
1985,17-29 y.,male,Not employed: Military/Community Service,0.02892,39,1582,0.02066,0.03718
1985,17-29 y.,male,Not employed: registered unemployed,0.05874,101,1582,0.04715,0.07033
1985,17-29 y.,female,Blue-collar worker,0.11919,225,1464,0.10258,0.13579
1985,17-29 y.,female,White-collar worker,0.30794,393,1464,0.28428,0.33159
1985,17-29 y.,female,Apprentice/ Trainee/ Intern,0.33298,457,1464,0.30883,0.35713
1985,17-29 y.,female,Not employed: registered unemployed,0.05742,94,1464,0.04550,0.06934
1985,17-29 y.,female,Not employed: no further information,0.13939,295,1464,0.12164,0.15714
1985,30-45 y.,male,Self-employed,0.09765,148,1672,0.08341,0.11188
1985,30-45 y.,male,Blue-collar worker,0.36616,805,1672,0.34306,0.38926
1985,30-45 y.,male,Civil servant,0.13071,173,1672,0.11455,0.14687
1985,30-45 y.,male,White-collar worker,0.33449,463,1672,0.31187,0.35711
1985,30-45 y.,male,Not employed: registered unemployed,0.05247,83,1672,0.04178,0.06316
1985,30-45 y.,female,Self-employed,0.04936,80,1731,0.03915,0.05957
1985,30-45 y.,female,Blue-collar worker,0.13693,364,1731,0.12073,0.15312
1985,30-45 y.,female,Civil servant,0.03679,54,1731,0.02792,0.04566
1985,30-45 y.,female,White-collar worker,0.34699,476,1731,0.32456,0.36942
1985,30-45 y.,female,Not employed: registered unemployed,0.04745,85,1731,0.03743,0.05747
1985,30-45 y.,female,Not employed: no further information,0.35881,672,1731,0.33621,0.38141
1985,46-65 y.,male,Self-employed,0.10526,150,1633,0.09037,0.12015
1985,46-65 y.,male,Blue-collar worker,0.30303,659,1633,0.28073,0.32532
1985,46-65 y.,male,Civil servant,0.09301,130,1633,0.07892,0.10710
1985,46-65 y.,male,White-collar worker,0.24833,349,1633,0.22737,0.26929
1985,46-65 y.,male,Not employed: Pensioner,0.19081,249,1633,0.17175,0.20987
1985,46-65 y.,male,Not employed: registered unemployed,0.05259,96,1633,0.04176,0.06342
1985,46-65 y.,female,Self-employed,0.04985,79,1633,0.03929,0.06041
1985,46-65 y.,female,Blue-collar worker,0.13756,304,1633,0.12085,0.15427
1985,46-65 y.,female,White-collar worker,0.16916,253,1633,0.15097,0.18735
1985,46-65 y.,female,Not employed: Pensioner,0.25558,339,1633,0.23442,0.27675
1985,46-65 y.,female,Not employed: registered unemployed,0.02303,44,1633,0.01575,0.03030
1985,46-65 y.,female,Not employed: no further information,0.35320,614,1633,0.33001,0.37639
1985,66 and older,male,Not employed: Pensioner,0.94081,410,410,0.91795,0.96368
1985,66 and older,female,Not employed: Pensioner,0.89161,575,645,0.86760,0.91562
1985,66 and older,female,Not employed: no further information,0.08526,70,645,0.06369,0.10683
1986,17-29 y.,male,Self-employed,0.02743,38,1550,0.01930,0.03556
1986,17-29 y.,male,Blue-collar worker,0.31480,570,1550,0.29167,0.33793
1986,17-29 y.,male,Civil servant,0.05528,69,1550,0.04390,0.06666
1986,17-29 y.,male,White-collar worker,0.11162,143,1550,0.09594,0.12730
1986,17-29 y.,male,Apprentice/ Trainee/ Intern,0.40036,612,1550,0.37596,0.42477
1986,17-29 y.,male,Not employed: Military/Community Service,0.04041,49,1550,0.03060,0.05022
1986,17-29 y.,male,Not employed: registered unemployed,0.03782,69,1550,0.02832,0.04732
1986,17-29 y.,female,Blue-collar worker,0.13424,232,1412,0.11646,0.15203
1986,17-29 y.,female,White-collar worker,0.32470,395,1412,0.30026,0.34913
1986,17-29 y.,female,Apprentice/ Trainee/ Intern,0.30528,446,1412,0.28125,0.32931
1986,17-29 y.,female,Not employed: registered unemployed,0.06348,101,1412,0.05076,0.07621
1986,17-29 y.,female,Not employed: no further information,0.12689,238,1412,0.10952,0.14426
1986,30-45 y.,male,Self-employed,0.10131,141,1540,0.08623,0.11638
1986,30-45 y.,male,Blue-collar worker,0.37311,743,1540,0.34895,0.39728
1986,30-45 y.,male,Civil servant,0.13040,164,1540,0.11358,0.14723
1986,30-45 y.,male,White-collar worker,0.32433,418,1540,0.30094,0.34771
1986,30-45 y.,male,Not employed: registered unemployed,0.04981,74,1540,0.03894,0.06068
1986,30-45 y.,female,Self-employed,0.04493,77,1647,0.03492,0.05494
1986,30-45 y.,female,Blue-collar worker,0.12796,333,1647,0.11182,0.14410
1986,30-45 y.,female,Civil servant,0.03675,54,1647,0.02766,0.04584
1986,30-45 y.,female,White-collar worker,0.34330,453,1647,0.32036,0.36623
1986,30-45 y.,female,Not employed: registered unemployed,0.04646,76,1647,0.03629,0.05663
1986,30-45 y.,female,Not employed: no further information,0.37340,654,1647,0.35004,0.39677
1986,46-65 y.,male,Self-employed,0.10306,150,1621,0.08825,0.11786
1986,46-65 y.,male,Blue-collar worker,0.31548,676,1621,0.29285,0.33811
1986,46-65 y.,male,Civil servant,0.08632,122,1621,0.07265,0.10000
