year,quintil_oecd,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Self-employed,0.02204,61,2460,0.01624,0.02784
1984,1st Quintile,Blue-collar worker,0.11970,618,2460,0.10687,0.13253
1984,1st Quintile,White-collar worker,0.05211,148,2460,0.04333,0.06090
1984,1st Quintile,Apprentice/ Trainee/ Intern,0.08794,292,2460,0.07675,0.09913
1984,1st Quintile,Not employed: Pensioner,0.25181,447,2460,0.23465,0.26897
1984,1st Quintile,Not employed: registered unemployed,0.04725,178,2460,0.03886,0.05564
1984,1st Quintile,Not employed: no further information,0.17844,716,2460,0.16331,0.19358
1984,2nd Quintile,Self-employed,0.02053,68,2385,0.01484,0.02622
1984,2nd Quintile,Blue-collar worker,0.17907,736,2385,0.16368,0.19447
1984,2nd Quintile,Civil servant,0.01793,48,2385,0.01261,0.02326
1984,2nd Quintile,White-collar worker,0.10831,285,2385,0.09584,0.12079
1984,2nd Quintile,Apprentice/ Trainee/ Intern,0.08264,265,2385,0.07159,0.09370
1984,2nd Quintile,Not employed: Pensioner,0.20501,379,2385,0.18880,0.22121
1984,2nd Quintile,Not employed: registered unemployed,0.02467,93,2385,0.01845,0.03090
1984,2nd Quintile,Not employed: no further information,0.15078,511,2385,0.13642,0.16515
1984,3rd Quintile,Self-employed,0.02367,69,2342,0.01751,0.02983
1984,3rd Quintile,Blue-collar worker,0.19662,763,2342,0.18052,0.21272
1984,3rd Quintile,Civil servant,0.03227,85,2342,0.02511,0.03943
1984,3rd Quintile,White-collar worker,0.15376,410,2342,0.13915,0.16838
1984,3rd Quintile,Apprentice/ Trainee/ Intern,0.07778,231,2342,0.06693,0.08863
1984,3rd Quintile,Not employed: Pensioner,0.17769,350,2342,0.16221,0.19318
1984,3rd Quintile,Not employed: registered unemployed,0.02157,68,2342,0.01569,0.02746
1984,3rd Quintile,Not employed: no further information,0.12857,366,2342,0.11501,0.14213
1984,4th Quintile,Self-employed,0.04267,120,2471,0.03470,0.05064
1984,4th Quintile,Blue-collar worker,0.19221,781,2471,0.17667,0.20775
1984,4th Quintile,Civil servant,0.04653,122,2471,0.03822,0.05483
1984,4th Quintile,White-collar worker,0.21324,567,2471,0.19708,0.22939
1984,4th Quintile,Apprentice/ Trainee/ Intern,0.07403,220,2471,0.06370,0.08435
1984,4th Quintile,Not employed: Pensioner,0.15759,306,2471,0.14322,0.17196
1984,4th Quintile,Not employed: registered unemployed,0.02020,68,2471,0.01465,0.02575
1984,4th Quintile,Not employed: no further information,0.10389,287,2471,0.09185,0.11592
1984,5th Quintile,Self-employed,0.10159,284,2385,0.08946,0.11372
1984,5th Quintile,Blue-collar worker,0.12399,469,2385,0.11076,0.13722
1984,5th Quintile,Civil servant,0.08826,223,2385,0.07687,0.09964
1984,5th Quintile,White-collar worker,0.30059,781,2385,0.28218,0.31899
1984,5th Quintile,Apprentice/ Trainee/ Intern,0.04864,131,2385,0.04001,0.05728
1984,5th Quintile,Not employed: Pensioner,0.14120,279,2385,0.12722,0.15518
1984,5th Quintile,Not employed: no further information,0.08126,218,2385,0.07030,0.09223
1985,1st Quintile,Self-employed,0.02409,59,2230,0.01773,0.03046
1985,1st Quintile,Blue-collar worker,0.12376,574,2230,0.11009,0.13743
1985,1st Quintile,White-collar worker,0.06646,169,2230,0.05612,0.07680
1985,1st Quintile,Apprentice/ Trainee/ Intern,0.09525,284,2230,0.08307,0.10744
1985,1st Quintile,Not employed: Pensioner,0.24173,372,2230,0.22396,0.25951
1985,1st Quintile,Not employed: registered unemployed,0.07056,218,2230,0.05993,0.08120
1985,1st Quintile,Not employed: no further information,0.14347,554,2230,0.12892,0.15803
1985,2nd Quintile,Self-employed,0.02593,71,2142,0.01919,0.03266
1985,2nd Quintile,Blue-collar worker,0.16458,629,2142,0.14887,0.18029
1985,2nd Quintile,Civil servant,0.01957,48,2142,0.01370,0.02544
1985,2nd Quintile,White-collar worker,0.10166,255,2142,0.08886,0.11446
1985,2nd Quintile,Apprentice/ Trainee/ Intern,0.07707,223,2142,0.06578,0.08837
1985,2nd Quintile,Not employed: Pensioner,0.22454,364,2142,0.20686,0.24221
1985,2nd Quintile,Not employed: registered unemployed,0.03522,113,2142,0.02741,0.04303
1985,2nd Quintile,Not employed: no further information,0.14174,439,2142,0.12697,0.15652
1985,3rd Quintile,Self-employed,0.03192,80,2195,0.02457,0.03928
1985,3rd Quintile,Blue-collar worker,0.19103,705,2195,0.17458,0.20748
1985,3rd Quintile,Civil servant,0.03159,76,2195,0.02427,0.03891
1985,3rd Quintile,White-collar worker,0.15588,378,2195,0.14070,0.17106
1985,3rd Quintile,Apprentice/ Trainee/ Intern,0.09357,246,2195,0.08138,0.10576
1985,3rd Quintile,Not employed: Pensioner,0.19703,334,2195,0.18039,0.21368
1985,3rd Quintile,Not employed: registered unemployed,0.02699,79,2195,0.02021,0.03377
1985,3rd Quintile,Not employed: no further information,0.11076,297,2195,0.09763,0.12390
1985,4th Quintile,Self-employed,0.04341,110,2205,0.03490,0.05192
1985,4th Quintile,Blue-collar worker,0.19041,636,2205,0.17402,0.20680
1985,4th Quintile,Civil servant,0.05108,125,2205,0.04189,0.06027
1985,4th Quintile,White-collar worker,0.23587,568,2205,0.21815,0.25360
1985,4th Quintile,Apprentice/ Trainee/ Intern,0.07276,193,2205,0.06191,0.08360
1985,4th Quintile,Not employed: Pensioner,0.16204,273,2205,0.14665,0.17742
1985,4th Quintile,Not employed: registered unemployed,0.01718,53,2205,0.01175,0.02260
1985,4th Quintile,Not employed: no further information,0.09626,247,2205,0.08394,0.10857
1985,5th Quintile,Self-employed,0.09266,236,2176,0.08047,0.10484
1985,5th Quintile,Blue-collar worker,0.12631,396,2176,0.11234,0.14027
1985,5th Quintile,Civil servant,0.09108,208,2176,0.07898,0.10317
