year,pgisced97,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Apprentice/ Trainee/ Intern,0.96124,92,92,0.92158,1.00090
1984,Pre-primary Level,female,Apprentice/ Trainee/ Intern,0.99302,91,91,0.97582,1.01022
1984,Primary Level,male,Blue-collar worker,0.61669,309,343,0.56516,0.66822
1984,Primary Level,male,Not employed: registered unemployed,0.10781,34,343,0.07494,0.14068
1984,Primary Level,female,Blue-collar worker,0.30910,230,533,0.26983,0.34837
1984,Primary Level,female,Not employed: registered unemployed,0.06790,32,533,0.04652,0.08928
1984,Primary Level,female,Not employed: no further information,0.44882,271,533,0.40655,0.49108
1984,Lower Secondary Level,male,Self-employed,0.05094,48,1101,0.03794,0.06393
1984,Lower Secondary Level,male,Blue-collar worker,0.35654,556,1101,0.32824,0.38485
1984,Lower Secondary Level,male,White-collar worker,0.04203,36,1101,0.03018,0.05389
1984,Lower Secondary Level,male,Apprentice/ Trainee/ Intern,0.27848,285,1101,0.25199,0.30497
1984,Lower Secondary Level,male,Not employed: Pensioner,0.18439,120,1101,0.16147,0.20731
1984,Lower Secondary Level,male,Not employed: registered unemployed,0.04806,56,1101,0.03542,0.06070
1984,Lower Secondary Level,female,Self-employed,0.02007,51,2300,0.01433,0.02580
1984,Lower Secondary Level,female,Blue-collar worker,0.14430,475,2300,0.12994,0.15867
1984,Lower Secondary Level,female,White-collar worker,0.06331,147,2300,0.05336,0.07327
1984,Lower Secondary Level,female,Apprentice/ Trainee/ Intern,0.09805,239,2300,0.08590,0.11021
1984,Lower Secondary Level,female,Not employed: Pensioner,0.35233,542,2300,0.33281,0.37186
1984,Lower Secondary Level,female,Not employed: registered unemployed,0.01727,52,2300,0.01194,0.02259
1984,Lower Secondary Level,female,Not employed: no further information,0.30374,794,2300,0.28494,0.32254
1984,Upper Secondary Level,male,Self-employed,0.06262,194,3124,0.05412,0.07112
1984,Upper Secondary Level,male,Blue-collar worker,0.36677,1353,3124,0.34987,0.38367
1984,Upper Secondary Level,male,Civil servant,0.06662,193,3124,0.05788,0.07537
1984,Upper Secondary Level,male,White-collar worker,0.18487,541,3124,0.17126,0.19849
1984,Upper Secondary Level,male,Apprentice/ Trainee/ Intern,0.05742,201,3124,0.04926,0.06558
1984,Upper Secondary Level,male,Not employed: Pensioner,0.20612,469,3124,0.19193,0.22030
1984,Upper Secondary Level,male,Not employed: registered unemployed,0.03693,133,3124,0.03032,0.04355
1984,Upper Secondary Level,male,Not employed: no further information,0.00820,40,3124,0.00503,0.01136
1984,Upper Secondary Level,female,Self-employed,0.03278,86,2515,0.02582,0.03974
1984,Upper Secondary Level,female,Blue-collar worker,0.07216,257,2515,0.06205,0.08228
1984,Upper Secondary Level,female,White-collar worker,0.30712,796,2515,0.28909,0.32516
1984,Upper Secondary Level,female,Apprentice/ Trainee/ Intern,0.04205,123,2515,0.03421,0.04990
1984,Upper Secondary Level,female,Not employed: Pensioner,0.21518,373,2515,0.19912,0.23125
1984,Upper Secondary Level,female,Not employed: registered unemployed,0.02642,81,2515,0.02015,0.03269
1984,Upper Secondary Level,female,Not employed: no further information,0.29244,799,2515,0.27466,0.31022
1984,Post-secondary Non-tertiary Level,male,Blue-collar worker,0.16233,61,117,0.09522,0.22944
1984,Post-secondary Non-tertiary Level,male,White-collar worker,0.34436,56,117,0.25789,0.43083
1984,Post-secondary Non-tertiary Level,female,White-collar worker,0.43861,46,46,0.29362,0.58359
1984,First Stage of Tertiary Education,male,Self-employed,0.16475,64,371,0.12695,0.20254
1984,First Stage of Tertiary Education,male,Blue-collar worker,0.13788,56,371,0.10275,0.17301
1984,First Stage of Tertiary Education,male,Civil servant,0.08315,33,371,0.05502,0.11129
1984,First Stage of Tertiary Education,male,White-collar worker,0.37037,150,371,0.32117,0.41958
1984,First Stage of Tertiary Education,male,Not employed: Pensioner,0.21287,68,371,0.17116,0.25458
1984,First Stage of Tertiary Education,female,White-collar worker,0.36771,111,223,0.30428,0.43114
1984,First Stage of Tertiary Education,female,Not employed: Pensioner,0.22411,45,223,0.16926,0.27897
1984,First Stage of Tertiary Education,female,Not employed: no further information,0.23080,67,223,0.17537,0.28622
1984,Second Stage of Tertiary Education,male,Self-employed,0.12402,72,486,0.09469,0.15336
1984,Second Stage of Tertiary Education,male,Civil servant,0.26661,140,486,0.22726,0.30597
1984,Second Stage of Tertiary Education,male,White-collar worker,0.41450,220,486,0.37065,0.45834
1984,Second Stage of Tertiary Education,male,Not employed: Pensioner,0.12855,54,486,0.09876,0.15834
1984,Second Stage of Tertiary Education,female,Civil servant,0.24485,67,184,0.18255,0.30716
1984,Second Stage of Tertiary Education,female,White-collar worker,0.26918,71,184,0.20492,0.33344
1984,Second Stage of Tertiary Education,female,Not employed: no further information,0.16044,46,184,0.10727,0.21362
1985,Pre-primary Level,male,Apprentice/ Trainee/ Intern,0.96747,109,109,0.93402,1.00093
1985,Pre-primary Level,female,Apprentice/ Trainee/ Intern,0.97924,73,73,0.94630,1.01217
1985,Primary Level,male,Blue-collar worker,0.53702,243,283,0.47882,0.59522
1985,Primary Level,male,Not employed: registered unemployed,0.14748,40,283,0.10609,0.18886
