year,bula_h,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Upper Secondary Level,Blue-collar worker,0.20389,51,117,0.13057,0.27720
1984,Schleswig-Holstein,Upper Secondary Level,White-collar worker,0.30168,66,117,0.21815,0.38521
1984,Hamburg,Upper Secondary Level,White-collar worker,0.33469,52,91,0.23720,0.43219
1984,Hamburg,Upper Secondary Level,Not employed: Pensioner,0.33758,39,91,0.23989,0.43528
1984,Lower Saxony,Lower Secondary Level,Blue-collar worker,0.14803,73,323,0.10924,0.18682
1984,Lower Saxony,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.19320,80,323,0.15008,0.23632
1984,Lower Saxony,Lower Secondary Level,Not employed: Pensioner,0.35251,93,323,0.30033,0.40470
1984,Lower Saxony,Lower Secondary Level,Not employed: no further information,0.20184,77,323,0.15800,0.24568
1984,Lower Saxony,Upper Secondary Level,Self-employed,0.05745,37,546,0.03792,0.07699
1984,Lower Saxony,Upper Secondary Level,Blue-collar worker,0.23401,155,546,0.19847,0.26956
1984,Lower Saxony,Upper Secondary Level,White-collar worker,0.23156,137,546,0.19615,0.26698
1984,Lower Saxony,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05955,38,546,0.03968,0.07941
1984,Lower Saxony,Upper Secondary Level,Not employed: Pensioner,0.19800,87,546,0.16454,0.23145
1984,Lower Saxony,Upper Secondary Level,Not employed: no further information,0.14694,92,546,0.11721,0.17666
1984,North Rhine-Westphalia,Primary Level,Blue-collar worker,0.42220,142,253,0.36122,0.48318
1984,North Rhine-Westphalia,Primary Level,Not employed: no further information,0.37303,111,253,0.31332,0.43274
1984,North Rhine-Westphalia,Lower Secondary Level,Blue-collar worker,0.22427,276,844,0.19611,0.25243
1984,North Rhine-Westphalia,Lower Secondary Level,White-collar worker,0.04900,36,844,0.03443,0.06357
1984,North Rhine-Westphalia,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.15082,140,844,0.12666,0.17498
1984,North Rhine-Westphalia,Lower Secondary Level,Not employed: Pensioner,0.27042,134,844,0.24044,0.30041
1984,North Rhine-Westphalia,Lower Secondary Level,Not employed: registered unemployed,0.03095,31,844,0.01926,0.04265
1984,North Rhine-Westphalia,Lower Secondary Level,Not employed: no further information,0.25605,227,844,0.22659,0.28552
1984,North Rhine-Westphalia,Upper Secondary Level,Self-employed,0.04570,73,1519,0.03519,0.05621
1984,North Rhine-Westphalia,Upper Secondary Level,Blue-collar worker,0.21206,394,1519,0.19150,0.23263
1984,North Rhine-Westphalia,Upper Secondary Level,Civil servant,0.03470,51,1519,0.02549,0.04391
1984,North Rhine-Westphalia,Upper Secondary Level,White-collar worker,0.23040,349,1519,0.20922,0.25159
1984,North Rhine-Westphalia,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05818,104,1519,0.04640,0.06995
1984,North Rhine-Westphalia,Upper Secondary Level,Not employed: Pensioner,0.21286,223,1519,0.19227,0.23345
1984,North Rhine-Westphalia,Upper Secondary Level,Not employed: registered unemployed,0.03639,62,1519,0.02697,0.04581
1984,North Rhine-Westphalia,Upper Secondary Level,Not employed: no further information,0.16332,263,1519,0.14472,0.18192
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,White-collar worker,0.39515,31,31,0.22021,0.57010
1984,North Rhine-Westphalia,First Stage of Tertiary Education,White-collar worker,0.37295,62,62,0.25159,0.49430
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Civil servant,0.30806,71,154,0.23490,0.38121
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,White-collar worker,0.38421,83,154,0.30714,0.46129
1984,Hesse,Primary Level,Blue-collar worker,0.40632,61,61,0.28204,0.53060
1984,Hesse,Lower Secondary Level,Blue-collar worker,0.23214,114,310,0.18507,0.27922
1984,Hesse,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.14457,53,310,0.10536,0.18378
1984,Hesse,Lower Secondary Level,Not employed: Pensioner,0.31297,61,310,0.26127,0.36467
1984,Hesse,Lower Secondary Level,Not employed: no further information,0.21283,82,310,0.16719,0.25846
1984,Hesse,Upper Secondary Level,Blue-collar worker,0.20747,160,508,0.17217,0.24277
1984,Hesse,Upper Secondary Level,White-collar worker,0.26495,148,508,0.22653,0.30336
1984,Hesse,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.06161,37,508,0.04068,0.08254
1984,Hesse,Upper Secondary Level,Not employed: Pensioner,0.21213,82,508,0.17654,0.24771
1984,Hesse,Upper Secondary Level,Not employed: no further information,0.13022,81,508,0.10093,0.15952
1984,"Rhineland-Palatinate, Saarland",Primary Level,Blue-collar worker,0.62612,40,40,0.47427,0.77797
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Blue-collar worker,0.15073,60,273,0.10821,0.19325
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Apprentice/ Trainee/ Intern,0.15454,50,273,0.11158,0.19750
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not employed: Pensioner,0.30172,67,273,0.24717,0.35627
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not employed: no further information,0.31312,96,273,0.25800,0.36823
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Blue-collar worker,0.25360,110,314,0.20540,0.30180
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,White-collar worker,0.20552,81,314,0.16075,0.25029
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not employed: Pensioner,0.21155,67,314,0.16631,0.25680
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not employed: no further information,0.13926,56,314,0.10091,0.17762
1984,Baden-Wuerttemberg,Primary Level,Blue-collar worker,0.61086,172,250,0.55030,0.67142
1984,Baden-Wuerttemberg,Primary Level,Not employed: no further information,0.26992,78,250,0.21478,0.32505
1984,Baden-Wuerttemberg,Lower Secondary Level,Blue-collar worker,0.24091,263,653,0.20808,0.27373
1984,Baden-Wuerttemberg,Lower Secondary Level,White-collar worker,0.07924,44,653,0.05851,0.09998
1984,Baden-Wuerttemberg,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.10847,76,653,0.08460,0.13234
1984,Baden-Wuerttemberg,Lower Secondary Level,Not employed: Pensioner,0.32038,126,653,0.28457,0.35620
1984,Baden-Wuerttemberg,Lower Secondary Level,Not employed: no further information,0.20576,144,653,0.17473,0.23679
1984,Baden-Wuerttemberg,Upper Secondary Level,Self-employed,0.04461,39,910,0.03119,0.05803
1984,Baden-Wuerttemberg,Upper Secondary Level,Blue-collar worker,0.29428,344,910,0.26465,0.32390
1984,Baden-Wuerttemberg,Upper Secondary Level,Civil servant,0.04223,36,910,0.02916,0.05531
1984,Baden-Wuerttemberg,Upper Secondary Level,White-collar worker,0.24076,202,910,0.21296,0.26855
1984,Baden-Wuerttemberg,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04908,50,910,0.03504,0.06312
1984,Baden-Wuerttemberg,Upper Secondary Level,Not employed: Pensioner,0.18655,116,910,0.16122,0.21187
1984,Baden-Wuerttemberg,Upper Secondary Level,Not employed: no further information,0.11916,123,910,0.09810,0.14022
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,White-collar worker,0.39348,50,50,0.25670,0.53027
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Civil servant,0.25688,34,79,0.15992,0.35385
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,White-collar worker,0.36391,45,79,0.25714,0.47069
1984,Bavaria,Primary Level,Blue-collar worker,0.41713,63,63,0.29439,0.53987
1984,Bavaria,Lower Secondary Level,Blue-collar worker,0.17169,154,526,0.13943,0.20395
1984,Bavaria,Lower Secondary Level,White-collar worker,0.07962,42,526,0.05646,0.10277
1984,Bavaria,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.14187,87,526,0.11202,0.17171
1984,Bavaria,Lower Secondary Level,Not employed: Pensioner,0.27291,103,526,0.23481,0.31102
1984,Bavaria,Lower Secondary Level,Not employed: no further information,0.23791,140,526,0.20149,0.27433
