year,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Self-employed,0.04200,602,12142,0.03843,0.04557
1984,Blue-collar worker,0.16208,3369,12142,0.15553,0.16864
1984,Civil servant,0.03794,492,12142,0.03454,0.04133
1984,White-collar worker,0.16539,2193,12142,0.15878,0.17200
1984,Apprentice/ Trainee/ Intern,0.07465,1146,12142,0.06997,0.07932
1984,Not employed: Pensioner,0.18678,1765,12142,0.17985,0.19372
1984,Not employed: Military/Community Service,0.00283,35,12142,0.00188,0.00377
1984,Not employed: registered unemployed,0.02442,434,12142,0.02168,0.02717
1984,Not employed: no further information,0.12908,2106,12142,0.12312,0.13505
1985,Self-employed,0.04357,556,11005,0.03975,0.04738
1985,Blue-collar worker,0.15912,2941,11005,0.15229,0.16596
1985,Civil servant,0.03940,467,11005,0.03576,0.04303
1985,White-collar worker,0.17226,2085,11005,0.16521,0.17932
1985,Apprentice/ Trainee/ Intern,0.08003,1097,11005,0.07496,0.08510
1985,Not employed: Pensioner,0.19398,1603,11005,0.18659,0.20137
1985,Not employed: Military/Community Service,0.00311,39,11005,0.00207,0.00416
1985,Not employed: registered unemployed,0.03288,503,11005,0.02955,0.03622
1985,Not employed: no further information,0.11290,1714,11005,0.10699,0.11882
1986,Self-employed,0.04365,533,10564,0.03975,0.04754
1986,Blue-collar worker,0.16067,2847,10564,0.15367,0.16767
1986,Civil servant,0.03890,447,10564,0.03521,0.04258
1986,White-collar worker,0.17275,1997,10564,0.16554,0.17996
1986,Apprentice/ Trainee/ Intern,0.07750,1094,10564,0.07240,0.08260
1986,Not employed: Pensioner,0.19529,1523,10564,0.18773,0.20285
1986,Not employed: Military/Community Service,0.00435,49,10564,0.00309,0.00560
1986,Not employed: registered unemployed,0.03066,461,10564,0.02738,0.03395
1986,Not employed: no further information,0.11234,1613,10564,0.10632,0.11837
1987,Self-employed,0.04416,532,10430,0.04022,0.04811
1987,Blue-collar worker,0.16666,2830,10430,0.15950,0.17381
1987,Civil servant,0.03928,443,10430,0.03555,0.04301
1987,White-collar worker,0.17550,1991,10430,0.16820,0.18280
1987,Apprentice/ Trainee/ Intern,0.07038,1083,10430,0.06547,0.07529
1987,Not employed: Pensioner,0.19288,1495,10430,0.18530,0.20045
1987,Not employed: Military/Community Service,0.00491,53,10430,0.00357,0.00625
1987,Not employed: registered unemployed,0.03085,471,10430,0.02753,0.03417
1987,Not employed: no further information,0.10889,1532,10430,0.10291,0.11487
1988,Self-employed,0.04352,501,9952,0.03951,0.04753
1988,Blue-collar worker,0.16113,2655,9952,0.15390,0.16835
1988,Civil servant,0.03918,410,9952,0.03537,0.04299
1988,White-collar worker,0.18363,1949,9952,0.17603,0.19124
1988,Apprentice/ Trainee/ Intern,0.06897,993,9952,0.06400,0.07395
1988,Not employed: Pensioner,0.19412,1457,9952,0.18635,0.20189
1988,Not employed: Military/Community Service,0.00501,55,9952,0.00362,0.00640
1988,Not employed: registered unemployed,0.03201,457,9952,0.02856,0.03547
1988,Not employed: no further information,0.10588,1475,9952,0.09984,0.11193
1989,Self-employed,0.04071,459,9641,0.03676,0.04465
1989,Blue-collar worker,0.16084,2593,9641,0.15350,0.16817
1989,Civil servant,0.03810,384,9641,0.03428,0.04192
1989,White-collar worker,0.19447,2019,9641,0.18657,0.20237
1989,Apprentice/ Trainee/ Intern,0.06978,926,9641,0.06470,0.07487
1989,Not employed: Pensioner,0.19644,1442,9641,0.18851,0.20437
1989,Not employed: Military/Community Service,0.00389,47,9641,0.00264,0.00513
1989,Not employed: registered unemployed,0.02419,324,9641,0.02112,0.02726
1989,Not employed: no further information,0.10622,1447,9641,0.10007,0.11237
1990,Self-employed,0.03680,565,13836,0.03366,0.03993
1990,Blue-collar worker,0.18333,4101,13836,0.17689,0.18978
1990,Civil servant,0.03104,377,13836,0.02815,0.03393
1990,White-collar worker,0.20973,3596,13836,0.20294,0.21651
1990,Apprentice/ Trainee/ Intern,0.06212,1135,13836,0.05810,0.06615
1990,Not employed: Pensioner,0.18599,2114,13836,0.17950,0.19247
1990,Not employed: Military/Community Service,0.00452,77,13836,0.00340,0.00564
1990,Not employed: registered unemployed,0.01832,316,13836,0.01608,0.02055
1990,Not employed: no further information,0.08816,1555,13836,0.08344,0.09289
1991,Self-employed,0.03877,606,13557,0.03552,0.04202
1991,Blue-collar worker,0.17668,3800,13557,0.17026,0.18310
1991,Civil servant,0.03169,411,13557,0.02874,0.03464
1991,White-collar worker,0.20490,3333,13557,0.19811,0.21170
1991,Apprentice/ Trainee/ Intern,0.05989,1136,13557,0.05590,0.06389
1991,Not employed: Pensioner,0.19503,2168,13557,0.18836,0.20170
1991,Not employed: Military/Community Service,0.00379,62,13557,0.00276,0.00482
1991,Not employed: registered unemployed,0.02880,612,13557,0.02599,0.03162
1991,Not employed: no further information,0.08242,1429,13557,0.07779,0.08705
1992,Self-employed,0.03941,603,13297,0.03610,0.04272
1992,Blue-collar worker,0.16012,3384,13297,0.15388,0.16635
1992,Civil servant,0.02972,386,13297,0.02683,0.03260
1992,White-collar worker,0.20424,3221,13297,0.19739,0.21109
1992,Apprentice/ Trainee/ Intern,0.06144,1179,13297,0.05735,0.06552
1992,Not employed: Pensioner,0.20271,2270,13297,0.19587,0.20954
1992,Not employed: Military/Community Service,0.00338,52,13297,0.00239,0.00436
1992,Not employed: registered unemployed,0.04093,855,13297,0.03756,0.04430
1992,Not employed: no further information,0.08094,1347,13297,0.07630,0.08558
1993,Self-employed,0.04110,622,13085,0.03769,0.04450
1993,Blue-collar worker,0.15804,3213,13085,0.15179,0.16429
1993,Civil servant,0.03237,411,13085,0.02934,0.03541
1993,White-collar worker,0.19881,3106,13085,0.19197,0.20565
1993,Apprentice/ Trainee/ Intern,0.06095,1155,13085,0.05685,0.06505
1993,Not employed: Pensioner,0.20397,2310,13085,0.19706,0.21087
1993,Not employed: Military/Community Service,0.00348,52,13085,0.00247,0.00449
1993,Not employed: registered unemployed,0.04609,912,13085,0.04249,0.04968
1993,Not employed: no further information,0.07721,1304,13085,0.07263,0.08178
1994,Self-employed,0.04077,619,12863,0.03736,0.04419
1994,Blue-collar worker,0.14762,2941,12863,0.14149,0.15375
1994,Civil servant,0.03413,429,12863,0.03099,0.03727
1994,White-collar worker,0.19956,3109,12863,0.19266,0.20647
1994,Apprentice/ Trainee/ Intern,0.05604,1071,12863,0.05207,0.06002
1994,Not employed: Pensioner,0.20645,2295,12863,0.19945,0.21344
1994,Not employed: Military/Community Service,0.00366,60,12863,0.00262,0.00470
1994,Not employed: registered unemployed,0.05410,1035,12863,0.05019,0.05801
1994,Not employed: no further information,0.07907,1304,12863,0.07441,0.08373
1995,Self-employed,0.03946,617,13269,0.03615,0.04278
1995,Blue-collar worker,0.14619,3082,13269,0.14018,0.15220
1995,Civil servant,0.03289,429,13269,0.02986,0.03593
1995,White-collar worker,0.20135,3255,13269,0.19453,0.20817
1995,Apprentice/ Trainee/ Intern,0.05904,1162,13269,0.05503,0.06305
1995,Not employed: Pensioner,0.20873,2335,13269,0.20181,0.21564
1995,Not employed: Military/Community Service,0.00334,50,13269,0.00236,0.00433
1995,Not employed: registered unemployed,0.05263,995,13269,0.04883,0.05643
1995,Not employed: no further information,0.07683,1344,13269,0.07230,0.08137
1996,Self-employed,0.04247,646,13028,0.03901,0.04593
1996,Blue-collar worker,0.14413,2939,13028,0.13810,0.15016
1996,Civil servant,0.03127,413,13028,0.02828,0.03426
1996,White-collar worker,0.20101,3195,13028,0.19413,0.20790
1996,Apprentice/ Trainee/ Intern,0.05695,1118,13028,0.05297,0.06093
1996,Not employed: Pensioner,0.21185,2347,13028,0.20484,0.21887
1996,Not employed: Military/Community Service,0.00308,49,13028,0.00213,0.00403
1996,Not employed: registered unemployed,0.05326,994,13028,0.04941,0.05712
1996,Not employed: no further information,0.07638,1327,13028,0.07182,0.08095
1997,Self-employed,0.04141,636,12809,0.03796,0.04486
1997,Blue-collar worker,0.13344,2665,12809,0.12755,0.13933
1997,Civil servant,0.03225,430,12809,0.02919,0.03531
1997,White-collar worker,0.20310,3190,12809,0.19613,0.21007
1997,Apprentice/ Trainee/ Intern,0.05873,1135,12809,0.05466,0.06281
1997,Not employed: Pensioner,0.21814,2397,12809,0.21098,0.22529
1997,Not employed: Military/Community Service,0.00334,58,12809,0.00234,0.00434
1997,Not employed: registered unemployed,0.05766,1038,12809,0.05362,0.06170
1997,Not employed: no further information,0.07485,1260,12809,0.07030,0.07941
1998,Self-employed,0.04166,720,14224,0.03837,0.04494
1998,Blue-collar worker,0.13573,2842,14224,0.13011,0.14136
1998,Civil servant,0.03092,481,14224,0.02807,0.03376
1998,White-collar worker,0.20376,3563,14224,0.19714,0.21038
1998,Apprentice/ Trainee/ Intern,0.06216,1262,14224,0.05819,0.06612
1998,Not employed: Pensioner,0.21806,2800,14224,0.21127,0.22484
1998,Not employed: Military/Community Service,0.00243,50,14224,0.00162,0.00324
1998,Not employed: registered unemployed,0.05464,1093,14224,0.05090,0.05837
1998,Not employed: no further information,0.07596,1413,14224,0.07161,0.08032
1999,Self-employed,0.04596,737,13669,0.04245,0.04947
1999,Blue-collar worker,0.14209,2811,13669,0.13623,0.14794
1999,Civil servant,0.02971,453,13669,0.02687,0.03256
1999,White-collar worker,0.20880,3550,13669,0.20198,0.21561
1999,Apprentice/ Trainee/ Intern,0.06090,1188,13669,0.05689,0.06491
1999,Not employed: Pensioner,0.22164,2735,13669,0.21468,0.22860
1999,Not employed: Military/Community Service,0.00273,51,13669,0.00186,0.00361
1999,Not employed: registered unemployed,0.04643,886,13669,0.04290,0.04996
1999,Not employed: no further information,0.06945,1258,13669,0.06518,0.07371
2000,Self-employed,0.04797,1352,24056,0.04527,0.05067
2000,Blue-collar worker,0.14427,4456,24056,0.13983,0.14871
2000,Civil servant,0.02694,843,24056,0.02489,0.02899
2000,White-collar worker,0.21265,6317,24056,0.20748,0.21782
