year,regtyp,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Self-employed,0.05185,249,4230,0.04517,0.05853
1985,Urban regions,male,Blue-collar worker,0.24223,1670,4230,0.22932,0.25515
1985,Urban regions,male,Civil servant,0.06329,269,4230,0.05595,0.07062
1985,Urban regions,male,White-collar worker,0.17810,781,4230,0.16657,0.18963
1985,Urban regions,male,Apprentice/ Trainee/ Intern,0.09426,502,4230,0.08546,0.10307
1985,Urban regions,male,Not employed: Pensioner,0.15352,504,4230,0.14265,0.16438
1985,Urban regions,male,Not employed: registered unemployed,0.03394,203,4230,0.02848,0.03940
1985,Urban regions,male,Not employed: no further information,0.00650,52,4230,0.00408,0.00892
1985,Urban regions,female,Self-employed,0.02720,144,4410,0.02240,0.03200
1985,Urban regions,female,Blue-collar worker,0.08988,726,4410,0.08143,0.09832
1985,Urban regions,female,Civil servant,0.01536,74,4410,0.01173,0.01899
1985,Urban regions,female,White-collar worker,0.18961,911,4410,0.17804,0.20118
1985,Urban regions,female,Apprentice/ Trainee/ Intern,0.06775,369,4410,0.06033,0.07517
1985,Urban regions,female,Not employed: Pensioner,0.22411,700,4410,0.21180,0.23642
1985,Urban regions,female,Not employed: registered unemployed,0.02777,177,4410,0.02292,0.03262
1985,Urban regions,female,Not employed: no further information,0.21022,1309,4410,0.19819,0.22225
1985,Rural regions,male,Self-employed,0.08292,109,1124,0.06679,0.09905
1985,Rural regions,male,Blue-collar worker,0.21499,373,1124,0.19096,0.23902
1985,Rural regions,male,Civil servant,0.07314,101,1124,0.05791,0.08836
1985,Rural regions,male,White-collar worker,0.12784,178,1124,0.10831,0.14737
1985,Rural regions,male,Apprentice/ Trainee/ Intern,0.09073,127,1124,0.07393,0.10753
1985,Rural regions,male,Not employed: Pensioner,0.15602,159,1124,0.13479,0.17724
1985,Rural regions,male,Not employed: registered unemployed,0.05440,77,1124,0.04113,0.06766
1985,Rural regions,female,Self-employed,0.03443,54,1168,0.02397,0.04489
1985,Rural regions,female,Blue-collar worker,0.08837,172,1168,0.07209,0.10466
1985,Rural regions,female,White-collar worker,0.14373,215,1168,0.12361,0.16386
1985,Rural regions,female,Apprentice/ Trainee/ Intern,0.06816,99,1168,0.05370,0.08262
1985,Rural regions,female,Not employed: Pensioner,0.24933,240,1168,0.22450,0.27415
1985,Rural regions,female,Not employed: registered unemployed,0.02579,46,1168,0.01670,0.03489
1985,Rural regions,female,Not employed: no further information,0.20875,342,1168,0.18543,0.23207
1986,Urban regions,male,Self-employed,0.05014,236,4129,0.04348,0.05680
1986,Urban regions,male,Blue-collar worker,0.24666,1633,4129,0.23351,0.25981
1986,Urban regions,male,Civil servant,0.06216,259,4129,0.05479,0.06952
1986,Urban regions,male,White-collar worker,0.17561,730,4129,0.16400,0.18721
1986,Urban regions,male,Apprentice/ Trainee/ Intern,0.09449,503,4129,0.08557,0.10341
1986,Urban regions,male,Not employed: Pensioner,0.15708,501,4129,0.14598,0.16818
1986,Urban regions,male,Not employed: Military/Community Service,0.00817,33,4129,0.00542,0.01091
1986,Urban regions,male,Not employed: registered unemployed,0.02848,174,4129,0.02340,0.03355
1986,Urban regions,male,Not employed: no further information,0.00826,60,4129,0.00550,0.01102
1986,Urban regions,female,Self-employed,0.02760,139,4207,0.02265,0.03255
1986,Urban regions,female,Blue-collar worker,0.08762,685,4207,0.07907,0.09616
1986,Urban regions,female,Civil servant,0.01461,67,4207,0.01099,0.01824
1986,Urban regions,female,White-collar worker,0.19063,886,4207,0.17876,0.20250
1986,Urban regions,female,Apprentice/ Trainee/ Intern,0.06440,376,4207,0.05698,0.07182
1986,Urban regions,female,Not employed: Pensioner,0.22851,658,4207,0.21582,0.24120
1986,Urban regions,female,Not employed: registered unemployed,0.02817,177,4207,0.02317,0.03317
1986,Urban regions,female,Not employed: no further information,0.20880,1219,4207,0.19651,0.22108
1986,Rural regions,male,Self-employed,0.08628,105,1064,0.06940,0.10316
1986,Rural regions,male,Blue-collar worker,0.21765,359,1064,0.19285,0.24246
1986,Rural regions,male,Civil servant,0.07301,96,1064,0.05737,0.08865
1986,Rural regions,male,White-collar worker,0.12661,169,1064,0.10662,0.14661
1986,Rural regions,male,Apprentice/ Trainee/ Intern,0.08808,125,1064,0.07104,0.10512
1986,Rural regions,male,Not employed: Pensioner,0.15959,154,1064,0.13757,0.18160
1986,Rural regions,male,Not employed: registered unemployed,0.04245,56,1064,0.03033,0.05457
1986,Rural regions,female,Self-employed,0.03592,53,1113,0.02498,0.04685
1986,Rural regions,female,Blue-collar worker,0.09098,170,1113,0.07408,0.10788
1986,Rural regions,female,White-collar worker,0.15168,212,1113,0.13060,0.17276
1986,Rural regions,female,Apprentice/ Trainee/ Intern,0.06023,90,1113,0.04625,0.07421
1986,Rural regions,female,Not employed: Pensioner,0.23336,210,1113,0.20850,0.25822
1986,Rural regions,female,Not employed: registered unemployed,0.03378,54,1113,0.02316,0.04440
1986,Rural regions,female,Not employed: no further information,0.20441,324,1113,0.18070,0.22811
1987,Urban regions,male,Self-employed,0.04966,230,4094,0.04300,0.05631
1987,Urban regions,male,Blue-collar worker,0.25302,1605,4094,0.23970,0.26634
1987,Urban regions,male,Civil servant,0.06161,257,4094,0.05424,0.06897
1987,Urban regions,male,White-collar worker,0.17796,730,4094,0.16625,0.18968
1987,Urban regions,male,Apprentice/ Trainee/ Intern,0.08245,494,4094,0.07402,0.09087
1987,Urban regions,male,Not employed: Pensioner,0.15383,489,4094,0.14277,0.16488
1987,Urban regions,male,Not employed: Military/Community Service,0.01088,42,4094,0.00770,0.01406
1987,Urban regions,male,Not employed: registered unemployed,0.03165,191,4094,0.02629,0.03702
1987,Urban regions,male,Not employed: no further information,0.00783,56,4094,0.00513,0.01053
1987,Urban regions,female,Self-employed,0.02848,142,4133,0.02340,0.03355
1987,Urban regions,female,Blue-collar worker,0.09243,684,4133,0.08360,0.10126
1987,Urban regions,female,Civil servant,0.01578,70,4133,0.01198,0.01958
1987,Urban regions,female,White-collar worker,0.18992,861,4133,0.17796,0.20188
1987,Urban regions,female,Apprentice/ Trainee/ Intern,0.06208,375,4133,0.05472,0.06943
1987,Urban regions,female,Not employed: Pensioner,0.22682,651,4133,0.21405,0.23958
1987,Urban regions,female,Not employed: registered unemployed,0.02927,176,4133,0.02413,0.03441
1987,Urban regions,female,Not employed: no further information,0.20517,1174,4133,0.19286,0.21749
1987,Rural regions,male,Self-employed,0.08379,101,1051,0.06703,0.10055
1987,Rural regions,male,Blue-collar worker,0.21840,360,1051,0.19341,0.24339
1987,Rural regions,male,Civil servant,0.07455,94,1051,0.05866,0.09044
1987,Rural regions,male,White-collar worker,0.13750,178,1051,0.11667,0.15833
1987,Rural regions,male,Apprentice/ Trainee/ Intern,0.07255,112,1051,0.05686,0.08824
1987,Rural regions,male,Not employed: Pensioner,0.16092,148,1051,0.13869,0.18314
1987,Rural regions,male,Not employed: registered unemployed,0.03822,58,1051,0.02662,0.04982
1987,Rural regions,female,Self-employed,0.04067,59,1111,0.02905,0.05229
1987,Rural regions,female,Blue-collar worker,0.10212,181,1111,0.08431,0.11994
1987,Rural regions,female,White-collar worker,0.15864,222,1111,0.13715,0.18013
1987,Rural regions,female,Apprentice/ Trainee/ Intern,0.05961,102,1111,0.04568,0.07353
1987,Rural regions,female,Not employed: Pensioner,0.22876,207,1111,0.20405,0.25347
1987,Rural regions,female,Not employed: registered unemployed,0.02671,46,1111,0.01722,0.03619
1987,Rural regions,female,Not employed: no further information,0.19324,294,1111,0.17001,0.21647
1988,Urban regions,male,Self-employed,0.04819,217,3911,0.04147,0.05490
1988,Urban regions,male,Blue-collar worker,0.24399,1497,3911,0.23053,0.25745
1988,Urban regions,male,Civil servant,0.06136,238,3911,0.05384,0.06889
1988,Urban regions,male,White-collar worker,0.19068,738,3911,0.17836,0.20299
1988,Urban regions,male,Apprentice/ Trainee/ Intern,0.08570,458,3911,0.07693,0.09448
1988,Urban regions,male,Not employed: Pensioner,0.15274,481,3911,0.14146,0.16401
1988,Urban regions,male,Not employed: Military/Community Service,0.00953,39,3911,0.00648,0.01257
1988,Urban regions,male,Not employed: registered unemployed,0.03052,181,3911,0.02513,0.03592
1988,Urban regions,male,Not employed: no further information,0.00825,62,3911,0.00542,0.01109
1988,Urban regions,female,Self-employed,0.02782,133,3980,0.02271,0.03293
1988,Urban regions,female,Blue-collar worker,0.08720,644,3980,0.07843,0.09596
1988,Urban regions,female,Civil servant,0.01749,69,3980,0.01342,0.02156
1988,Urban regions,female,White-collar worker,0.20315,858,3980,0.19065,0.21565
1988,Urban regions,female,Apprentice/ Trainee/ Intern,0.05806,349,3980,0.05080,0.06533
1988,Urban regions,female,Not employed: Pensioner,0.22856,635,3980,0.21551,0.24160
1988,Urban regions,female,Not employed: registered unemployed,0.02835,164,3980,0.02319,0.03350
1988,Urban regions,female,Not employed: no further information,0.19776,1128,3980,0.18538,0.21013
1988,Rural regions,male,Self-employed,0.08303,96,983,0.06578,0.10029
1988,Rural regions,male,Blue-collar worker,0.21261,334,983,0.18702,0.23820
1988,Rural regions,male,Civil servant,0.06899,85,983,0.05314,0.08484
1988,Rural regions,male,White-collar worker,0.13313,161,983,0.11189,0.15438
1988,Rural regions,male,Apprentice/ Trainee/ Intern,0.06248,92,983,0.04734,0.07762
1988,Rural regions,male,Not employed: Pensioner,0.16940,150,983,0.14594,0.19286
1988,Rural regions,male,Not employed: registered unemployed,0.04664,65,983,0.03345,0.05982
1988,Rural regions,female,Self-employed,0.04261,55,1031,0.03027,0.05494
1988,Rural regions,female,Blue-collar worker,0.10392,180,1031,0.08529,0.12256
1988,Rural regions,female,White-collar worker,0.14813,192,1031,0.12644,0.16983
1988,Rural regions,female,Apprentice/ Trainee/ Intern,0.06056,94,1031,0.04599,0.07513
1988,Rural regions,female,Not employed: Pensioner,0.22972,191,1031,0.20403,0.25541
1988,Rural regions,female,Not employed: registered unemployed,0.03433,47,1031,0.02321,0.04545
1988,Rural regions,female,Not employed: no further information,0.18932,272,1031,0.16539,0.21324
1989,Urban regions,male,Self-employed,0.04772,202,3781,0.04092,0.05451
1989,Urban regions,male,Blue-collar worker,0.23870,1452,3781,0.22511,0.25229
1989,Urban regions,male,Civil servant,0.05702,218,3781,0.04963,0.06442
1989,Urban regions,male,White-collar worker,0.20075,764,3781,0.18798,0.21352
1989,Urban regions,male,Apprentice/ Trainee/ Intern,0.08890,426,3781,0.07983,0.09797
1989,Urban regions,male,Not employed: Pensioner,0.15318,469,3781,0.14170,0.16466
1989,Urban regions,male,Not employed: Military/Community Service,0.00772,37,3781,0.00493,0.01051
1989,Urban regions,male,Not employed: registered unemployed,0.02152,124,3781,0.01689,0.02614
1989,Urban regions,male,Not employed: no further information,0.01360,89,3781,0.00991,0.01730
1989,Urban regions,female,Self-employed,0.02629,127,3903,0.02127,0.03131
1989,Urban regions,female,Blue-collar worker,0.08878,642,3903,0.07985,0.09770
1989,Urban regions,female,Civil servant,0.01722,66,3903,0.01314,0.02131
1989,Urban regions,female,White-collar worker,0.21421,891,3903,0.20134,0.22708
1989,Urban regions,female,Apprentice/ Trainee/ Intern,0.05677,325,3903,0.04951,0.06403
1989,Urban regions,female,Not employed: Pensioner,0.23256,645,3903,0.21930,0.24581
1989,Urban regions,female,Not employed: registered unemployed,0.02292,122,3903,0.01822,0.02761
1989,Urban regions,female,Not employed: no further information,0.19302,1085,3903,0.18064,0.20540
1989,Rural regions,male,Self-employed,0.07113,82,942,0.05471,0.08756
1989,Rural regions,male,Blue-collar worker,0.22535,332,942,0.19866,0.25205
1989,Rural regions,male,Civil servant,0.07247,83,942,0.05590,0.08903
1989,Rural regions,male,White-collar worker,0.14060,162,942,0.11839,0.16281
1989,Rural regions,male,Apprentice/ Trainee/ Intern,0.07274,96,942,0.05614,0.08933
1989,Rural regions,male,Not employed: Pensioner,0.16413,139,942,0.14046,0.18780
1989,Rural regions,male,Not employed: registered unemployed,0.03729,48,942,0.02519,0.04940
1989,Rural regions,female,Self-employed,0.03791,48,941,0.02570,0.05012
1989,Rural regions,female,Blue-collar worker,0.09919,167,941,0.08008,0.11829
1989,Rural regions,female,White-collar worker,0.16137,202,941,0.13785,0.18489
1989,Rural regions,female,Apprentice/ Trainee/ Intern,0.05149,79,941,0.03736,0.06562
1989,Rural regions,female,Not employed: Pensioner,0.24030,189,941,0.21298,0.26761
1989,Rural regions,female,Not employed: no further information,0.19029,256,941,0.16520,0.21538
1990,Urban regions,male,Self-employed,0.05032,238,4371,0.04384,0.05680
1990,Urban regions,male,Blue-collar worker,0.24854,1714,4371,0.23572,0.26135
1990,Urban regions,male,Civil servant,0.05217,210,4371,0.04557,0.05876
1990,Urban regions,male,White-collar worker,0.19909,952,4371,0.18725,0.21093
1990,Urban regions,male,Apprentice/ Trainee/ Intern,0.08107,448,4371,0.07298,0.08917
