year,sampreg,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Self-employed,0.07404,407,5941,0.06739,0.08070
1984,West,male,Blue-collar worker,0.30411,2372,5941,0.29241,0.31581
1984,West,male,Civil servant,0.07747,386,5941,0.07067,0.08427
1984,West,male,White-collar worker,0.19880,1011,5941,0.18865,0.20895
1984,West,male,Apprentice/ Trainee/ Intern,0.10416,643,5941,0.09639,0.11193
1984,West,male,Not employed: Pensioner,0.18710,744,5941,0.17718,0.19702
1984,West,male,Not employed: Military/Community Service,0.00712,34,5941,0.00499,0.00926
1984,West,male,Not employed: registered unemployed,0.03593,248,5941,0.03120,0.04067
1984,West,male,Not employed: no further information,0.01125,96,5941,0.00857,0.01394
1984,West,female,Self-employed,0.03040,195,6200,0.02612,0.03467
1984,West,female,Blue-collar worker,0.10101,997,6200,0.09351,0.10852
1984,West,female,Civil servant,0.01807,106,6200,0.01475,0.02138
1984,West,female,White-collar worker,0.20187,1182,6200,0.19188,0.21187
1984,West,female,Apprentice/ Trainee/ Intern,0.07833,503,6200,0.07164,0.08501
1984,West,female,Not employed: Pensioner,0.26114,1021,6200,0.25020,0.27207
1984,West,female,Not employed: registered unemployed,0.02399,186,6200,0.02018,0.02780
1984,West,female,Not employed: no further information,0.28505,2010,6200,0.27381,0.29628
1985,West,male,Self-employed,0.07211,358,5404,0.06522,0.07901
1985,West,male,Blue-collar worker,0.28506,2043,5404,0.27302,0.29710
1985,West,male,Civil servant,0.07958,370,5404,0.07236,0.08679
1985,West,male,White-collar worker,0.20049,959,5404,0.18982,0.21117
1985,West,male,Apprentice/ Trainee/ Intern,0.11305,629,5404,0.10461,0.12150
1985,West,male,Not employed: Pensioner,0.18660,663,5404,0.17621,0.19699
1985,West,male,Not employed: Military/Community Service,0.00790,39,5404,0.00554,0.01027
1985,West,male,Not employed: registered unemployed,0.04724,280,5404,0.04158,0.05290
1985,West,male,Not employed: no further information,0.00795,63,5404,0.00559,0.01032
1985,West,female,Self-employed,0.03419,198,5601,0.02943,0.03895
1985,West,female,Blue-collar worker,0.10561,898,5601,0.09756,0.11366
1985,West,female,Civil servant,0.01815,97,5601,0.01465,0.02165
1985,West,female,White-collar worker,0.21041,1126,5601,0.19974,0.22109
1985,West,female,Apprentice/ Trainee/ Intern,0.08006,468,5601,0.07295,0.08716
1985,West,female,Not employed: Pensioner,0.27176,940,5601,0.26011,0.28341
1985,West,female,Not employed: registered unemployed,0.03220,223,5601,0.02757,0.03682
1985,West,female,Not employed: no further information,0.24762,1651,5601,0.23632,0.25893
1986,West,male,Self-employed,0.07131,341,5219,0.06433,0.07829
1986,West,male,Blue-collar worker,0.28979,1992,5219,0.27748,0.30210
1986,West,male,Civil servant,0.07839,355,5219,0.07109,0.08568
1986,West,male,White-collar worker,0.19796,899,5219,0.18715,0.20877
1986,West,male,Apprentice/ Trainee/ Intern,0.11240,628,5219,0.10383,0.12097
1986,West,male,Not employed: Pensioner,0.19074,655,5219,0.18008,0.20140
