year,pgisced97,quintil_oecd,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,1st Quintile,Apprentice/ Trainee/ Intern,0.91144,35,35,0.81594,1.00694
1984,Pre-primary Level,2nd Quintile,Apprentice/ Trainee/ Intern,0.94873,47,47,0.88500,1.01247
1984,Pre-primary Level,4th Quintile,Apprentice/ Trainee/ Intern,0.94698,42,42,0.87839,1.01557
1984,Primary Level,1st Quintile,Blue-collar worker,0.23753,118,317,0.19061,0.28445
1984,Primary Level,1st Quintile,Not employed: registered unemployed,0.14165,31,317,0.10320,0.18010
1984,Primary Level,1st Quintile,Not employed: no further information,0.45022,168,317,0.39536,0.50507
1984,Primary Level,2nd Quintile,Blue-collar worker,0.45836,121,196,0.38842,0.52829
1984,Primary Level,2nd Quintile,Not employed: no further information,0.24596,75,196,0.18552,0.30641
1984,Primary Level,3rd Quintile,Blue-collar worker,0.61432,110,110,0.52294,0.70570
1984,Primary Level,4th Quintile,Blue-collar worker,0.63687,124,124,0.55188,0.72186
1984,Primary Level,5th Quintile,Blue-collar worker,0.68515,66,66,0.57224,0.79807
1984,Lower Secondary Level,1st Quintile,Blue-collar worker,0.10702,200,910,0.08692,0.12712
1984,Lower Secondary Level,1st Quintile,Apprentice/ Trainee/ Intern,0.11703,121,910,0.09614,0.13793
1984,Lower Secondary Level,1st Quintile,Not employed: Pensioner,0.41812,223,910,0.38605,0.45018
1984,Lower Secondary Level,1st Quintile,Not employed: registered unemployed,0.04648,54,910,0.03280,0.06017
1984,Lower Secondary Level,1st Quintile,Not employed: no further information,0.27967,312,910,0.25049,0.30885
1984,Lower Secondary Level,2nd Quintile,Blue-collar worker,0.20842,244,776,0.17982,0.23702
1984,Lower Secondary Level,2nd Quintile,White-collar worker,0.05036,37,776,0.03496,0.06576
1984,Lower Secondary Level,2nd Quintile,Apprentice/ Trainee/ Intern,0.13390,127,776,0.10993,0.15788
1984,Lower Secondary Level,2nd Quintile,Not employed: Pensioner,0.32916,170,776,0.29608,0.36224
1984,Lower Secondary Level,2nd Quintile,Not employed: no further information,0.22953,198,776,0.19992,0.25914
1984,Lower Secondary Level,3rd Quintile,Blue-collar worker,0.24682,244,677,0.21432,0.27933
1984,Lower Secondary Level,3rd Quintile,White-collar worker,0.05891,39,677,0.04116,0.07666
1984,Lower Secondary Level,3rd Quintile,Apprentice/ Trainee/ Intern,0.16909,121,677,0.14083,0.19734
1984,Lower Secondary Level,3rd Quintile,Not employed: Pensioner,0.26001,123,677,0.22695,0.29308
1984,Lower Secondary Level,3rd Quintile,Not employed: no further information,0.22616,150,677,0.19463,0.25770
1984,Lower Secondary Level,4th Quintile,Blue-collar worker,0.26532,221,546,0.22825,0.30238
1984,Lower Secondary Level,4th Quintile,White-collar worker,0.09015,46,546,0.06610,0.11419
1984,Lower Secondary Level,4th Quintile,Apprentice/ Trainee/ Intern,0.16348,99,546,0.13243,0.19452
1984,Lower Secondary Level,4th Quintile,Not employed: Pensioner,0.23032,88,546,0.19497,0.26567
1984,Lower Secondary Level,4th Quintile,Not employed: no further information,0.17699,92,546,0.14495,0.20903
1984,Lower Secondary Level,5th Quintile,Blue-collar worker,0.21935,122,345,0.17562,0.26308
1984,Lower Secondary Level,5th Quintile,White-collar worker,0.13421,50,345,0.09819,0.17023
1984,Lower Secondary Level,5th Quintile,Apprentice/ Trainee/ Intern,0.16511,56,345,0.12588,0.20435
1984,Lower Secondary Level,5th Quintile,Not employed: Pensioner,0.19478,55,345,0.15293,0.23663
1984,Lower Secondary Level,5th Quintile,Not employed: no further information,0.18590,62,345,0.14479,0.22701
1984,Upper Secondary Level,1st Quintile,Self-employed,0.03524,31,901,0.02319,0.04728
1984,Upper Secondary Level,1st Quintile,Blue-collar worker,0.21467,258,901,0.18784,0.24150
1984,Upper Secondary Level,1st Quintile,White-collar worker,0.09634,80,901,0.07707,0.11562
1984,Upper Secondary Level,1st Quintile,Apprentice/ Trainee/ Intern,0.09092,92,901,0.07214,0.10970
1984,Upper Secondary Level,1st Quintile,Not employed: Pensioner,0.30878,181,901,0.27860,0.33897
1984,Upper Secondary Level,1st Quintile,Not employed: registered unemployed,0.06138,73,901,0.04570,0.07706
1984,Upper Secondary Level,1st Quintile,Not employed: no further information,0.18105,186,901,0.15589,0.20621
1984,Upper Secondary Level,2nd Quintile,Blue-collar worker,0.25440,341,1064,0.22822,0.28058
1984,Upper Secondary Level,2nd Quintile,Civil servant,0.03209,33,1064,0.02150,0.04269
1984,Upper Secondary Level,2nd Quintile,White-collar worker,0.17983,190,1064,0.15674,0.20292
1984,Upper Secondary Level,2nd Quintile,Apprentice/ Trainee/ Intern,0.05631,73,1064,0.04245,0.07016
1984,Upper Secondary Level,2nd Quintile,Not employed: Pensioner,0.23445,175,1064,0.20898,0.25991
1984,Upper Secondary Level,2nd Quintile,Not employed: registered unemployed,0.03614,44,1064,0.02492,0.04736
1984,Upper Secondary Level,2nd Quintile,Not employed: no further information,0.17230,208,1064,0.14960,0.19501
1984,Upper Secondary Level,3rd Quintile,Blue-collar worker,0.25411,357,1122,0.22862,0.27959
1984,Upper Secondary Level,3rd Quintile,Civil servant,0.03701,41,1122,0.02596,0.04806
1984,Upper Secondary Level,3rd Quintile,White-collar worker,0.22817,264,1122,0.20361,0.25274
1984,Upper Secondary Level,3rd Quintile,Apprentice/ Trainee/ Intern,0.03884,54,1122,0.02753,0.05015
1984,Upper Secondary Level,3rd Quintile,Not employed: Pensioner,0.21668,184,1122,0.19256,0.24080
1984,Upper Secondary Level,3rd Quintile,Not employed: registered unemployed,0.03816,47,1122,0.02694,0.04937
1984,Upper Secondary Level,3rd Quintile,Not employed: no further information,0.14868,175,1122,0.12786,0.16951
1984,Upper Secondary Level,4th Quintile,Self-employed,0.04800,62,1279,0.03628,0.05972
