year,quintil_oecd,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Self-employed,0.02343,41,1716,0.01627,0.03059
1985,1st Quintile,Urban regions,Blue-collar worker,0.12727,454,1716,0.11150,0.14304
1985,1st Quintile,Urban regions,White-collar worker,0.06916,127,1716,0.05715,0.08117
1985,1st Quintile,Urban regions,Apprentice/ Trainee/ Intern,0.10032,228,1716,0.08610,0.11454
1985,1st Quintile,Urban regions,Not employed: Pensioner,0.22473,256,1716,0.20498,0.24449
1985,1st Quintile,Urban regions,Not employed: registered unemployed,0.07082,167,1716,0.05868,0.08297
1985,1st Quintile,Urban regions,Not employed: no further information,0.14796,443,1716,0.13116,0.16477
1985,1st Quintile,Rural regions,Blue-collar worker,0.11512,120,496,0.08700,0.14324
1985,1st Quintile,Rural regions,White-collar worker,0.05980,42,496,0.03891,0.08069
1985,1st Quintile,Rural regions,Apprentice/ Trainee/ Intern,0.08278,56,496,0.05850,0.10705
1985,1st Quintile,Rural regions,Not employed: Pensioner,0.28360,116,496,0.24389,0.32331
1985,1st Quintile,Rural regions,Not employed: registered unemployed,0.06993,51,496,0.04746,0.09239
1985,1st Quintile,Rural regions,Not employed: no further information,0.13241,111,496,0.10255,0.16227
1985,2nd Quintile,Urban regions,Self-employed,0.02112,46,1651,0.01418,0.02806
1985,2nd Quintile,Urban regions,Blue-collar worker,0.16680,509,1651,0.14881,0.18479
1985,2nd Quintile,Urban regions,Civil servant,0.01761,31,1651,0.01126,0.02395
1985,2nd Quintile,Urban regions,White-collar worker,0.10384,190,1651,0.08912,0.11856
1985,2nd Quintile,Urban regions,Apprentice/ Trainee/ Intern,0.08435,183,1651,0.07094,0.09775
1985,2nd Quintile,Urban regions,Not employed: Pensioner,0.24116,280,1651,0.22051,0.26180
1985,2nd Quintile,Urban regions,Not employed: registered unemployed,0.03397,85,1651,0.02523,0.04272
1985,2nd Quintile,Urban regions,Not employed: no further information,0.13506,327,1651,0.11857,0.15155
1985,2nd Quintile,Rural regions,Blue-collar worker,0.15879,120,421,0.12383,0.19374
1985,2nd Quintile,Rural regions,White-collar worker,0.09596,65,421,0.06779,0.12412
1985,2nd Quintile,Rural regions,Apprentice/ Trainee/ Intern,0.05811,40,421,0.03573,0.08048
1985,2nd Quintile,Rural regions,Not employed: Pensioner,0.18120,84,421,0.14436,0.21804
1985,2nd Quintile,Rural regions,Not employed: no further information,0.15917,112,421,0.12418,0.19416
1985,3rd Quintile,Urban regions,Self-employed,0.02506,51,1718,0.01767,0.03245
1985,3rd Quintile,Urban regions,Blue-collar worker,0.20130,595,1718,0.18234,0.22027
1985,3rd Quintile,Urban regions,Civil servant,0.02844,51,1718,0.02058,0.03631
1985,3rd Quintile,Urban regions,White-collar worker,0.15749,288,1718,0.14026,0.17472
1985,3rd Quintile,Urban regions,Apprentice/ Trainee/ Intern,0.09211,189,1718,0.07844,0.10579
1985,3rd Quintile,Urban regions,Not employed: Pensioner,0.19779,252,1718,0.17894,0.21663
1985,3rd Quintile,Urban regions,Not employed: registered unemployed,0.02550,62,1718,0.01804,0.03295
1985,3rd Quintile,Urban regions,Not employed: no further information,0.11025,230,1718,0.09543,0.12506
1985,3rd Quintile,Rural regions,Blue-collar worker,0.16161,110,406,0.12576,0.19746
1985,3rd Quintile,Rural regions,White-collar worker,0.15129,90,406,0.11639,0.18618
1985,3rd Quintile,Rural regions,Apprentice/ Trainee/ Intern,0.09774,57,406,0.06882,0.12666
1985,3rd Quintile,Rural regions,Not employed: Pensioner,0.19488,82,406,0.15630,0.23346
1985,3rd Quintile,Rural regions,Not employed: no further information,0.11225,67,406,0.08150,0.14299
1985,4th Quintile,Urban regions,Self-employed,0.03748,81,1803,0.02871,0.04625
1985,4th Quintile,Urban regions,Blue-collar worker,0.19109,522,1803,0.17293,0.20924
1985,4th Quintile,Urban regions,Civil servant,0.05074,98,1803,0.04061,0.06088
1985,4th Quintile,Urban regions,White-collar worker,0.24687,480,1803,0.22696,0.26678
1985,4th Quintile,Urban regions,Apprentice/ Trainee/ Intern,0.07252,159,1803,0.06055,0.08450
1985,4th Quintile,Urban regions,Not employed: Pensioner,0.15768,215,1803,0.14085,0.17451
1985,4th Quintile,Urban regions,Not employed: registered unemployed,0.01488,37,1803,0.00929,0.02047
1985,4th Quintile,Urban regions,Not employed: no further information,0.10170,211,1803,0.08774,0.11565
1985,4th Quintile,Rural regions,Blue-collar worker,0.18781,114,330,0.14561,0.23001
1985,4th Quintile,Rural regions,White-collar worker,0.19354,88,330,0.15085,0.23623
1985,4th Quintile,Rural regions,Apprentice/ Trainee/ Intern,0.07367,34,330,0.04544,0.10189
1985,4th Quintile,Rural regions,Not employed: Pensioner,0.17881,58,330,0.13741,0.22022
1985,4th Quintile,Rural regions,Not employed: no further information,0.07531,36,330,0.04679,0.10382
1985,5th Quintile,Urban regions,Self-employed,0.08360,174,1708,0.07047,0.09673
1985,5th Quintile,Urban regions,Blue-collar worker,0.12573,316,1708,0.11000,0.14146
1985,5th Quintile,Urban regions,Civil servant,0.08409,155,1708,0.07093,0.09726
1985,5th Quintile,Urban regions,White-collar worker,0.32321,607,1708,0.30102,0.34540
1985,5th Quintile,Urban regions,Apprentice/ Trainee/ Intern,0.05325,108,1708,0.04260,0.06390
1985,5th Quintile,Urban regions,Not employed: Pensioner,0.13988,200,1708,0.12343,0.15634
1985,5th Quintile,Urban regions,Not employed: no further information,0.07625,148,1708,0.06366,0.08884
1985,5th Quintile,Rural regions,Self-employed,0.12763,62,401,0.09493,0.16033
1985,5th Quintile,Rural regions,Blue-collar worker,0.12852,80,401,0.09572,0.16131
1985,5th Quintile,Rural regions,Civil servant,0.11804,53,401,0.08642,0.14966
1985,5th Quintile,Rural regions,White-collar worker,0.22099,108,401,0.18033,0.26166
1985,5th Quintile,Rural regions,Apprentice/ Trainee/ Intern,0.08357,39,401,0.05645,0.11069
1985,5th Quintile,Rural regions,Not employed: Pensioner,0.16327,59,401,0.12705,0.19950
1986,1st Quintile,Urban regions,Self-employed,0.01682,35,1607,0.01053,0.02311
1986,1st Quintile,Urban regions,Blue-collar worker,0.12302,408,1607,0.10696,0.13908
1986,1st Quintile,Urban regions,White-collar worker,0.05473,100,1607,0.04361,0.06585
1986,1st Quintile,Urban regions,Apprentice/ Trainee/ Intern,0.09880,225,1607,0.08421,0.11339
1986,1st Quintile,Urban regions,Not employed: Pensioner,0.26827,298,1607,0.24660,0.28994
1986,1st Quintile,Urban regions,Not employed: registered unemployed,0.06382,154,1607,0.05186,0.07577
1986,1st Quintile,Urban regions,Not employed: no further information,0.14650,387,1607,0.12920,0.16379
1986,1st Quintile,Rural regions,Blue-collar worker,0.10708,96,395,0.07655,0.13762
1986,1st Quintile,Rural regions,Apprentice/ Trainee/ Intern,0.07306,48,395,0.04736,0.09876
1986,1st Quintile,Rural regions,Not employed: Pensioner,0.28390,102,395,0.23938,0.32842
1986,1st Quintile,Rural regions,Not employed: registered unemployed,0.08110,50,395,0.05414,0.10805
