year,age_gr,migback,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Self-employed,0.01837,46,2336,0.01292,0.02381
1984,17-29 y.,No migration background,Blue-collar worker,0.20099,462,2336,0.18474,0.21724
1984,17-29 y.,No migration background,Civil servant,0.04019,99,2336,0.03222,0.04815
1984,17-29 y.,No migration background,White-collar worker,0.22073,529,2336,0.20391,0.23756
1984,17-29 y.,No migration background,Apprentice/ Trainee/ Intern,0.36146,829,2336,0.34197,0.38095
1984,17-29 y.,No migration background,Not employed: Military/Community Service,0.01434,31,2336,0.00952,0.01916
1984,17-29 y.,No migration background,Not employed: registered unemployed,0.05614,123,2336,0.04680,0.06548
1984,17-29 y.,No migration background,Not employed: no further information,0.08614,217,2336,0.07476,0.09752
1984,17-29 y.,Direct migration background,Blue-collar worker,0.36205,389,959,0.33162,0.39248
1984,17-29 y.,Direct migration background,White-collar worker,0.08843,65,959,0.07045,0.10641
1984,17-29 y.,Direct migration background,Apprentice/ Trainee/ Intern,0.23047,220,959,0.20380,0.25714
1984,17-29 y.,Direct migration background,Not employed: registered unemployed,0.07609,72,959,0.05930,0.09288
1984,17-29 y.,Direct migration background,Not employed: no further information,0.19618,213,959,0.17104,0.22133
1984,17-29 y.,Indirect migration background,Apprentice/ Trainee/ Intern,0.52168,56,56,0.38966,0.65369
1984,30-45 y.,No migration background,Self-employed,0.07975,200,2448,0.06902,0.09048
1984,30-45 y.,No migration background,Blue-collar worker,0.22587,543,2448,0.20930,0.24244
1984,30-45 y.,No migration background,Civil servant,0.09437,231,2448,0.08279,0.10595
1984,30-45 y.,No migration background,White-collar worker,0.34993,873,2448,0.33103,0.36883
1984,30-45 y.,No migration background,Not employed: registered unemployed,0.02672,65,2448,0.02033,0.03311
1984,30-45 y.,No migration background,Not employed: no further information,0.20561,536,2448,0.18960,0.22163
1984,30-45 y.,Direct migration background,Self-employed,0.04990,63,1355,0.03830,0.06150
1984,30-45 y.,Direct migration background,Blue-collar worker,0.50813,849,1355,0.48150,0.53476
