year,bula_h,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Blue-collar worker,0.16524,77,322,0.12461,0.20587
1984,Schleswig-Holstein,No answer / don't know,White-collar worker,0.25030,95,322,0.20291,0.29769
1984,Schleswig-Holstein,No answer / don't know,Apprentice/ Trainee/ Intern,0.07546,33,322,0.04657,0.10436
1984,Schleswig-Holstein,No answer / don't know,Not employed: Pensioner,0.21234,61,322,0.16760,0.25707
1984,Schleswig-Holstein,No answer / don't know,Not employed: no further information,0.13063,56,322,0.09377,0.16750
1984,Hamburg,No answer / don't know,Blue-collar worker,0.10539,66,253,0.06747,0.14330
1984,Hamburg,No answer / don't know,White-collar worker,0.29086,82,253,0.23479,0.34693
1984,Hamburg,No answer / don't know,Not employed: Pensioner,0.31996,63,253,0.26237,0.37756
1984,Hamburg,No answer / don't know,Not employed: no further information,0.11035,42,253,0.07166,0.14904
1984,Lower Saxony,No answer / don't know,Self-employed,0.05972,77,1230,0.04647,0.07297
1984,Lower Saxony,No answer / don't know,Blue-collar worker,0.17562,267,1230,0.15435,0.19689
1984,Lower Saxony,No answer / don't know,Civil servant,0.04679,56,1230,0.03498,0.05860
1984,Lower Saxony,No answer / don't know,White-collar worker,0.17444,212,1230,0.15322,0.19566
1984,Lower Saxony,No answer / don't know,Apprentice/ Trainee/ Intern,0.11828,155,1230,0.10023,0.13634
1984,Lower Saxony,No answer / don't know,Not employed: Pensioner,0.24017,209,1230,0.21628,0.26405
1984,Lower Saxony,No answer / don't know,Not employed: registered unemployed,0.03340,48,1230,0.02335,0.04344
1984,Lower Saxony,No answer / don't know,Not employed: no further information,0.15069,206,1230,0.13069,0.17069
1984,Bremen,No answer / don't know,Not employed: Pensioner,0.47634,45,45,0.32876,0.62391
1984,North Rhine-Westphalia,No answer / don't know,Self-employed,0.04484,151,3241,0.03771,0.05197
1984,North Rhine-Westphalia,No answer / don't know,Blue-collar worker,0.19192,856,3241,0.17836,0.20548
1984,North Rhine-Westphalia,No answer / don't know,Civil servant,0.04784,136,3241,0.04049,0.05519
