year,age_gr,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97686,183,183,0.95501,0.99870
1984,17-29 y.,Primary Level,Blue-collar worker,0.29938,70,172,0.23074,0.36803
1984,17-29 y.,Primary Level,Apprentice/ Trainee/ Intern,0.24385,36,172,0.17949,0.30821
1984,17-29 y.,Primary Level,Not employed: no further information,0.24099,66,172,0.17689,0.30510
1984,17-29 y.,Lower Secondary Level,Blue-collar worker,0.16140,247,1020,0.13881,0.18398
1984,17-29 y.,Lower Secondary Level,White-collar worker,0.06064,56,1020,0.04599,0.07530
1984,17-29 y.,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.60576,520,1020,0.57575,0.63576
1984,17-29 y.,Lower Secondary Level,Not employed: registered unemployed,0.05059,52,1020,0.03713,0.06405
1984,17-29 y.,Lower Secondary Level,Not employed: no further information,0.09597,145,1020,0.07788,0.11405
1984,17-29 y.,Upper Secondary Level,Self-employed,0.01969,34,1570,0.01282,0.02657
1984,17-29 y.,Upper Secondary Level,Blue-collar worker,0.28815,489,1570,0.26574,0.31056
1984,17-29 y.,Upper Secondary Level,Civil servant,0.04484,64,1570,0.03460,0.05508
1984,17-29 y.,Upper Secondary Level,White-collar worker,0.26905,387,1570,0.24711,0.29099
1984,17-29 y.,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.18780,301,1570,0.16848,0.20713
1984,17-29 y.,Upper Secondary Level,Not employed: registered unemployed,0.06577,108,1570,0.05351,0.07804
1984,17-29 y.,Upper Secondary Level,Not employed: no further information,0.10199,187,1570,0.08702,0.11697
1984,17-29 y.,Post-secondary Non-tertiary Level,White-collar worker,0.42558,45,77,0.31442,0.53675
1984,17-29 y.,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.26191,32,77,0.16306,0.36076
1984,17-29 y.,First Stage of Tertiary Education,White-collar worker,0.43526,57,57,0.30540,0.56512
1984,17-29 y.,Second Stage of Tertiary Education,White-collar worker,0.42282,52,52,0.28723,0.55840
1984,30-45 y.,Primary Level,Blue-collar worker,0.58158,241,368,0.53111,0.63205
1984,30-45 y.,Primary Level,Not employed: no further information,0.33822,127,368,0.28982,0.38663
1984,30-45 y.,Lower Secondary Level,Self-employed,0.04481,32,764,0.03013,0.05949
1984,30-45 y.,Lower Secondary Level,Blue-collar worker,0.43514,430,764,0.39997,0.47032
1984,30-45 y.,Lower Secondary Level,White-collar worker,0.09075,49,764,0.07036,0.11113
1984,30-45 y.,Lower Secondary Level,Not employed: no further information,0.37199,253,764,0.33770,0.40629
1984,30-45 y.,Upper Secondary Level,Self-employed,0.07328,138,1911,0.06159,0.08497
1984,30-45 y.,Upper Secondary Level,Blue-collar worker,0.27299,633,1911,0.25301,0.29297
1984,30-45 y.,Upper Secondary Level,Civil servant,0.05798,93,1911,0.04750,0.06846
1984,30-45 y.,Upper Secondary Level,White-collar worker,0.35097,607,1911,0.32956,0.37237
1984,30-45 y.,Upper Secondary Level,Not employed: registered unemployed,0.03250,67,1911,0.02455,0.04045
1984,30-45 y.,Upper Secondary Level,Not employed: no further information,0.19423,373,1911,0.17649,0.21197
1984,30-45 y.,Post-secondary Non-tertiary Level,Blue-collar worker,0.23191,42,76,0.13639,0.32743
1984,30-45 y.,Post-secondary Non-tertiary Level,White-collar worker,0.50146,34,76,0.38830,0.61462
1984,30-45 y.,First Stage of Tertiary Education,Self-employed,0.12781,33,192,0.08046,0.17516
1984,30-45 y.,First Stage of Tertiary Education,White-collar worker,0.49868,123,192,0.42777,0.56959
1984,30-45 y.,First Stage of Tertiary Education,Not employed: no further information,0.14155,36,192,0.09211,0.19098
1984,30-45 y.,Second Stage of Tertiary Education,Self-employed,0.11273,48,332,0.07866,0.14680
1984,30-45 y.,Second Stage of Tertiary Education,Civil servant,0.35931,133,332,0.30762,0.41100
1984,30-45 y.,Second Stage of Tertiary Education,White-collar worker,0.42267,151,332,0.36945,0.47589
1984,46-65 y.,Primary Level,Blue-collar worker,0.53631,228,322,0.48176,0.59087
1984,46-65 y.,Primary Level,Not employed: no further information,0.28073,94,322,0.23157,0.32989
1984,46-65 y.,Lower Secondary Level,Self-employed,0.04768,51,1076,0.03494,0.06041
1984,46-65 y.,Lower Secondary Level,Blue-collar worker,0.25575,347,1076,0.22967,0.28183
1984,46-65 y.,Lower Secondary Level,White-collar worker,0.07999,76,1076,0.06378,0.09621
1984,46-65 y.,Lower Secondary Level,Not employed: Pensioner,0.23829,213,1076,0.21283,0.26376
1984,46-65 y.,Lower Secondary Level,Not employed: registered unemployed,0.02490,32,1076,0.01559,0.03422
1984,46-65 y.,Lower Secondary Level,Not employed: no further information,0.34613,357,1076,0.31769,0.37457
1984,46-65 y.,Upper Secondary Level,Self-employed,0.06703,100,1577,0.05468,0.07938
1984,46-65 y.,Upper Secondary Level,Blue-collar worker,0.25362,483,1577,0.23214,0.27510
1984,46-65 y.,Upper Secondary Level,Civil servant,0.04282,65,1577,0.03282,0.05281
1984,46-65 y.,Upper Secondary Level,White-collar worker,0.22651,337,1577,0.20585,0.24718
1984,46-65 y.,Upper Secondary Level,Not employed: Pensioner,0.22710,309,1577,0.20641,0.24778
1984,46-65 y.,Upper Secondary Level,Not employed: registered unemployed,0.02021,39,1577,0.01326,0.02715
1984,46-65 y.,Upper Secondary Level,Not employed: no further information,0.15888,244,1577,0.14084,0.17693
1984,46-65 y.,First Stage of Tertiary Education,Self-employed,0.15876,32,153,0.10066,0.21686
1984,46-65 y.,First Stage of Tertiary Education,White-collar worker,0.37384,80,153,0.29693,0.45076
1984,46-65 y.,First Stage of Tertiary Education,Not employed: Pensioner,0.22805,41,153,0.16135,0.29475
1984,46-65 y.,Second Stage of Tertiary Education,Self-employed,0.13978,31,174,0.08810,0.19145
1984,46-65 y.,Second Stage of Tertiary Education,Civil servant,0.25468,55,174,0.18975,0.31960
1984,46-65 y.,Second Stage of Tertiary Education,White-collar worker,0.39925,88,174,0.32627,0.47223
1984,66 and older,Lower Secondary Level,Not employed: Pensioner,0.86847,439,501,0.83885,0.89810
1984,66 and older,Lower Secondary Level,Not employed: no further information,0.10796,62,501,0.08076,0.13517
1984,66 and older,Upper Secondary Level,Not employed: Pensioner,0.91098,515,550,0.88715,0.93480
1984,66 and older,Upper Secondary Level,Not employed: no further information,0.05565,35,550,0.03647,0.07482
1984,66 and older,First Stage of Tertiary Education,Not employed: Pensioner,0.89142,72,72,0.81905,0.96379
