year,bula_h,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Blue-collar worker,0.26745,57,100,0.18026,0.35464
1984,Schleswig-Holstein,male,White-collar worker,0.24098,43,100,0.15673,0.32523
1984,Schleswig-Holstein,female,White-collar worker,0.25877,52,144,0.18699,0.33056
1984,Schleswig-Holstein,female,Not employed: Pensioner,0.25438,36,144,0.18300,0.32576
1984,Schleswig-Holstein,female,Not employed: no further information,0.24944,56,144,0.17852,0.32036
1984,Hamburg,male,Blue-collar worker,0.16998,45,84,0.08917,0.25079
1984,Hamburg,male,White-collar worker,0.28971,39,84,0.19212,0.38730
1984,Hamburg,female,White-collar worker,0.29185,43,118,0.20948,0.37423
1984,Hamburg,female,Not employed: Pensioner,0.35857,37,118,0.27167,0.44547
1984,Hamburg,female,Not employed: no further information,0.18172,38,118,0.11184,0.25159
1984,Lower Saxony,male,Self-employed,0.08930,52,590,0.06627,0.11233
1984,Lower Saxony,male,Blue-collar worker,0.27734,196,590,0.24119,0.31350
1984,Lower Saxony,male,Civil servant,0.08488,47,590,0.06237,0.10739
1984,Lower Saxony,male,White-collar worker,0.18355,104,590,0.15229,0.21481
1984,Lower Saxony,male,Apprentice/ Trainee/ Intern,0.12503,79,590,0.09831,0.15174
1984,Lower Saxony,male,Not employed: Pensioner,0.18560,81,590,0.15420,0.21700
1984,Lower Saxony,male,Not employed: registered unemployed,0.04603,31,590,0.02911,0.06295
1984,Lower Saxony,female,Blue-collar worker,0.08823,71,582,0.06517,0.11129
1984,Lower Saxony,female,White-collar worker,0.16661,108,582,0.13631,0.19691
1984,Lower Saxony,female,Apprentice/ Trainee/ Intern,0.11249,76,582,0.08680,0.13818
1984,Lower Saxony,female,Not employed: Pensioner,0.28704,128,582,0.25026,0.32383
1984,Lower Saxony,female,Not employed: no further information,0.27471,199,582,0.23841,0.31100
1984,North Rhine-Westphalia,male,Self-employed,0.06634,106,1561,0.05399,0.07869
1984,North Rhine-Westphalia,male,Blue-collar worker,0.32166,653,1561,0.29848,0.34484
1984,North Rhine-Westphalia,male,Civil servant,0.07629,102,1561,0.06311,0.08946
1984,North Rhine-Westphalia,male,White-collar worker,0.20028,269,1561,0.18042,0.22014
1984,North Rhine-Westphalia,male,Apprentice/ Trainee/ Intern,0.11421,193,1561,0.09843,0.13000
1984,North Rhine-Westphalia,male,Not employed: Pensioner,0.16181,169,1561,0.14353,0.18008
1984,North Rhine-Westphalia,male,Not employed: registered unemployed,0.03697,69,1561,0.02761,0.04633
1984,North Rhine-Westphalia,female,Self-employed,0.02566,45,1651,0.01803,0.03329
1984,North Rhine-Westphalia,female,Blue-collar worker,0.07618,203,1651,0.06338,0.08898
1984,North Rhine-Westphalia,female,Civil servant,0.02247,34,1651,0.01532,0.02962
1984,North Rhine-Westphalia,female,White-collar worker,0.19484,298,1651,0.17572,0.21395
1984,North Rhine-Westphalia,female,Apprentice/ Trainee/ Intern,0.08322,150,1651,0.06989,0.09655
1984,North Rhine-Westphalia,female,Not employed: Pensioner,0.24379,239,1651,0.22307,0.26451
1984,North Rhine-Westphalia,female,Not employed: registered unemployed,0.03257,65,1651,0.02400,0.04113
1984,North Rhine-Westphalia,female,Not employed: no further information,0.32128,617,1651,0.29874,0.34381
1984,Hesse,male,Self-employed,0.06440,38,575,0.04432,0.08448
1984,Hesse,male,Blue-collar worker,0.27278,250,575,0.23634,0.30921
1984,Hesse,male,Civil servant,0.07655,35,575,0.05480,0.09830
1984,Hesse,male,White-collar worker,0.21721,114,575,0.18348,0.25095
1984,Hesse,male,Apprentice/ Trainee/ Intern,0.10333,63,575,0.07843,0.12824
1984,Hesse,male,Not employed: Pensioner,0.20006,75,575,0.16733,0.23279
