year,age_gr,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Self-employed,0.01882,71,3421,0.01427,0.02338
1984,17-29 y.,West,Blue-collar worker,0.21563,863,3421,0.20185,0.22942
1984,17-29 y.,West,Civil servant,0.03743,106,3421,0.03107,0.04379
1984,17-29 y.,West,White-collar worker,0.20664,604,3421,0.19307,0.22021
1984,17-29 y.,West,Apprentice/ Trainee/ Intern,0.34890,1105,3421,0.33293,0.36488
1984,17-29 y.,West,Not employed: Military/Community Service,0.01374,35,3421,0.00984,0.01764
1984,17-29 y.,West,Not employed: registered unemployed,0.05762,199,3421,0.04981,0.06543
1984,17-29 y.,West,Not employed: no further information,0.09641,438,3421,0.08652,0.10630
1984,30-45 y.,West,Self-employed,0.07583,267,3870,0.06749,0.08417
1984,30-45 y.,West,Blue-collar worker,0.26367,1397,3870,0.24978,0.27755
1984,30-45 y.,West,Civil servant,0.08350,246,3870,0.07478,0.09221
1984,30-45 y.,West,White-collar worker,0.31992,969,3870,0.30522,0.33462
1984,30-45 y.,West,Apprentice/ Trainee/ Intern,0.00945,33,3870,0.00640,0.01250
1984,30-45 y.,West,Not employed: registered unemployed,0.03097,127,3870,0.02551,0.03643
1984,30-45 y.,West,Not employed: no further information,0.20589,831,3870,0.19314,0.21863
1984,46-65 y.,West,Self-employed,0.07462,237,3546,0.06597,0.08327
1984,46-65 y.,West,Blue-collar worker,0.22679,1097,3546,0.21301,0.24058
1984,46-65 y.,West,Civil servant,0.04609,140,3546,0.03918,0.05299
1984,46-65 y.,West,White-collar worker,0.19973,611,3546,0.18656,0.21289
1984,46-65 y.,West,Not employed: Pensioner,0.22030,622,3546,0.20666,0.23395
1984,46-65 y.,West,Not employed: registered unemployed,0.02227,107,3546,0.01741,0.02713
1984,46-65 y.,West,Not employed: no further information,0.20759,732,3546,0.19424,0.22094
1984,66 and older,West,Not employed: Pensioner,0.89028,1109,1214,0.87270,0.90787
1984,66 and older,West,Not employed: no further information,0.07391,105,1214,0.05918,0.08863
1985,17-29 y.,West,Self-employed,0.02240,71,3130,0.01721,0.02758
1985,17-29 y.,West,Blue-collar worker,0.21948,800,3130,0.20498,0.23399
1985,17-29 y.,West,Civil servant,0.03672,94,3130,0.03013,0.04331
1985,17-29 y.,West,White-collar worker,0.20525,539,3130,0.19110,0.21941
1985,17-29 y.,West,Apprentice/ Trainee/ Intern,0.36781,1071,3130,0.35092,0.38471
1985,17-29 y.,West,Not employed: Military/Community Service,0.01466,39,3130,0.01045,0.01887
1985,17-29 y.,West,Not employed: registered unemployed,0.05799,195,3130,0.04980,0.06618
1985,17-29 y.,West,Not employed: no further information,0.07384,321,3130,0.06468,0.08301
1985,30-45 y.,West,Self-employed,0.07347,228,3417,0.06472,0.08222
1985,30-45 y.,West,Blue-collar worker,0.25156,1169,3417,0.23701,0.26611
1985,30-45 y.,West,Civil servant,0.08379,227,3417,0.07450,0.09308
1985,30-45 y.,West,White-collar worker,0.34017,939,3417,0.32428,0.35605
1985,30-45 y.,West,Not employed: registered unemployed,0.04989,168,3417,0.04259,0.05719
1985,30-45 y.,West,Not employed: no further information,0.18191,686,3417,0.16898,0.19485
1985,46-65 y.,West,Self-employed,0.07619,229,3300,0.06713,0.08524
1985,46-65 y.,West,Blue-collar worker,0.21622,963,3300,0.20217,0.23026
1985,46-65 y.,West,Civil servant,0.05037,145,3300,0.04291,0.05783
1985,46-65 y.,West,White-collar worker,0.20668,602,3300,0.19286,0.22050
1985,46-65 y.,West,Not employed: Pensioner,0.22445,588,3300,0.21022,0.23869
1985,46-65 y.,West,Not employed: registered unemployed,0.03708,140,3300,0.03063,0.04353
1985,46-65 y.,West,Not employed: no further information,0.18791,633,3300,0.17458,0.20124
1985,66 and older,West,Not employed: Pensioner,0.90708,985,1059,0.88958,0.92457
1985,66 and older,West,Not employed: no further information,0.05709,74,1059,0.04310,0.07107
1986,17-29 y.,West,Self-employed,0.02334,64,3040,0.01797,0.02870
1986,17-29 y.,West,Blue-collar worker,0.22592,802,3040,0.21105,0.24078
1986,17-29 y.,West,Civil servant,0.03963,92,3040,0.03269,0.04656
