year,bula_h,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Blue-collar worker,0.13476,77,322,0.09741,0.17212
1984,Schleswig-Holstein,White-collar worker,0.20413,95,322,0.16004,0.24823
1984,Schleswig-Holstein,Apprentice/ Trainee/ Intern,0.06154,33,322,0.03525,0.08783
1984,Schleswig-Holstein,Not employed: Pensioner,0.17317,61,322,0.13178,0.21457
1984,Schleswig-Holstein,Not employed: no further information,0.10654,56,322,0.07279,0.14029
1984,Hamburg,Blue-collar worker,0.09433,66,253,0.05824,0.13042
1984,Hamburg,White-collar worker,0.26035,82,253,0.20616,0.31453
1984,Hamburg,Not employed: Pensioner,0.28640,63,253,0.23058,0.34221
1984,Hamburg,Not employed: no further information,0.09877,42,253,0.06194,0.13561
1984,Lower Saxony,Self-employed,0.04924,77,1230,0.03714,0.06133
1984,Lower Saxony,Blue-collar worker,0.14479,267,1230,0.12511,0.16446
1984,Lower Saxony,Civil servant,0.03858,56,1230,0.02781,0.04934
1984,Lower Saxony,White-collar worker,0.14381,212,1230,0.12419,0.16343
1984,Lower Saxony,Apprentice/ Trainee/ Intern,0.09752,155,1230,0.08093,0.11410
1984,Lower Saxony,Not employed: Pensioner,0.19800,209,1230,0.17572,0.22028
1984,Lower Saxony,Not employed: registered unemployed,0.02753,48,1230,0.01838,0.03668
1984,Lower Saxony,Not employed: no further information,0.12423,206,1230,0.10579,0.14268
1984,Bremen,Not employed: Pensioner,0.43328,45,45,0.28686,0.57970
1984,North Rhine-Westphalia,Self-employed,0.03659,151,3241,0.03013,0.04306
1984,North Rhine-Westphalia,Blue-collar worker,0.15662,856,3241,0.14411,0.16914
1984,North Rhine-Westphalia,Civil servant,0.03904,136,3241,0.03237,0.04571
1984,North Rhine-Westphalia,White-collar worker,0.16109,567,3241,0.14843,0.17375
1984,North Rhine-Westphalia,Apprentice/ Trainee/ Intern,0.07984,343,3241,0.07051,0.08917
1984,North Rhine-Westphalia,Not employed: Pensioner,0.16740,408,3241,0.15455,0.18026
1984,North Rhine-Westphalia,Not employed: registered unemployed,0.02827,134,3241,0.02256,0.03398
1984,North Rhine-Westphalia,Not employed: no further information,0.14365,646,3241,0.13158,0.15573
1984,Hesse,Self-employed,0.03934,54,1239,0.02851,0.05017
1984,Hesse,Blue-collar worker,0.16728,365,1239,0.14649,0.18807
1984,Hesse,Civil servant,0.03974,46,1239,0.02886,0.05062
1984,Hesse,White-collar worker,0.18134,233,1239,0.15988,0.20280
1984,Hesse,Apprentice/ Trainee/ Intern,0.07673,113,1239,0.06190,0.09156
1984,Hesse,Not employed: Pensioner,0.19757,174,1239,0.17539,0.21975
1984,Hesse,Not employed: registered unemployed,0.02252,52,1239,0.01425,0.03078
1984,Hesse,Not employed: no further information,0.11893,202,1239,0.10090,0.13697
1984,"Rhineland-Palatinate, Saarland",Self-employed,0.03735,38,819,0.02436,0.05035
1984,"Rhineland-Palatinate, Saarland",Blue-collar worker,0.17166,219,819,0.14581,0.19750
1984,"Rhineland-Palatinate, Saarland",Civil servant,0.03782,35,819,0.02475,0.05089
1984,"Rhineland-Palatinate, Saarland",White-collar worker,0.12738,122,819,0.10454,0.15023
1984,"Rhineland-Palatinate, Saarland",Apprentice/ Trainee/ Intern,0.07758,81,819,0.05925,0.09591
1984,"Rhineland-Palatinate, Saarland",Not employed: Pensioner,0.19759,150,819,0.17030,0.22488
1984,"Rhineland-Palatinate, Saarland",Not employed: no further information,0.16562,174,819,0.14014,0.19109
1984,Baden-Wuerttemberg,Self-employed,0.04120,103,2243,0.03297,0.04943
1984,Baden-Wuerttemberg,Blue-collar worker,0.19588,819,2243,0.17945,0.21231
1984,Baden-Wuerttemberg,Civil servant,0.03474,80,2243,0.02716,0.04233
1984,Baden-Wuerttemberg,White-collar worker,0.15895,355,2243,0.14381,0.17408
1984,Baden-Wuerttemberg,Apprentice/ Trainee/ Intern,0.06691,178,2243,0.05657,0.07726
1984,Baden-Wuerttemberg,Not employed: Pensioner,0.17640,287,2243,0.16063,0.19218
1984,Baden-Wuerttemberg,Not employed: registered unemployed,0.01044,47,2243,0.00623,0.01464
1984,Baden-Wuerttemberg,Not employed: no further information,0.11598,374,2243,0.10272,0.12923
1984,Bavaria,Self-employed,0.05196,119,2076,0.04241,0.06152
1984,Bavaria,Blue-collar worker,0.15917,544,2076,0.14343,0.17491
1984,Bavaria,Civil servant,0.04028,94,2076,0.03182,0.04874
1984,Bavaria,White-collar worker,0.17450,421,2076,0.15817,0.19084
1984,Bavaria,Apprentice/ Trainee/ Intern,0.06553,180,2076,0.05488,0.07617
1984,Bavaria,Not employed: Pensioner,0.17293,298,2076,0.15666,0.18920
1984,Bavaria,Not employed: registered unemployed,0.02295,72,2076,0.01651,0.02939
1984,Bavaria,Not employed: no further information,0.13336,348,2076,0.11873,0.14799
1984,Berlin,Blue-collar worker,0.18698,130,331,0.14491,0.22904
