year,migback,quintil_oecd,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Self-employed,0.02474,48,1422,0.01667,0.03282
1984,No migration background,1st Quintile,Blue-collar worker,0.10568,213,1422,0.08969,0.12166
1984,No migration background,1st Quintile,White-collar worker,0.05745,118,1422,0.04535,0.06955
1984,No migration background,1st Quintile,Apprentice/ Trainee/ Intern,0.09477,191,1422,0.07954,0.11000
1984,No migration background,1st Quintile,Not employed: Pensioner,0.29457,418,1422,0.27087,0.31828
1984,No migration background,1st Quintile,Not employed: registered unemployed,0.04177,82,1422,0.03136,0.05217
1984,No migration background,1st Quintile,Not employed: no further information,0.17279,352,1422,0.15313,0.19245
1984,No migration background,2nd Quintile,Self-employed,0.02144,46,1590,0.01431,0.02856
1984,No migration background,2nd Quintile,Blue-collar worker,0.16356,346,1590,0.14537,0.18175
1984,No migration background,2nd Quintile,Civil servant,0.01909,42,1590,0.01236,0.02582
1984,No migration background,2nd Quintile,White-collar worker,0.11428,243,1590,0.09864,0.12993
1984,No migration background,2nd Quintile,Apprentice/ Trainee/ Intern,0.08865,191,1590,0.07467,0.10263
1984,No migration background,2nd Quintile,Not employed: Pensioner,0.22358,347,1590,0.20310,0.24407
1984,No migration background,2nd Quintile,Not employed: registered unemployed,0.02244,44,1590,0.01515,0.02972
1984,No migration background,2nd Quintile,Not employed: no further information,0.15180,331,1590,0.13416,0.16944
1984,No migration background,3rd Quintile,Self-employed,0.02449,53,1716,0.01718,0.03181
1984,No migration background,3rd Quintile,Blue-collar worker,0.17353,376,1716,0.15560,0.19145
1984,No migration background,3rd Quintile,Civil servant,0.03552,79,1716,0.02676,0.04429
1984,No migration background,3rd Quintile,White-collar worker,0.16357,364,1716,0.14607,0.18108
1984,No migration background,3rd Quintile,Apprentice/ Trainee/ Intern,0.08006,178,1716,0.06721,0.09290
1984,No migration background,3rd Quintile,Not employed: Pensioner,0.19124,330,1716,0.17263,0.20985
1984,No migration background,3rd Quintile,Not employed: registered unemployed,0.02128,45,1716,0.01445,0.02811
1984,No migration background,3rd Quintile,Not employed: no further information,0.13194,291,1716,0.11593,0.14796
1984,No migration background,4th Quintile,Self-employed,0.04268,93,1853,0.03347,0.05188
