year,bula_h,quintil_oecd,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,5th Quintile,White-collar worker,0.37847,35,35,0.21544,0.54150
1984,Hamburg,5th Quintile,White-collar worker,0.47971,34,34,0.30925,0.65016
1984,Lower Saxony,1st Quintile,Blue-collar worker,0.11643,50,242,0.07594,0.15693
1984,Lower Saxony,1st Quintile,Apprentice/ Trainee/ Intern,0.15898,53,242,0.11281,0.20515
1984,Lower Saxony,1st Quintile,Not employed: Pensioner,0.34984,64,242,0.28962,0.41005
1984,Lower Saxony,1st Quintile,Not employed: no further information,0.19959,75,242,0.14913,0.25005
1984,Lower Saxony,2nd Quintile,Blue-collar worker,0.19264,53,183,0.13535,0.24994
1984,Lower Saxony,2nd Quintile,White-collar worker,0.17203,39,183,0.11720,0.22687
1984,Lower Saxony,2nd Quintile,Not employed: Pensioner,0.23944,40,183,0.17744,0.30144
1984,Lower Saxony,2nd Quintile,Not employed: no further information,0.18764,51,183,0.13092,0.24437
1984,Lower Saxony,3rd Quintile,Blue-collar worker,0.21603,58,208,0.15997,0.27210
1984,Lower Saxony,3rd Quintile,White-collar worker,0.19851,47,208,0.14417,0.25285
1984,Lower Saxony,3rd Quintile,Apprentice/ Trainee/ Intern,0.14622,34,208,0.09809,0.19436
1984,Lower Saxony,3rd Quintile,Not employed: Pensioner,0.17308,32,208,0.12154,0.22461
1984,Lower Saxony,3rd Quintile,Not employed: no further information,0.16234,37,208,0.11210,0.21258
1984,Lower Saxony,4th Quintile,Blue-collar worker,0.21703,67,160,0.15295,0.28110
1984,Lower Saxony,4th Quintile,White-collar worker,0.18222,45,160,0.12221,0.24222
1984,Lower Saxony,4th Quintile,Not employed: Pensioner,0.25888,48,160,0.19079,0.32696
1984,Lower Saxony,5th Quintile,Blue-collar worker,0.14102,39,102,0.07314,0.20889
1984,Lower Saxony,5th Quintile,White-collar worker,0.28426,63,102,0.19629,0.37223
1984,North Rhine-Westphalia,1st Quintile,Blue-collar worker,0.16221,194,749,0.13579,0.18863
1984,North Rhine-Westphalia,1st Quintile,White-collar worker,0.06600,41,749,0.04821,0.08380
1984,North Rhine-Westphalia,1st Quintile,Apprentice/ Trainee/ Intern,0.12535,98,749,0.10162,0.14908
1984,North Rhine-Westphalia,1st Quintile,Not employed: Pensioner,0.29280,118,749,0.26019,0.32541
1984,North Rhine-Westphalia,1st Quintile,Not employed: registered unemployed,0.07958,60,749,0.06018,0.09898
1984,North Rhine-Westphalia,1st Quintile,Not employed: no further information,0.24138,238,749,0.21071,0.27204
1984,North Rhine-Westphalia,2nd Quintile,Blue-collar worker,0.24484,202,578,0.20976,0.27993
1984,North Rhine-Westphalia,2nd Quintile,White-collar worker,0.12603,65,578,0.09895,0.15311
1984,North Rhine-Westphalia,2nd Quintile,Apprentice/ Trainee/ Intern,0.10864,78,578,0.08325,0.13404
1984,North Rhine-Westphalia,2nd Quintile,Not employed: Pensioner,0.24969,90,578,0.21437,0.28500
1984,North Rhine-Westphalia,2nd Quintile,Not employed: no further information,0.20666,143,578,0.17362,0.23970
1984,North Rhine-Westphalia,3rd Quintile,Blue-collar worker,0.21568,174,521,0.18033,0.25103
1984,North Rhine-Westphalia,3rd Quintile,White-collar worker,0.18303,99,521,0.14979,0.21627
1984,North Rhine-Westphalia,3rd Quintile,Apprentice/ Trainee/ Intern,0.09621,60,521,0.07087,0.12156
1984,North Rhine-Westphalia,3rd Quintile,Not employed: Pensioner,0.19256,72,521,0.15867,0.22645
1984,North Rhine-Westphalia,3rd Quintile,Not employed: no further information,0.19873,116,521,0.16443,0.23303
1984,North Rhine-Westphalia,4th Quintile,Self-employed,0.04750,31,629,0.03086,0.06414
1984,North Rhine-Westphalia,4th Quintile,Blue-collar worker,0.22338,192,629,0.19080,0.25595
1984,North Rhine-Westphalia,4th Quintile,Civil servant,0.05408,34,629,0.03639,0.07177
1984,North Rhine-Westphalia,4th Quintile,White-collar worker,0.25425,152,629,0.22019,0.28830
1984,North Rhine-Westphalia,4th Quintile,Apprentice/ Trainee/ Intern,0.10247,69,629,0.07875,0.12619
1984,North Rhine-Westphalia,4th Quintile,Not employed: Pensioner,0.15256,65,629,0.12444,0.18068
1984,North Rhine-Westphalia,4th Quintile,Not employed: no further information,0.14052,86,629,0.11334,0.16770
1984,North Rhine-Westphalia,5th Quintile,Self-employed,0.10892,73,600,0.08397,0.13387
1984,North Rhine-Westphalia,5th Quintile,Blue-collar worker,0.12582,94,600,0.09926,0.15238
1984,North Rhine-Westphalia,5th Quintile,Civil servant,0.10990,64,600,0.08486,0.13495
1984,North Rhine-Westphalia,5th Quintile,White-collar worker,0.34819,210,600,0.31004,0.38634
1984,North Rhine-Westphalia,5th Quintile,Apprentice/ Trainee/ Intern,0.05640,36,600,0.03793,0.07488
1984,North Rhine-Westphalia,5th Quintile,Not employed: Pensioner,0.13934,61,600,0.11161,0.16708
1984,North Rhine-Westphalia,5th Quintile,Not employed: no further information,0.09893,62,600,0.07502,0.12284
