year,bula_h,migback,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Blue-collar worker,0.13224,57,253,0.09041,0.17407
1984,Schleswig-Holstein,No migration background,White-collar worker,0.20391,88,253,0.15417,0.25366
1984,Schleswig-Holstein,No migration background,Not employed: Pensioner,0.18080,59,253,0.13328,0.22832
1984,Schleswig-Holstein,No migration background,Not employed: no further information,0.10739,49,253,0.06916,0.14561
1984,Hamburg,No migration background,White-collar worker,0.27005,72,133,0.19431,0.34579
1984,Hamburg,No migration background,Not employed: Pensioner,0.32315,61,133,0.24337,0.40294
1984,Hamburg,Direct migration background,Blue-collar worker,0.30445,47,47,0.17147,0.43743
1984,Lower Saxony,No migration background,Self-employed,0.05015,69,1023,0.03677,0.06353
1984,Lower Saxony,No migration background,Blue-collar worker,0.13787,178,1023,0.11673,0.15900
1984,Lower Saxony,No migration background,Civil servant,0.04048,55,1023,0.02839,0.05256
1984,Lower Saxony,No migration background,White-collar worker,0.14867,197,1023,0.12686,0.17048
1984,Lower Saxony,No migration background,Apprentice/ Trainee/ Intern,0.10052,133,1023,0.08208,0.11896
1984,Lower Saxony,No migration background,Not employed: Pensioner,0.20847,202,1023,0.18357,0.23338
1984,Lower Saxony,No migration background,Not employed: registered unemployed,0.02666,33,1023,0.01678,0.03653
1984,Lower Saxony,No migration background,Not employed: no further information,0.12053,156,1023,0.10057,0.14049
1984,Lower Saxony,Direct migration background,Blue-collar worker,0.31087,89,138,0.23336,0.38837
1984,Lower Saxony,Direct migration background,Not employed: no further information,0.22669,49,138,0.15658,0.29680
1984,Bremen,No migration background,Not employed: Pensioner,0.47672,43,43,0.32567,0.62777
1984,North Rhine-Westphalia,No migration background,Self-employed,0.03828,110,2254,0.03035,0.04620
1984,North Rhine-Westphalia,No migration background,Blue-collar worker,0.14005,392,2254,0.12572,0.15438
1984,North Rhine-Westphalia,No migration background,Civil servant,0.04352,128,2254,0.03509,0.05194
1984,North Rhine-Westphalia,No migration background,White-collar worker,0.17545,520,2254,0.15974,0.19116
1984,North Rhine-Westphalia,No migration background,Apprentice/ Trainee/ Intern,0.08267,237,2254,0.07130,0.09404
1984,North Rhine-Westphalia,No migration background,Not employed: Pensioner,0.18377,382,2254,0.16778,0.19976
1984,North Rhine-Westphalia,No migration background,Not employed: registered unemployed,0.02483,70,2254,0.01841,0.03126
1984,North Rhine-Westphalia,No migration background,Not employed: no further information,0.14190,415,2254,0.12749,0.15631
1984,North Rhine-Westphalia,Direct migration background,Self-employed,0.03242,40,917,0.02095,0.04389
1984,North Rhine-Westphalia,Direct migration background,Blue-collar worker,0.35398,459,917,0.32301,0.38494
1984,North Rhine-Westphalia,Direct migration background,White-collar worker,0.07894,43,917,0.06148,0.09640
1984,North Rhine-Westphalia,Direct migration background,Apprentice/ Trainee/ Intern,0.07006,87,917,0.05353,0.08659
1984,North Rhine-Westphalia,Direct migration background,Not employed: registered unemployed,0.06740,62,917,0.05117,0.08364
1984,North Rhine-Westphalia,Direct migration background,Not employed: no further information,0.20232,226,917,0.17630,0.22834
1984,Hesse,No migration background,Self-employed,0.04169,38,743,0.02731,0.05607
1984,Hesse,No migration background,Blue-collar worker,0.14697,135,743,0.12149,0.17244
1984,Hesse,No migration background,Civil servant,0.04506,43,743,0.03013,0.05999
1984,Hesse,No migration background,White-collar worker,0.19349,184,743,0.16507,0.22192
1984,Hesse,No migration background,Apprentice/ Trainee/ Intern,0.08193,82,743,0.06220,0.10167
1984,Hesse,No migration background,Not employed: Pensioner,0.21717,156,743,0.18751,0.24684
1984,Hesse,No migration background,Not employed: no further information,0.11207,105,743,0.08937,0.13477
1984,Hesse,Direct migration background,Blue-collar worker,0.35080,230,407,0.30437,0.39722
1984,Hesse,Direct migration background,White-collar worker,0.13371,48,407,0.10060,0.16681
1984,Hesse,Direct migration background,Not employed: registered unemployed,0.05994,36,407,0.03685,0.08303
1984,Hesse,Direct migration background,Not employed: no further information,0.18494,93,407,0.14717,0.22271
1984,"Rhineland-Palatinate, Saarland",No migration background,Self-employed,0.03985,34,667,0.02499,0.05471
1984,"Rhineland-Palatinate, Saarland",No migration background,Blue-collar worker,0.15912,133,667,0.13134,0.18690
1984,"Rhineland-Palatinate, Saarland",No migration background,Civil servant,0.04133,35,667,0.02621,0.05644
1984,"Rhineland-Palatinate, Saarland",No migration background,White-collar worker,0.13362,112,667,0.10778,0.15946
1984,"Rhineland-Palatinate, Saarland",No migration background,Apprentice/ Trainee/ Intern,0.07756,64,667,0.05724,0.09787
1984,"Rhineland-Palatinate, Saarland",No migration background,Not employed: Pensioner,0.20987,145,667,0.17894,0.24080
1984,"Rhineland-Palatinate, Saarland",No migration background,Not employed: no further information,0.17147,144,667,0.14284,0.20009
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Blue-collar worker,0.43324,86,86,0.32790,0.53859
1984,Baden-Wuerttemberg,No migration background,Self-employed,0.04481,76,1325,0.03367,0.05596
1984,Baden-Wuerttemberg,No migration background,Blue-collar worker,0.16706,287,1325,0.14696,0.18715
1984,Baden-Wuerttemberg,No migration background,Civil servant,0.03932,72,1325,0.02885,0.04978
1984,Baden-Wuerttemberg,No migration background,White-collar worker,0.17028,304,1325,0.15003,0.19053
1984,Baden-Wuerttemberg,No migration background,Apprentice/ Trainee/ Intern,0.07015,120,1325,0.05639,0.08390
1984,Baden-Wuerttemberg,No migration background,Not employed: Pensioner,0.19669,257,1325,0.17528,0.21811
1984,Baden-Wuerttemberg,No migration background,Not employed: no further information,0.11742,209,1325,0.10008,0.13476
1984,Baden-Wuerttemberg,Direct migration background,Blue-collar worker,0.44321,524,782,0.40837,0.47805
1984,Baden-Wuerttemberg,Direct migration background,White-collar worker,0.11841,47,782,0.09575,0.14107
1984,Baden-Wuerttemberg,Direct migration background,Apprentice/ Trainee/ Intern,0.05041,49,782,0.03507,0.06576
1984,Baden-Wuerttemberg,Direct migration background,Not employed: no further information,0.13879,162,782,0.11454,0.16303
1984,Bavaria,No migration background,Self-employed,0.05354,103,1607,0.04253,0.06455
1984,Bavaria,No migration background,Blue-collar worker,0.14854,299,1607,0.13115,0.16593
1984,Bavaria,No migration background,Civil servant,0.04177,86,1607,0.03199,0.05155
1984,Bavaria,No migration background,White-collar worker,0.18285,385,1607,0.16394,0.20175
1984,Bavaria,No migration background,Apprentice/ Trainee/ Intern,0.06753,143,1607,0.05525,0.07980
1984,Bavaria,No migration background,Not employed: Pensioner,0.18232,279,1607,0.16344,0.20120
1984,Bavaria,No migration background,Not employed: registered unemployed,0.02142,41,1607,0.01434,0.02851
1984,Bavaria,No migration background,Not employed: no further information,0.13347,271,1607,0.11684,0.15011
1984,Bavaria,Direct migration background,Blue-collar worker,0.33056,240,347,0.28099,0.38013
1984,Bavaria,Direct migration background,White-collar worker,0.11487,32,347,0.08127,0.14847
1984,Bavaria,Direct migration background,Not employed: no further information,0.16918,75,347,0.12968,0.20869
1984,Berlin,No migration background,Blue-collar worker,0.15697,57,212,0.10788,0.20605
1984,Berlin,No migration background,White-collar worker,0.23414,87,212,0.17700,0.29128
1984,Berlin,No migration background,Not employed: Pensioner,0.26751,68,212,0.20779,0.32724
1984,Berlin,Direct migration background,Blue-collar worker,0.49274,72,72,0.37645,0.60903
1985,Schleswig-Holstein,No migration background,Blue-collar worker,0.14857,60,236,0.10310,0.19405
1985,Schleswig-Holstein,No migration background,White-collar worker,0.19145,76,236,0.14115,0.24175
1985,Schleswig-Holstein,No migration background,Not employed: Pensioner,0.19129,56,236,0.14101,0.24158
1985,Schleswig-Holstein,No migration background,Not employed: no further information,0.10429,44,236,0.06521,0.14337
1985,Hamburg,No migration background,White-collar worker,0.28846,72,128,0.20967,0.36726
1985,Hamburg,No migration background,Not employed: Pensioner,0.32133,56,128,0.24011,0.40255
1985,Hamburg,Direct migration background,Blue-collar worker,0.28075,32,32,0.12256,0.43893
1985,Lower Saxony,No migration background,Self-employed,0.04508,58,941,0.03182,0.05835
1985,Lower Saxony,No migration background,Blue-collar worker,0.12740,146,941,0.10608,0.14871
1985,Lower Saxony,No migration background,Civil servant,0.04478,55,941,0.03156,0.05800
1985,Lower Saxony,No migration background,White-collar worker,0.16550,198,941,0.14174,0.18925
1985,Lower Saxony,No migration background,Apprentice/ Trainee/ Intern,0.10876,129,941,0.08886,0.12866
1985,Lower Saxony,No migration background,Not employed: Pensioner,0.21383,179,941,0.18762,0.24004
1985,Lower Saxony,No migration background,Not employed: registered unemployed,0.04265,48,941,0.02973,0.05557
1985,Lower Saxony,No migration background,Not employed: no further information,0.10492,128,941,0.08533,0.12451
1985,Lower Saxony,Direct migration background,Blue-collar worker,0.29946,66,104,0.21101,0.38792
1985,Lower Saxony,Direct migration background,Not employed: no further information,0.20707,38,104,0.12882,0.28533
1985,Bremen,No migration background,Not employed: Pensioner,0.47018,38,38,0.30936,0.63101
1985,North Rhine-Westphalia,No migration background,Self-employed,0.03899,102,2106,0.03072,0.04725
1985,North Rhine-Westphalia,No migration background,Blue-collar worker,0.13679,357,2106,0.12211,0.15147
1985,North Rhine-Westphalia,No migration background,Civil servant,0.04527,126,2106,0.03639,0.05416
1985,North Rhine-Westphalia,No migration background,White-collar worker,0.18013,491,2106,0.16372,0.19655
1985,North Rhine-Westphalia,No migration background,Apprentice/ Trainee/ Intern,0.09111,240,2106,0.07882,0.10340
1985,North Rhine-Westphalia,No migration background,Not employed: Pensioner,0.18569,347,2106,0.16908,0.20231
1985,North Rhine-Westphalia,No migration background,Not employed: registered unemployed,0.03470,87,2106,0.02688,0.04252
1985,North Rhine-Westphalia,No migration background,Not employed: no further information,0.12830,356,2106,0.11401,0.14258
1985,North Rhine-Westphalia,Direct migration background,Blue-collar worker,0.36478,397,740,0.33007,0.39948
1985,North Rhine-Westphalia,Direct migration background,White-collar worker,0.10698,51,740,0.08469,0.12926
1985,North Rhine-Westphalia,Direct migration background,Apprentice/ Trainee/ Intern,0.07246,71,740,0.05377,0.09115
1985,North Rhine-Westphalia,Direct migration background,Not employed: registered unemployed,0.04957,53,740,0.03392,0.06522
1985,North Rhine-Westphalia,Direct migration background,Not employed: no further information,0.17437,168,740,0.14701,0.20173
1985,Hesse,No migration background,Self-employed,0.03997,35,673,0.02516,0.05478
1985,Hesse,No migration background,Blue-collar worker,0.14660,125,673,0.11985,0.17334
1985,Hesse,No migration background,Civil servant,0.04459,39,673,0.02898,0.06019
1985,Hesse,No migration background,White-collar worker,0.19226,162,673,0.16246,0.22205
1985,Hesse,No migration background,Apprentice/ Trainee/ Intern,0.08656,79,673,0.06530,0.10782
1985,Hesse,No migration background,Not employed: Pensioner,0.22626,144,673,0.19462,0.25789
1985,Hesse,No migration background,Not employed: no further information,0.10029,89,673,0.07758,0.12300
1985,Hesse,Direct migration background,Blue-collar worker,0.31491,192,323,0.26418,0.36565
1985,Hesse,Direct migration background,White-collar worker,0.14074,51,323,0.10276,0.17872
1985,Hesse,Direct migration background,Not employed: no further information,0.17793,80,323,0.13616,0.21971
1985,"Rhineland-Palatinate, Saarland",No migration background,Self-employed,0.04520,34,611,0.02871,0.06168
1985,"Rhineland-Palatinate, Saarland",No migration background,Blue-collar worker,0.16789,128,611,0.13823,0.19755
1985,"Rhineland-Palatinate, Saarland",No migration background,Civil servant,0.04921,37,611,0.03205,0.06638
1985,"Rhineland-Palatinate, Saarland",No migration background,White-collar worker,0.13618,105,611,0.10896,0.16340
1985,"Rhineland-Palatinate, Saarland",No migration background,Apprentice/ Trainee/ Intern,0.06870,54,611,0.04863,0.08877
1985,"Rhineland-Palatinate, Saarland",No migration background,Not employed: Pensioner,0.22095,131,611,0.18803,0.25388
1985,"Rhineland-Palatinate, Saarland",No migration background,Not employed: no further information,0.15676,122,611,0.12791,0.18562
1985,"Rhineland-Palatinate, Saarland",Direct migration background,Blue-collar worker,0.46650,75,75,0.35283,0.58016
1985,Baden-Wuerttemberg,No migration background,Self-employed,0.05406,84,1193,0.04122,0.06689
1985,Baden-Wuerttemberg,No migration background,Blue-collar worker,0.16770,262,1193,0.14649,0.18891
1985,Baden-Wuerttemberg,No migration background,Civil servant,0.04314,69,1193,0.03161,0.05468
1985,Baden-Wuerttemberg,No migration background,White-collar worker,0.18082,285,1193,0.15897,0.20267
1985,Baden-Wuerttemberg,No migration background,Apprentice/ Trainee/ Intern,0.08278,127,1193,0.06714,0.09842
1985,Baden-Wuerttemberg,No migration background,Not employed: Pensioner,0.19207,212,1193,0.16971,0.21443
1985,Baden-Wuerttemberg,No migration background,Not employed: no further information,0.09379,154,1193,0.07724,0.11034
1985,Baden-Wuerttemberg,Direct migration background,Blue-collar worker,0.42795,452,731,0.39206,0.46385
1985,Baden-Wuerttemberg,Direct migration background,White-collar worker,0.10619,43,731,0.08384,0.12854
1985,Baden-Wuerttemberg,Direct migration background,Apprentice/ Trainee/ Intern,0.06250,48,731,0.04494,0.08006
1985,Baden-Wuerttemberg,Direct migration background,Not employed: registered unemployed,0.04223,45,731,0.02764,0.05682
1985,Baden-Wuerttemberg,Direct migration background,Not employed: no further information,0.14756,143,731,0.12183,0.17329
1985,Bavaria,No migration background,Self-employed,0.06172,110,1471,0.04942,0.07402
1985,Bavaria,No migration background,Blue-collar worker,0.14417,264,1471,0.12622,0.16213
1985,Bavaria,No migration background,Civil servant,0.03983,77,1471,0.02983,0.04983
1985,Bavaria,No migration background,White-collar worker,0.18653,360,1471,0.16662,0.20644
1985,Bavaria,No migration background,Apprentice/ Trainee/ Intern,0.07128,136,1471,0.05813,0.08443
1985,Bavaria,No migration background,Not employed: Pensioner,0.19692,259,1471,0.17659,0.21725
1985,Bavaria,No migration background,Not employed: registered unemployed,0.03030,53,1471,0.02154,0.03906
1985,Bavaria,No migration background,Not employed: no further information,0.11151,212,1471,0.09542,0.12760
1985,Bavaria,Direct migration background,Blue-collar worker,0.34820,214,307,0.29482,0.40158
1985,Bavaria,Direct migration background,White-collar worker,0.11706,36,307,0.08104,0.15309
1985,Bavaria,Direct migration background,Not employed: no further information,0.14632,57,307,0.10672,0.18592
1985,Berlin,No migration background,Blue-collar worker,0.13106,43,184,0.08216,0.17995
1985,Berlin,No migration background,White-collar worker,0.26374,85,184,0.19990,0.32759
1985,Berlin,No migration background,Not employed: Pensioner,0.27444,56,184,0.20979,0.33909
1985,Berlin,Direct migration background,Blue-collar worker,0.41433,51,51,0.27779,0.55088
1986,Schleswig-Holstein,No migration background,Blue-collar worker,0.15471,56,216,0.10637,0.20305
1986,Schleswig-Holstein,No migration background,White-collar worker,0.21679,72,216,0.16171,0.27187
1986,Schleswig-Holstein,No migration background,Not employed: Pensioner,0.17610,47,216,0.12519,0.22702
1986,Schleswig-Holstein,No migration background,Not employed: no further information,0.10233,41,216,0.06182,0.14284
1986,Hamburg,No migration background,White-collar worker,0.27941,63,113,0.19631,0.36251
1986,Hamburg,No migration background,Not employed: Pensioner,0.33145,50,113,0.24427,0.41863
1986,Hamburg,Direct migration background,Blue-collar worker,0.30635,31,31,0.14139,0.47130
1986,Lower Saxony,No migration background,Self-employed,0.05175,65,918,0.03741,0.06609
1986,Lower Saxony,No migration background,Blue-collar worker,0.13220,147,918,0.11028,0.15412
1986,Lower Saxony,No migration background,Civil servant,0.04536,54,918,0.03189,0.05882
1986,Lower Saxony,No migration background,White-collar worker,0.15935,190,918,0.13566,0.18304
1986,Lower Saxony,No migration background,Apprentice/ Trainee/ Intern,0.10566,124,918,0.08576,0.12555
1986,Lower Saxony,No migration background,Not employed: Pensioner,0.21006,168,918,0.18370,0.23643
1986,Lower Saxony,No migration background,Not employed: registered unemployed,0.03671,39,918,0.02454,0.04889
1986,Lower Saxony,No migration background,Not employed: no further information,0.11095,131,918,0.09062,0.13127
1986,Lower Saxony,Direct migration background,Blue-collar worker,0.30955,76,112,0.22355,0.39556
