year,age_gr,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Self-employed,0.01921,51,2462,0.01378,0.02463
1985,17-29 y.,Urban regions,Blue-collar worker,0.22093,646,2462,0.20454,0.23732
1985,17-29 y.,Urban regions,Civil servant,0.03586,67,2462,0.02851,0.04321
1985,17-29 y.,Urban regions,White-collar worker,0.21412,435,2462,0.19791,0.23033
1985,17-29 y.,Urban regions,Apprentice/ Trainee/ Intern,0.36454,851,2462,0.34553,0.38356
1985,17-29 y.,Urban regions,Not employed: registered unemployed,0.05365,149,2462,0.04475,0.06256
1985,17-29 y.,Urban regions,Not employed: no further information,0.07624,263,2462,0.06575,0.08672
1985,17-29 y.,Rural regions,Blue-collar worker,0.21485,154,582,0.18145,0.24824
1985,17-29 y.,Rural regions,White-collar worker,0.17676,104,582,0.14574,0.20778
1985,17-29 y.,Rural regions,Apprentice/ Trainee/ Intern,0.37832,220,582,0.33889,0.41776
1985,17-29 y.,Rural regions,Not employed: registered unemployed,0.07192,46,582,0.05091,0.09292
1985,17-29 y.,Rural regions,Not employed: no further information,0.06614,58,582,0.04593,0.08635
1985,30-45 y.,Urban regions,Self-employed,0.06498,164,2702,0.05568,0.07427
1985,30-45 y.,Urban regions,Blue-collar worker,0.26310,963,2702,0.24649,0.27971
1985,30-45 y.,Urban regions,Civil servant,0.07807,165,2702,0.06795,0.08819
1985,30-45 y.,Urban regions,White-collar worker,0.35127,746,2702,0.33326,0.36927
1985,30-45 y.,Urban regions,Not employed: registered unemployed,0.04405,122,2702,0.03631,0.05179
1985,30-45 y.,Urban regions,Not employed: no further information,0.17670,542,2702,0.16232,0.19109
1985,30-45 y.,Rural regions,Self-employed,0.10099,64,715,0.07889,0.12310
1985,30-45 y.,Rural regions,Blue-collar worker,0.21417,206,715,0.18408,0.24426
1985,30-45 y.,Rural regions,Civil servant,0.10232,62,715,0.08009,0.12455
1985,30-45 y.,Rural regions,White-collar worker,0.30420,193,715,0.27045,0.33795
1985,30-45 y.,Rural regions,Not employed: registered unemployed,0.06879,46,715,0.05022,0.08735
1985,30-45 y.,Rural regions,Not employed: no further information,0.19879,144,715,0.16952,0.22807
1985,46-65 y.,Urban regions,Self-employed,0.06672,157,2613,0.05715,0.07629
1985,46-65 y.,Urban regions,Blue-collar worker,0.20944,779,2613,0.19383,0.22504
1985,46-65 y.,Urban regions,Civil servant,0.05002,111,2613,0.04166,0.05838
1985,46-65 y.,Urban regions,White-collar worker,0.22579,506,2613,0.20976,0.24183
1985,46-65 y.,Urban regions,Not employed: Pensioner,0.22556,454,2613,0.20953,0.24159
1985,46-65 y.,Urban regions,Not employed: registered unemployed,0.03564,109,2613,0.02853,0.04274
1985,46-65 y.,Urban regions,Not employed: no further information,0.18588,497,2613,0.17096,0.20080
1985,46-65 y.,Rural regions,Self-employed,0.10625,72,687,0.08319,0.12932
1985,46-65 y.,Rural regions,Blue-collar worker,0.23775,184,687,0.20589,0.26960
1985,46-65 y.,Rural regions,Civil servant,0.05148,34,687,0.03494,0.06801
1985,46-65 y.,Rural regions,White-collar worker,0.14598,96,687,0.11956,0.17240
1985,46-65 y.,Rural regions,Not employed: Pensioner,0.22093,134,687,0.18988,0.25198
1985,46-65 y.,Rural regions,Not employed: registered unemployed,0.04168,31,687,0.02672,0.05664
1985,46-65 y.,Rural regions,Not employed: no further information,0.19438,136,687,0.16477,0.22400
1985,66 and older,Urban regions,Not employed: Pensioner,0.90138,722,781,0.88046,0.92230
1985,66 and older,Urban regions,Not employed: no further information,0.06019,59,781,0.04350,0.07689
1985,66 and older,Rural regions,Not employed: Pensioner,0.92243,263,263,0.89004,0.95482
1986,17-29 y.,Urban regions,Self-employed,0.01971,44,2409,0.01416,0.02526
1986,17-29 y.,Urban regions,Blue-collar worker,0.22730,650,2409,0.21056,0.24404
1986,17-29 y.,Urban regions,Civil servant,0.04042,70,2409,0.03255,0.04828
1986,17-29 y.,Urban regions,White-collar worker,0.21481,415,2409,0.19840,0.23121
1986,17-29 y.,Urban regions,Apprentice/ Trainee/ Intern,0.35751,850,2409,0.33837,0.37665
1986,17-29 y.,Urban regions,Not employed: Military/Community Service,0.01848,33,2409,0.01310,0.02386
1986,17-29 y.,Urban regions,Not employed: registered unemployed,0.04627,131,2409,0.03788,0.05466
1986,17-29 y.,Urban regions,Not employed: no further information,0.06961,216,2409,0.05945,0.07978
1986,17-29 y.,Rural regions,Blue-collar worker,0.22160,152,573,0.18756,0.25564
1986,17-29 y.,Rural regions,White-collar worker,0.21475,123,573,0.18110,0.24840
1986,17-29 y.,Rural regions,Apprentice/ Trainee/ Intern,0.33777,208,573,0.29901,0.37653
1986,17-29 y.,Rural regions,Not employed: registered unemployed,0.06232,39,573,0.04251,0.08213
1986,17-29 y.,Rural regions,Not employed: no further information,0.06101,51,573,0.04140,0.08063
1986,30-45 y.,Urban regions,Self-employed,0.06200,156,2540,0.05262,0.07138
1986,30-45 y.,Urban regions,Blue-collar worker,0.25734,879,2540,0.24033,0.27434
1986,30-45 y.,Urban regions,Civil servant,0.07528,152,2540,0.06501,0.08554
1986,30-45 y.,Urban regions,White-collar worker,0.34960,706,2540,0.33105,0.36815
1986,30-45 y.,Urban regions,Not employed: registered unemployed,0.04407,112,2540,0.03609,0.05205
1986,30-45 y.,Urban regions,Not employed: no further information,0.18711,535,2540,0.17194,0.20228
1986,30-45 y.,Rural regions,Self-employed,0.11022,62,663,0.08636,0.13408
1986,30-45 y.,Rural regions,Blue-collar worker,0.22919,197,663,0.19717,0.26121
1986,30-45 y.,Rural regions,Civil servant,0.11172,66,663,0.08773,0.13572
1986,30-45 y.,Rural regions,White-collar worker,0.27840,165,663,0.24426,0.31255
1986,30-45 y.,Rural regions,Not employed: registered unemployed,0.06130,38,663,0.04303,0.07957
1986,30-45 y.,Rural regions,Not employed: no further information,0.19327,135,663,0.16319,0.22335
1986,46-65 y.,Urban regions,Self-employed,0.06720,160,2559,0.05750,0.07691
1986,46-65 y.,Urban regions,Blue-collar worker,0.21711,784,2559,0.20113,0.23309
1986,46-65 y.,Urban regions,Civil servant,0.04586,104,2559,0.03775,0.05396
1986,46-65 y.,Urban regions,White-collar worker,0.22619,492,2559,0.20998,0.24240
1986,46-65 y.,Urban regions,Not employed: Pensioner,0.22493,435,2559,0.20875,0.24111
1986,46-65 y.,Urban regions,Not employed: registered unemployed,0.03302,108,2559,0.02609,0.03994
1986,46-65 y.,Urban regions,Not employed: no further information,0.18310,476,2559,0.16811,0.19809
1986,46-65 y.,Rural regions,Self-employed,0.11541,73,661,0.09103,0.13978
1986,46-65 y.,Rural regions,Blue-collar worker,0.22885,179,661,0.19680,0.26090
1986,46-65 y.,Rural regions,Civil servant,0.05210,33,661,0.03515,0.06906
1986,46-65 y.,Rural regions,White-collar worker,0.14713,92,661,0.12010,0.17415
1986,46-65 y.,Rural regions,Not employed: Pensioner,0.20769,118,661,0.17674,0.23864
1986,46-65 y.,Rural regions,Not employed: registered unemployed,0.04904,33,661,0.03256,0.06551
1986,46-65 y.,Rural regions,Not employed: no further information,0.19831,133,661,0.16789,0.22873
1986,66 and older,Urban regions,Not employed: Pensioner,0.91502,691,743,0.89496,0.93509
1986,66 and older,Urban regions,Not employed: no further information,0.05504,52,743,0.03863,0.07145
1986,66 and older,Rural regions,Not employed: Pensioner,0.92548,243,243,0.89239,0.95857
1987,17-29 y.,Urban regions,Self-employed,0.01724,38,2360,0.01199,0.02250
1987,17-29 y.,Urban regions,Blue-collar worker,0.24335,635,2360,0.22604,0.26067
1987,17-29 y.,Urban regions,Civil servant,0.03543,63,2360,0.02797,0.04289
1987,17-29 y.,Urban regions,White-collar worker,0.22919,420,2360,0.21222,0.24615
1987,17-29 y.,Urban regions,Apprentice/ Trainee/ Intern,0.33044,837,2360,0.31146,0.34943
1987,17-29 y.,Urban regions,Not employed: Military/Community Service,0.02545,42,2360,0.01909,0.03180
1987,17-29 y.,Urban regions,Not employed: registered unemployed,0.04896,125,2360,0.04025,0.05767
1987,17-29 y.,Urban regions,Not employed: no further information,0.06530,200,2360,0.05533,0.07527
