"year","age_gr","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","17-34","3.47","2.5","5276","3.42","3.52"
"2005","35-65","3.23","2.5","11549","3.2","3.26"
"2005","66 +","2.81","1.5","3715","2.75","2.87"
"2006","17-34","","","","",""
"2006","35-65","","","","",""
"2006","66 +","","","","",""
"2007","17-34","","","","",""
"2007","35-65","","","","",""
"2007","66 +","","","","",""
"2008","17-34","","","","",""
"2008","35-65","","","","",""
"2008","66 +","","","","",""
"2009","17-34","","","","",""
"2009","35-65","","","","",""
"2009","66 +","","","","",""
"2010","17-34","3.43","2.5","3542","3.38","3.48"
"2010","35-65","3.26","2.5","9048","3.23","3.29"
"2010","66 +","3.02","2.5","3976","2.97","3.07"
"2011","17-34","","","","",""
"2011","35-65","","","","",""
"2011","66 +","","","","",""
"2012","17-34","","","","",""
"2012","35-65","","","","",""
"2012","66 +","","","","",""
"2013","17-34","","","","",""
"2013","35-65","","","","",""
"2013","66 +","","","","",""
"2014","17-34","","","","",""
"2014","35-65","","","","",""
"2014","66 +","","","","",""
"2015","17-34","2.82","1.5","6566","2.78","2.86"
"2015","35-65","2.87","1.5","15096","2.84","2.9"
"2015","66 +","2.78","1.5","4872","2.73","2.83"
"2016","17-34","2.48","1.5","1538","2.39","2.57"
"2016","35-65","2.01","1","1355","1.93","2.09"
"2016","66 +","","","","",""
"2017","17-34","1.72","1","1096","1.63","1.81"
"2017","35-65","1.56","1","686","1.46","1.66"
"2017","66 +","","","","",""
"2018","17-34","1.85","1","216","1.63","2.07"
"2018","35-65","1.94","1","147","1.68","2.2"
"2018","66 +","","","","",""
"2019","17-34","1.82","1","127","1.5","2.14"
"2019","35-65","1.72","1","118","1.43","2.01"
"2019","66 +","","","","",""
"2020","17-34","2.71","1.5","8004","2.67","2.75"
"2020","35-65","2.76","1.5","16374","2.74","2.78"
"2020","66 +","2.68","1.5","4955","2.63","2.73"
