"year","migback","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","direkter Migrationshintergrund","Laendlicher Raum","2.79","2.5","409","2.62","2.96"
"2005","direkter Migrationshintergrund","Staedtischer Raum","3.04","2.5","1932","2.96","3.12"
"2005","indirekter Migrationshintergrund","Laendlicher Raum","3.35","2.5","107","3.03","3.67"
"2005","indirekter Migrationshintergrund","Staedtischer Raum","3.52","2.5","715","3.39","3.65"
"2005","kein Migrationshintergrund","Laendlicher Raum","3.3","2.5","6401","3.26","3.34"
"2005","kein Migrationshintergrund","Staedtischer Raum","3.18","2.5","10976","3.15","3.21"
"2006","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","direkter Migrationshintergrund","Laendlicher Raum","3.26","2.5","282","3.06","3.46"
"2010","direkter Migrationshintergrund","Staedtischer Raum","3.14","2.5","1167","3.04","3.24"
"2010","indirekter Migrationshintergrund","Laendlicher Raum","3.5","2.5","103","3.16","3.84"
"2010","indirekter Migrationshintergrund","Staedtischer Raum","3.49","2.5","550","3.35","3.63"
"2010","kein Migrationshintergrund","Laendlicher Raum","3.33","2.5","5365","3.28","3.38"
"2010","kein Migrationshintergrund","Staedtischer Raum","3.18","2.5","9099","3.15","3.21"
"2011","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2011","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2011","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2011","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2011","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2011","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2012","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2012","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2012","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2012","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2012","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2012","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2013","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2013","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2013","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2013","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2013","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2013","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","direkter Migrationshintergrund","Laendlicher Raum","2.63","1.5","1466","2.54","2.72"
"2015","direkter Migrationshintergrund","Staedtischer Raum","2.7","1.5","4250","2.65","2.75"
"2015","indirekter Migrationshintergrund","Laendlicher Raum","2.99","2.5","315","2.8","3.18"
"2015","indirekter Migrationshintergrund","Staedtischer Raum","2.94","2.5","1361","2.84","3.04"
"2015","kein Migrationshintergrund","Laendlicher Raum","2.94","2.5","7486","2.9","2.98"
"2015","kein Migrationshintergrund","Staedtischer Raum","2.81","1.5","11656","2.78","2.84"
"2016","direkter Migrationshintergrund","Laendlicher Raum","2.08","1","824","1.96","2.2"
"2016","direkter Migrationshintergrund","Staedtischer Raum","2.25","1","2060","2.18","2.32"
"2016","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","direkter Migrationshintergrund","Laendlicher Raum","1.56","1","594","1.44","1.68"
