year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,,,,,,,,,,,,
1984,Direct migration background,,,,,,,,,,,,
1984,Indirect migration background,,,,,,,,,,,,
1985,No migration background,,,,,,,,,,,,
1985,Direct migration background,,,,,,,,,,,,
1985,Indirect migration background,,,,,,,,,,,,
1986,No migration background,,,,,,,,,,,,
1986,Direct migration background,,,,,,,,,,,,
1986,Indirect migration background,,,,,,,,,,,,
1987,No migration background,,,,,,,,,,,,
1987,Direct migration background,,,,,,,,,,,,
1987,Indirect migration background,,,,,,,,,,,,
1988,No migration background,,,,,,,,,,,,
1988,Direct migration background,,,,,,,,,,,,
1988,Indirect migration background,,,,,,,,,,,,
1989,No migration background,,,,,,,,,,,,
1989,Direct migration background,,,,,,,,,,,,
1989,Indirect migration background,,,,,,,,,,,,
1990,No migration background,,,,,,,,,,,,
1990,Direct migration background,,,,,,,,,,,,
1990,Indirect migration background,,,,,,,,,,,,
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
1992,No migration background,,,,,,,,,,,,
1992,Direct migration background,,,,,,,,,,,,
1992,Indirect migration background,,,,,,,,,,,,
1993,No migration background,,,,,,,,,,,,
1993,Direct migration background,,,,,,,,,,,,
1993,Indirect migration background,,,,,,,,,,,,
1994,No migration background,,,,,,,,,,,,
1994,Direct migration background,,,,,,,,,,,,
1994,Indirect migration background,,,,,,,,,,,,
1995,No migration background,,,,,,,,,,,,
1995,Direct migration background,,,,,,,,,,,,
1995,Indirect migration background,,,,,,,,,,,,
1996,No migration background,,,,,,,,,,,,
1996,Direct migration background,,,,,,,,,,,,
1996,Indirect migration background,,,,,,,,,,,,
1997,No migration background,,,,,,,,,,,,
1997,Direct migration background,,,,,,,,,,,,
1997,Indirect migration background,,,,,,,,,,,,
1998,No migration background,,,,,,,,,,,,
1998,Direct migration background,,,,,,,,,,,,
1998,Indirect migration background,,,,,,,,,,,,
1999,No migration background,,,,,,,,,,,,
1999,Direct migration background,,,,,,,,,,,,
1999,Indirect migration background,,,,,,,,,,,,
2000,No migration background,,,,,,,,,,,,
2000,Direct migration background,,,,,,,,,,,,
2000,Indirect migration background,,,,,,,,,,,,
2001,No migration background,,,,,,,,,,,,
2001,Direct migration background,,,,,,,,,,,,
2001,Indirect migration background,,,,,,,,,,,,
2002,No migration background,,,,,,,,,,,,
2002,Direct migration background,,,,,,,,,,,,
2002,Indirect migration background,,,,,,,,,,,,
2003,No migration background,,,,,,,,,,,,
2003,Direct migration background,,,,,,,,,,,,
2003,Indirect migration background,,,,,,,,,,,,
2004,No migration background,,,,,,,,,,,,
2004,Direct migration background,,,,,,,,,,,,
2004,Indirect migration background,,,,,,,,,,,,
2005,No migration background,17380,3.22176,3.19564,3.24788,2.00000,3.00000,4.00000,1,7.00000,,,
2005,Direct migration background,2341,2.99305,2.92082,3.06528,1.00000,3.00000,4.00000,1,7,,,
2005,Indirect migration background,819,3.49816,3.37580,3.62053,2.00000,3.00000,5.00000,1,7,,,
2006,No migration background,,,,,,,,,,,,
2006,Direct migration background,,,,,,,,,,,,
2006,Indirect migration background,,,,,,,,,,,,
2007,No migration background,,,,,,,,,,,,
2007,Direct migration background,,,,,,,,,,,,
2007,Indirect migration background,,,,,,,,,,,,
2008,No migration background,,,,,,,,,,,,
2008,Direct migration background,,,,,,,,,,,,
2008,Indirect migration background,,,,,,,,,,,,
2009,No migration background,,,,,,,,,,,,
2009,Direct migration background,,,,,,,,,,,,
2009,Indirect migration background,,,,,,,,,,,,
2010,No migration background,14463,3.23043,3.20259,3.25827,2.00000,3.00000,4.00000,1,7.00000,,,
2010,Direct migration background,1449,3.15645,3.06632,3.24657,2.00000,3.00000,4.00000,1,7.00000,,,
2010,Indirect migration background,654,3.48251,3.35386,3.61115,2.00000,3.00000,5.00000,1,7,,,
2011,No migration background,,,,,,,,,,,,
2011,Direct migration background,,,,,,,,,,,,
2011,Indirect migration background,,,,,,,,,,,,
2012,No migration background,,,,,,,,,,,,
2012,Direct migration background,,,,,,,,,,,,
2012,Indirect migration background,,,,,,,,,,,,
2013,No migration background,,,,,,,,,,,,
2013,Direct migration background,,,,,,,,,,,,
2013,Indirect migration background,,,,,,,,,,,,
2014,No migration background,,,,,,,,,,,,
2014,Direct migration background,,,,,,,,,,,,
2014,Indirect migration background,,,,,,,,,,,,
2015,No migration background,19057,2.85792,2.83478,2.88106,2.00000,2.00000,4.00000,1,7.00000,,,
2015,Direct migration background,5881,2.69021,2.64489,2.73553,1.00000,2.00000,4.00000,1,7,,,
2015,Indirect migration background,1596,2.96906,2.88132,3.05680,1.00000,3.00000,4.00000,1,7,,,
2016,No migration background,,,,,,,,,,,,
2016,Direct migration background,,,,,,,,,,,,
2016,Indirect migration background,,,,,,,,,,,,
2017,No migration background,,,,,,,,,,,,
2017,Direct migration background,,,,,,,,,,,,
2017,Indirect migration background,,,,,,,,,,,,
2018,No migration background,,,,,,,,,,,,
2018,Direct migration background,,,,,,,,,,,,
2018,Indirect migration background,,,,,,,,,,,,
2019,No migration background,,,,,,,,,,,,
2019,Direct migration background,,,,,,,,,,,,
2019,Indirect migration background,,,,,,,,,,,,
2020,No migration background,18468,2.75277,2.73032,2.77522,2.00000,2.00000,4.00000,1,7.00000,,,
2020,Direct migration background,9222,2.63375,2.59916,2.66835,1.00000,2.00000,4.00000,1,7,,,
2020,Indirect migration background,1530,2.67136,2.58879,2.75392,1.00000,2.00000,4.00000,1,7,,,
2021,No migration background,,,,,,,,,,,,
2021,Direct migration background,,,,,,,,,,,,
2021,Indirect migration background,,,,,,,,,,,,
2022,No answer / don't know,,,,,,,,,,,,
2022,No migration background,,,,,,,,,,,,
2022,Direct migration background,,,,,,,,,,,,
2022,Indirect migration background,,,,,,,,,,,,
