"year","migback","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","direkter Migrationshintergrund","Ostdeutschland","3.24","2.5","97","2.87","3.61"
"2005","direkter Migrationshintergrund","Westdeutschland","2.98","2.5","2244","2.91","3.05"
"2005","indirekter Migrationshintergrund","Ostdeutschland","3","2.5","34","2.47","3.53"
"2005","indirekter Migrationshintergrund","Westdeutschland","3.51","2.5","788","3.39","3.63"
"2005","kein Migrationshintergrund","Ostdeutschland","3.28","2.5","4890","3.23","3.33"
"2005","kein Migrationshintergrund","Westdeutschland","3.2","2.5","12487","3.17","3.23"
"2006","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2006","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2006","kein Migrationshintergrund","Westdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2007","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2007","kein Migrationshintergrund","Westdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2008","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2008","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2008","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2008","kein Migrationshintergrund","Westdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2009","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2009","kein Migrationshintergrund","Westdeutschland","","","","",""
"2010","direkter Migrationshintergrund","Ostdeutschland","3.53","3.5","62","3.07","3.99"
"2010","direkter Migrationshintergrund","Westdeutschland","3.15","2.5","1387","3.06","3.24"
"2010","indirekter Migrationshintergrund","Ostdeutschland","3.17","3.5","37","2.61","3.73"
"2010","indirekter Migrationshintergrund","Westdeutschland","3.5","2.5","616","3.37","3.63"
"2010","kein Migrationshintergrund","Ostdeutschland","3.28","2.5","4015","3.23","3.33"
"2010","kein Migrationshintergrund","Westdeutschland","3.22","2.5","10449","3.19","3.25"
"2011","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2011","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2011","kein Migrationshintergrund","Westdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2012","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2012","kein Migrationshintergrund","Westdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2013","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2013","kein Migrationshintergrund","Westdeutschland","","","","",""
"2014","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2014","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2014","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2014","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2014","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2014","kein Migrationshintergrund","Westdeutschland","","","","",""
"2015","direkter Migrationshintergrund","Ostdeutschland","2.82","1.5","420","2.65","2.99"
"2015","direkter Migrationshintergrund","Westdeutschland","2.67","1.5","5296","2.62","2.72"
"2015","indirekter Migrationshintergrund","Ostdeutschland","3.16","2.5","102","2.79","3.53"
"2015","indirekter Migrationshintergrund","Westdeutschland","2.94","2.5","1574","2.85","3.03"
"2015","kein Migrationshintergrund","Ostdeutschland","2.97","2.5","4864","2.92","3.02"
"2015","kein Migrationshintergrund","Westdeutschland","2.83","1.5","14278","2.8","2.86"
"2016","direkter Migrationshintergrund","Ostdeutschland","1.83","1","456","1.67","1.99"
"2016","direkter Migrationshintergrund","Westdeutschland","2.26","1","2428","2.19","2.33"
"2016","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2016","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2016","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2016","kein Migrationshintergrund","Westdeutschland","","","","",""
"2017","direkter Migrationshintergrund","Ostdeutschland","1.79","1","202","1.55","2.03"
"2017","direkter Migrationshintergrund","Westdeutschland","1.65","1","1599","1.58","1.72"
"2017","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2017","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2017","kein Migrationshintergrund","Westdeutschland","","","","",""
"2018","direkter Migrationshintergrund","Ostdeutschland","1.58","1","43","1.22","1.94"
"2018","direkter Migrationshintergrund","Westdeutschland","1.95","1","323","1.77","2.13"
"2018","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2018","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2018","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2018","kein Migrationshintergrund","Westdeutschland","","","","",""
"2019","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2019","direkter Migrationshintergrund","Westdeutschland","1.79","1","229","1.57","2.01"
"2019","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2019","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2019","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2019","kein Migrationshintergrund","Westdeutschland","","","","",""
"2020","direkter Migrationshintergrund","Ostdeutschland","2.3","1.5","970","2.21","2.39"
"2020","direkter Migrationshintergrund","Westdeutschland","2.65","1.5","8073","2.61","2.69"
"2020","indirekter Migrationshintergrund","Ostdeutschland","2.94","2.5","135","2.68","3.2"
"2020","indirekter Migrationshintergrund","Westdeutschland","2.64","1.5","1539","2.56","2.72"
"2020","kein Migrationshintergrund","Ostdeutschland","2.87","1.5","4728","2.82","2.92"
"2020","kein Migrationshintergrund","Westdeutschland","2.73","1.5","13889","2.7","2.76"
