"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","Laendlicher Raum","maennlich","3.46","2.5","3325","1","2","5","6","7","3.4","3.52","1","7","3","3"
"2005","Laendlicher Raum","weiblich","3.07","2.5","3592","1","2","4","6","7","3.01","3.13","1","7","3","3"
"2005","Staedtischer Raum","maennlich","3.4","2.5","6504","1","2","5","6","7","3.36","3.44","1","7","3","3"
"2005","Staedtischer Raum","weiblich","2.96","2.5","7119","1","1","4","5","7","2.92","3","1","7","3","3"
"2006","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","maennlich","3.53","2.5","2772","1","2","5","6","7","3.47","3.59","1","7","3","3"
"2010","Laendlicher Raum","weiblich","3.14","2.5","2978","1","2","4","6","7","3.08","3.2","1","7","3","3"
"2010","Staedtischer Raum","maennlich","3.39","2.5","5121","1","2","5","6","7","3.34","3.44","1","7","3","3"
"2010","Staedtischer Raum","weiblich","2.98","2.5","5695","1","2","4","5","7","2.94","3.02","1","7","3","3"
"2011","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
