"year","bildungsniveau","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","Ostdeutschland","3.34","2.5","395","3.19","3.49"
"2005","(Fach-)Abitur","Westdeutschland","3.1","2.5","1889","3.03","3.17"
"2005","(noch) kein Abschluss","Ostdeutschland","3.4","2.5","167","3.13","3.67"
"2005","(noch) kein Abschluss","Westdeutschland","3.28","2.5","727","3.15","3.41"
"2005","AkademikerIn","Ostdeutschland","2.99","2.5","1249","2.9","3.08"
"2005","AkademikerIn","Westdeutschland","2.97","2.5","2899","2.91","3.03"
"2005","Hauptschule","Ostdeutschland","3.15","2.5","1281","3.05","3.25"
"2005","Hauptschule","Westdeutschland","3.23","2.5","6212","3.18","3.28"
"2005","Realschule","Ostdeutschland","3.49","2.5","1842","3.41","3.57"
"2005","Realschule","Westdeutschland","3.23","2.5","3512","3.17","3.29"
"2006","(Fach-)Abitur","Ostdeutschland","","","","",""
"2006","(Fach-)Abitur","Westdeutschland","","","","",""
"2006","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2006","(noch) kein Abschluss","Westdeutschland","","","","",""
"2006","AkademikerIn","Ostdeutschland","","","","",""
"2006","AkademikerIn","Westdeutschland","","","","",""
"2006","Hauptschule","Ostdeutschland","","","","",""
"2006","Hauptschule","Westdeutschland","","","","",""
"2006","Realschule","Ostdeutschland","","","","",""
"2006","Realschule","Westdeutschland","","","","",""
"2007","(Fach-)Abitur","Ostdeutschland","","","","",""
"2007","(Fach-)Abitur","Westdeutschland","","","","",""
"2007","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2007","(noch) kein Abschluss","Westdeutschland","","","","",""
"2007","AkademikerIn","Ostdeutschland","","","","",""
"2007","AkademikerIn","Westdeutschland","","","","",""
"2007","Hauptschule","Ostdeutschland","","","","",""
"2007","Hauptschule","Westdeutschland","","","","",""
"2007","Realschule","Ostdeutschland","","","","",""
"2007","Realschule","Westdeutschland","","","","",""
"2008","(Fach-)Abitur","Ostdeutschland","","","","",""
"2008","(Fach-)Abitur","Westdeutschland","","","","",""
"2008","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2008","(noch) kein Abschluss","Westdeutschland","","","","",""
"2008","AkademikerIn","Ostdeutschland","","","","",""
"2008","AkademikerIn","Westdeutschland","","","","",""
"2008","Hauptschule","Ostdeutschland","","","","",""
"2008","Hauptschule","Westdeutschland","","","","",""
"2008","Realschule","Ostdeutschland","","","","",""
"2008","Realschule","Westdeutschland","","","","",""
"2009","(Fach-)Abitur","Ostdeutschland","","","","",""
"2009","(Fach-)Abitur","Westdeutschland","","","","",""
"2009","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2009","(noch) kein Abschluss","Westdeutschland","","","","",""
"2009","AkademikerIn","Ostdeutschland","","","","",""
"2009","AkademikerIn","Westdeutschland","","","","",""
"2009","Hauptschule","Ostdeutschland","","","","",""
"2009","Hauptschule","Westdeutschland","","","","",""
"2009","Realschule","Ostdeutschland","","","","",""
"2009","Realschule","Westdeutschland","","","","",""
"2010","(Fach-)Abitur","Ostdeutschland","3.04","2.5","335","2.89","3.19"
"2010","(Fach-)Abitur","Westdeutschland","3.16","2.5","1557","3.08","3.24"
"2010","(noch) kein Abschluss","Ostdeutschland","3.34","2.5","44","2.79","3.89"
"2010","(noch) kein Abschluss","Westdeutschland","3.43","2.5","366","3.25","3.61"
"2010","AkademikerIn","Ostdeutschland","3","2.5","1122","2.91","3.09"
"2010","AkademikerIn","Westdeutschland","3.02","2.5","2700","2.96","3.08"
"2010","Hauptschule","Ostdeutschland","3.28","2.5","980","3.16","3.4"
"2010","Hauptschule","Westdeutschland","3.29","2.5","4589","3.24","3.34"
"2010","Realschule","Ostdeutschland","3.49","2.5","1532","3.4","3.58"
"2010","Realschule","Westdeutschland","3.25","2.5","2924","3.19","3.31"
"2011","(Fach-)Abitur","Ostdeutschland","","","","",""
"2011","(Fach-)Abitur","Westdeutschland","","","","",""
