"year","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","maennlich","3.42","2.5","9829","1","2","5","6","7","3.39","3.45","1","7","3","3"
"2005","weiblich","3","2.5","10711","1","1","4","5","7","2.97","3.03","1","7","3","3"
"2006","maennlich","","","","","","","","","","","","","",""
"2006","weiblich","","","","","","","","","","","","","",""
"2007","maennlich","","","","","","","","","","","","","",""
"2007","weiblich","","","","","","","","","","","","","",""
"2008","maennlich","","","","","","","","","","","","","",""
"2008","weiblich","","","","","","","","","","","","","",""
"2009","maennlich","","","","","","","","","","","","","",""
"2009","weiblich","","","","","","","","","","","","","",""
"2010","maennlich","3.44","2.5","7893","1","2","5","6","7","3.4","3.48","1","7","3","3"
"2010","weiblich","3.03","2.5","8673","1","2","4","5","7","3","3.06","1","7","3","3"
"2011","maennlich","","","","","","","","","","","","","",""
"2011","weiblich","","","","","","","","","","","","","",""
"2012","maennlich","","","","","","","","","","","","","",""
"2012","weiblich","","","","","","","","","","","","","",""
"2013","maennlich","","","","","","","","","","","","","",""
"2013","weiblich","","","","","","","","","","","","","",""
"2014","maennlich","","","","","","","","","","","","","",""
"2014","weiblich","","","","","","","","","","","","","",""
"2015","maennlich","3.04","2.5","12201","1","2","4","5","7","3.01","3.07","1","7","3","3"
"2015","weiblich","2.64","1.5","14333","1","1","4","5","7","2.61","2.67","1","7","2","2"
"2016","maennlich","2.35","1","1703","1","1","4","5","7","2.27","2.43","1","7","1","1"
"2016","weiblich","2.32","1","1212","1","1","3","5","7","2.23","2.41","1","7","1","1"
"2017","maennlich","1.68","1","947","1","1","2","4","7","1.59","1.77","1","7","1","1"
"2017","weiblich","1.65","1","854","1","1","1","4","7","1.55","1.75","1","7","1","1"
"2018","maennlich","1.81","1","169","1","1","2","4","7","1.57","2.05","1","7","1","1"
"2018","weiblich","1.92","1","197","1","1","2","4","7","1.68","2.16","1","7","1","1"
"2019","maennlich","1.81","1","122","1","1","2","4","7","1.48","2.14","1","7","1","2"
"2019","weiblich","1.73","1","129","1","1","2","3","7","1.46","2","1","7","1","2"
"2020","maennlich","2.96","2.5","14557","1","2","4","5","7","2.93","2.99","1","7","2","2"
"2020","weiblich","2.51","1.5","14770","1","1","3","5","7","2.49","2.53","1","7","2","2"
