"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","3.08","2.5","370","2.9","3.26"
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","3.13","2.5","141","2.86","3.4"
"2005","(Fach-)Abitur","kein Migrationshintergrund","3.15","2.5","1773","3.08","3.22"
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","2.74","2.5","216","2.5","2.98"
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","3.52","2.5","97","3.21","3.83"
"2005","(noch) kein Abschluss","kein Migrationshintergrund","3.52","2.5","581","3.38","3.66"
"2005","AkademikerIn","direkter Migrationshintergrund","3.06","2.5","336","2.87","3.25"
"2005","AkademikerIn","indirekter Migrationshintergrund","3","2.5","69","2.69","3.31"
"2005","AkademikerIn","kein Migrationshintergrund","2.96","2.5","3743","2.91","3.01"
"2005","Hauptschule","direkter Migrationshintergrund","2.96","2.5","1175","2.86","3.06"
"2005","Hauptschule","indirekter Migrationshintergrund","3.6","2.5","259","3.37","3.83"
"2005","Hauptschule","kein Migrationshintergrund","3.25","2.5","6059","3.2","3.3"
"2005","Realschule","direkter Migrationshintergrund","3.12","2.5","196","2.86","3.38"
"2005","Realschule","indirekter Migrationshintergrund","3.41","2.5","195","3.17","3.65"
"2005","Realschule","kein Migrationshintergrund","3.31","2.5","4963","3.26","3.36"
"2006","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2006","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2006","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2006","AkademikerIn","kein Migrationshintergrund","","","","",""
"2006","Hauptschule","direkter Migrationshintergrund","","","","",""
"2006","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2006","Hauptschule","kein Migrationshintergrund","","","","",""
"2006","Realschule","direkter Migrationshintergrund","","","","",""
"2006","Realschule","indirekter Migrationshintergrund","","","","",""
"2006","Realschule","kein Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
