"year","migback","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","direkter Migrationshintergrund","maennlich","3.19","2.5","1104","3.08","3.3"
"2005","direkter Migrationshintergrund","weiblich","2.82","1.5","1237","2.72","2.92"
"2005","indirekter Migrationshintergrund","maennlich","3.74","3.5","397","3.57","3.91"
"2005","indirekter Migrationshintergrund","weiblich","3.24","2.5","425","3.07","3.41"
"2005","kein Migrationshintergrund","maennlich","3.44","2.5","8328","3.4","3.48"
"2005","kein Migrationshintergrund","weiblich","3.01","2.5","9049","2.98","3.04"
"2006","direkter Migrationshintergrund","maennlich","","","","",""
"2006","direkter Migrationshintergrund","weiblich","","","","",""
"2006","indirekter Migrationshintergrund","maennlich","","","","",""
"2006","indirekter Migrationshintergrund","weiblich","","","","",""
"2006","kein Migrationshintergrund","maennlich","","","","",""
"2006","kein Migrationshintergrund","weiblich","","","","",""
"2007","direkter Migrationshintergrund","maennlich","","","","",""
"2007","direkter Migrationshintergrund","weiblich","","","","",""
"2007","indirekter Migrationshintergrund","maennlich","","","","",""
"2007","indirekter Migrationshintergrund","weiblich","","","","",""
"2007","kein Migrationshintergrund","maennlich","","","","",""
"2007","kein Migrationshintergrund","weiblich","","","","",""
"2008","direkter Migrationshintergrund","maennlich","","","","",""
"2008","direkter Migrationshintergrund","weiblich","","","","",""
"2008","indirekter Migrationshintergrund","maennlich","","","","",""
"2008","indirekter Migrationshintergrund","weiblich","","","","",""
"2008","kein Migrationshintergrund","maennlich","","","","",""
"2008","kein Migrationshintergrund","weiblich","","","","",""
"2009","direkter Migrationshintergrund","maennlich","","","","",""
"2009","direkter Migrationshintergrund","weiblich","","","","",""
"2009","indirekter Migrationshintergrund","maennlich","","","","",""
"2009","indirekter Migrationshintergrund","weiblich","","","","",""
"2009","kein Migrationshintergrund","maennlich","","","","",""
"2009","kein Migrationshintergrund","weiblich","","","","",""
"2010","direkter Migrationshintergrund","maennlich","3.41","2.5","656","3.28","3.54"
"2010","direkter Migrationshintergrund","weiblich","2.95","1.5","793","2.83","3.07"
"2010","indirekter Migrationshintergrund","maennlich","3.52","2.5","311","3.33","3.71"
"2010","indirekter Migrationshintergrund","weiblich","3.45","2.5","342","3.27","3.63"
"2010","kein Migrationshintergrund","maennlich","3.44","2.5","6926","3.4","3.48"
"2010","kein Migrationshintergrund","weiblich","3.03","2.5","7538","2.99","3.07"
"2011","direkter Migrationshintergrund","maennlich","","","","",""
"2011","direkter Migrationshintergrund","weiblich","","","","",""
"2011","indirekter Migrationshintergrund","maennlich","","","","",""
"2011","indirekter Migrationshintergrund","weiblich","","","","",""
"2011","kein Migrationshintergrund","maennlich","","","","",""
"2011","kein Migrationshintergrund","weiblich","","","","",""
"2012","direkter Migrationshintergrund","maennlich","","","","",""
"2012","direkter Migrationshintergrund","weiblich","","","","",""
"2012","indirekter Migrationshintergrund","maennlich","","","","",""
"2012","indirekter Migrationshintergrund","weiblich","","","","",""
"2012","kein Migrationshintergrund","maennlich","","","","",""
"2012","kein Migrationshintergrund","weiblich","","","","",""
"2013","direkter Migrationshintergrund","maennlich","","","","",""
"2013","direkter Migrationshintergrund","weiblich","","","","",""
"2013","indirekter Migrationshintergrund","maennlich","","","","",""
"2013","indirekter Migrationshintergrund","weiblich","","","","",""
"2013","kein Migrationshintergrund","maennlich","","","","",""
"2013","kein Migrationshintergrund","weiblich","","","","",""
"2014","direkter Migrationshintergrund","maennlich","","","","",""
"2014","direkter Migrationshintergrund","weiblich","","","","",""
"2014","indirekter Migrationshintergrund","maennlich","","","","",""
"2014","indirekter Migrationshintergrund","weiblich","","","","",""
"2014","kein Migrationshintergrund","maennlich","","","","",""
"2014","kein Migrationshintergrund","weiblich","","","","",""
"2015","direkter Migrationshintergrund","maennlich","2.86","1.5","2629","2.79","2.93"
"2015","direkter Migrationshintergrund","weiblich","2.51","1.5","3087","2.45","2.57"
"2015","indirekter Migrationshintergrund","maennlich","3.13","2.5","764","3","3.26"
"2015","indirekter Migrationshintergrund","weiblich","2.75","1.5","912","2.64","2.86"
"2015","kein Migrationshintergrund","maennlich","3.07","2.5","8808","3.04","3.1"
"2015","kein Migrationshintergrund","weiblich","2.66","1.5","10334","2.63","2.69"
"2016","direkter Migrationshintergrund","maennlich","2.25","1","1691","2.17","2.33"
"2016","direkter Migrationshintergrund","weiblich","2.14","1","1193","2.05","2.23"
"2016","indirekter Migrationshintergrund","maennlich","","","","",""
"2016","indirekter Migrationshintergrund","weiblich","","","","",""
"2016","kein Migrationshintergrund","maennlich","","","","",""
"2016","kein Migrationshintergrund","weiblich","","","","",""
"2017","direkter Migrationshintergrund","maennlich","1.68","1","947","1.59","1.77"
"2017","direkter Migrationshintergrund","weiblich","1.65","1","854","1.55","1.75"
"2017","indirekter Migrationshintergrund","maennlich","","","","",""
"2017","indirekter Migrationshintergrund","weiblich","","","","",""
"2017","kein Migrationshintergrund","maennlich","","","","",""
"2017","kein Migrationshintergrund","weiblich","","","","",""
"2018","direkter Migrationshintergrund","maennlich","1.81","1","169","1.57","2.05"
"2018","direkter Migrationshintergrund","weiblich","1.92","1","197","1.68","2.16"
"2018","indirekter Migrationshintergrund","maennlich","","","","",""
"2018","indirekter Migrationshintergrund","weiblich","","","","",""
"2018","kein Migrationshintergrund","maennlich","","","","",""
"2018","kein Migrationshintergrund","weiblich","","","","",""
"2019","direkter Migrationshintergrund","maennlich","1.81","1","122","1.48","2.14"
"2019","direkter Migrationshintergrund","weiblich","1.73","1","129","1.46","2"
"2019","indirekter Migrationshintergrund","maennlich","","","","",""
"2019","indirekter Migrationshintergrund","weiblich","","","","",""
"2019","kein Migrationshintergrund","maennlich","","","","",""
"2019","kein Migrationshintergrund","weiblich","","","","",""
"2020","direkter Migrationshintergrund","maennlich","2.78","1.5","4949","2.73","2.83"
"2020","direkter Migrationshintergrund","weiblich","2.49","1.5","4094","2.44","2.54"
"2020","indirekter Migrationshintergrund","maennlich","2.92","2.5","783","2.8","3.04"
"2020","indirekter Migrationshintergrund","weiblich","2.36","1.5","891","2.26","2.46"
"2020","kein Migrationshintergrund","maennlich","3","2.5","8825","2.97","3.03"
"2020","kein Migrationshintergrund","weiblich","2.53","1.5","9785","2.5","2.56"
