"year","age_gr","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","17-34","Ostdeutschland","3.59","3.5","1345","3.5","3.68"
"2005","17-34","Westdeutschland","3.44","2.5","3931","3.39","3.49"
"2005","35-65","Ostdeutschland","3.31","2.5","2725","3.25","3.37"
"2005","35-65","Westdeutschland","3.21","2.5","8824","3.17","3.25"
"2005","66 +","Ostdeutschland","2.86","1.5","951","2.75","2.97"
"2005","66 +","Westdeutschland","2.8","1.5","2764","2.73","2.87"
"2006","17-34","Ostdeutschland","","","","",""
"2006","17-34","Westdeutschland","","","","",""
"2006","35-65","Ostdeutschland","","","","",""
"2006","35-65","Westdeutschland","","","","",""
"2006","66 +","Ostdeutschland","","","","",""
"2006","66 +","Westdeutschland","","","","",""
"2007","17-34","Ostdeutschland","","","","",""
"2007","17-34","Westdeutschland","","","","",""
"2007","35-65","Ostdeutschland","","","","",""
"2007","35-65","Westdeutschland","","","","",""
"2007","66 +","Ostdeutschland","","","","",""
"2007","66 +","Westdeutschland","","","","",""
"2008","17-34","Ostdeutschland","","","","",""
"2008","17-34","Westdeutschland","","","","",""
"2008","35-65","Ostdeutschland","","","","",""
"2008","35-65","Westdeutschland","","","","",""
"2008","66 +","Ostdeutschland","","","","",""
"2008","66 +","Westdeutschland","","","","",""
"2009","17-34","Ostdeutschland","","","","",""
"2009","17-34","Westdeutschland","","","","",""
"2009","35-65","Ostdeutschland","","","","",""
"2009","35-65","Westdeutschland","","","","",""
"2009","66 +","Ostdeutschland","","","","",""
"2009","66 +","Westdeutschland","","","","",""
"2010","17-34","Ostdeutschland","3.45","2.5","892","3.35","3.55"
"2010","17-34","Westdeutschland","3.43","2.5","2650","3.37","3.49"
"2010","35-65","Ostdeutschland","3.33","2.5","2168","3.26","3.4"
"2010","35-65","Westdeutschland","3.24","2.5","6880","3.2","3.28"
"2010","66 +","Ostdeutschland","3.05","2.5","1054","2.95","3.15"
"2010","66 +","Westdeutschland","3.01","2.5","2922","2.95","3.07"
"2011","17-34","Ostdeutschland","","","","",""
"2011","17-34","Westdeutschland","","","","",""
"2011","35-65","Ostdeutschland","","","","",""
"2011","35-65","Westdeutschland","","","","",""
"2011","66 +","Ostdeutschland","","","","",""
"2011","66 +","Westdeutschland","","","","",""
"2012","17-34","Ostdeutschland","","","","",""
"2012","17-34","Westdeutschland","","","","",""
"2012","35-65","Ostdeutschland","","","","",""
"2012","35-65","Westdeutschland","","","","",""
"2012","66 +","Ostdeutschland","","","","",""
"2012","66 +","Westdeutschland","","","","",""
"2013","17-34","Ostdeutschland","","","","",""
"2013","17-34","Westdeutschland","","","","",""
"2013","35-65","Ostdeutschland","","","","",""
"2013","35-65","Westdeutschland","","","","",""
"2013","66 +","Ostdeutschland","","","","",""
"2013","66 +","Westdeutschland","","","","",""
"2014","17-34","Ostdeutschland","","","","",""
"2014","17-34","Westdeutschland","","","","",""
"2014","35-65","Ostdeutschland","","","","",""
"2014","35-65","Westdeutschland","","","","",""
"2014","66 +","Ostdeutschland","","","","",""
"2014","66 +","Westdeutschland","","","","",""
"2015","17-34","Ostdeutschland","2.81","1.5","1119","2.71","2.91"
"2015","17-34","Westdeutschland","2.82","1.5","5447","2.78","2.86"
"2015","35-65","Ostdeutschland","3.08","2.5","3051","3.02","3.14"
"2015","35-65","Westdeutschland","2.82","1.5","12045","2.79","2.85"
"2015","66 +","Ostdeutschland","2.87","2.5","1216","2.78","2.96"
"2015","66 +","Westdeutschland","2.76","1.5","3656","2.71","2.81"
"2016","17-34","Ostdeutschland","2.09","1","244","1.86","2.32"
"2016","17-34","Westdeutschland","2.54","1.5","1294","2.44","2.64"
"2016","35-65","Ostdeutschland","1.53","1","214","1.32","1.74"
"2016","35-65","Westdeutschland","2.07","1","1141","1.98","2.16"
"2016","66 +","Ostdeutschland","","","","",""
"2016","66 +","Westdeutschland","","","","",""
"2017","17-34","Ostdeutschland","1.91","1","133","1.58","2.24"
"2017","17-34","Westdeutschland","1.69","1","963","1.6","1.78"
"2017","35-65","Ostdeutschland","1.5","1","67","1.16","1.84"
"2017","35-65","Westdeutschland","1.57","1","619","1.47","1.67"
"2017","66 +","Ostdeutschland","","","","",""
"2017","66 +","Westdeutschland","","","","",""
"2018","17-34","Ostdeutschland","","","","",""
"2018","17-34","Westdeutschland","1.97","1","188","1.72","2.22"
"2018","35-65","Ostdeutschland","","","","",""
"2018","35-65","Westdeutschland","1.92","1","132","1.64","2.2"
"2018","66 +","Ostdeutschland","","","","",""
"2018","66 +","Westdeutschland","","","","",""
"2019","17-34","Ostdeutschland","","","","",""
"2019","17-34","Westdeutschland","1.9","1","116","1.56","2.24"
"2019","35-65","Ostdeutschland","","","","",""
"2019","35-65","Westdeutschland","1.69","1","107","1.4","1.98"
"2019","66 +","Ostdeutschland","","","","",""
"2019","66 +","Westdeutschland","","","","",""
"2020","17-34","Ostdeutschland","2.96","2.5","1273","2.87","3.05"
"2020","17-34","Westdeutschland","2.67","1.5","6731","2.63","2.71"
"2020","35-65","Ostdeutschland","2.86","1.5","3308","2.8","2.92"
"2020","35-65","Westdeutschland","2.74","1.5","13066","2.71","2.77"
"2020","66 +","Ostdeutschland","2.72","1.5","1252","2.63","2.81"
"2020","66 +","Westdeutschland","2.68","1.5","3703","2.63","2.73"
